België,Gewest,Provincie,Arrondissement,Vergrijzingsgraad
België,Vlaams Gewest,Provincie Antwerpen,,0.27
België,Vlaams Gewest,Provincie Vlaams-Brabant,,0.271
België,Vlaams Gewest,Provincie West-Vlaanderen,,0.323
België,Vlaams Gewest,Provincie Oost-Vlaanderen,,0.275
België,Vlaams Gewest,Provincie Limburg,,0.248
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,0.199
België,Waals Gewest,Provincie Waals-Brabant,,0.245
België,Waals Gewest,Provincie Henegouwen,,0.248
België,Waals Gewest,Provincie Luik,,0.254
België,Waals Gewest,Provincie Luxemburg,,0.231
België,Waals Gewest,Provincie Namen,,0.241
België,,,,0.26
