Sectie,Jaar,Trimester,Investeringen
B Winning van delfstoffen,2021,1ste kwartaal 2021,37949
B Winning van delfstoffen,2021,2de kwartaal 2021,12029
B Winning van delfstoffen,2021,3de kwartaal 2021,10008
B Winning van delfstoffen,2021,4de kwartaal 2021,31511
B Winning van delfstoffen,2022,1ste kwartaal 2022,10500
B Winning van delfstoffen,2022,2de kwartaal 2022,10727
B Winning van delfstoffen,2022,3de kwartaal 2022,13122
C Industrie,2021,1ste kwartaal 2021,1747699
C Industrie,2021,2de kwartaal 2021,1933515
C Industrie,2021,3de kwartaal 2021,1837736
C Industrie,2021,4de kwartaal 2021,2574870
C Industrie,2022,1ste kwartaal 2022,1887933
C Industrie,2022,2de kwartaal 2022,2185145
C Industrie,2022,3de kwartaal 2022,2214227
"D Productie en distributie van elektriciteit, gas, stoom en gekoelde lucht",2021,1ste kwartaal 2021,650782
"D Productie en distributie van elektriciteit, gas, stoom en gekoelde lucht",2021,2de kwartaal 2021,815695
"D Productie en distributie van elektriciteit, gas, stoom en gekoelde lucht",2021,3de kwartaal 2021,678721
"D Productie en distributie van elektriciteit, gas, stoom en gekoelde lucht",2021,4de kwartaal 2021,888424
"D Productie en distributie van elektriciteit, gas, stoom en gekoelde lucht",2022,1ste kwartaal 2022,728246
"D Productie en distributie van elektriciteit, gas, stoom en gekoelde lucht",2022,2de kwartaal 2022,811619
"D Productie en distributie van elektriciteit, gas, stoom en gekoelde lucht",2022,3de kwartaal 2022,871087
E Distributie van water/ afval- en afvalwaterbeheer en sanering,2021,1ste kwartaal 2021,307226
E Distributie van water/ afval- en afvalwaterbeheer en sanering,2021,2de kwartaal 2021,351997
E Distributie van water/ afval- en afvalwaterbeheer en sanering,2021,3de kwartaal 2021,283822
E Distributie van water/ afval- en afvalwaterbeheer en sanering,2021,4de kwartaal 2021,438534
E Distributie van water/ afval- en afvalwaterbeheer en sanering,2022,1ste kwartaal 2022,361468
E Distributie van water/ afval- en afvalwaterbeheer en sanering,2022,2de kwartaal 2022,344046
E Distributie van water/ afval- en afvalwaterbeheer en sanering,2022,3de kwartaal 2022,473033
F Bouwnijverheid,2021,1ste kwartaal 2021,887771
F Bouwnijverheid,2021,2de kwartaal 2021,995834
F Bouwnijverheid,2021,3de kwartaal 2021,878941
F Bouwnijverheid,2021,4de kwartaal 2021,1127987
F Bouwnijverheid,2022,1ste kwartaal 2022,896101
F Bouwnijverheid,2022,2de kwartaal 2022,991033
F Bouwnijverheid,2022,3de kwartaal 2022,881931
G Groot- en detailhandel/ reparatie van auto’s en motorfietsen,2021,1ste kwartaal 2021,1335303
G Groot- en detailhandel/ reparatie van auto’s en motorfietsen,2021,2de kwartaal 2021,1604384
G Groot- en detailhandel/ reparatie van auto’s en motorfietsen,2021,3de kwartaal 2021,1436790
G Groot- en detailhandel/ reparatie van auto’s en motorfietsen,2021,4de kwartaal 2021,1760608
G Groot- en detailhandel/ reparatie van auto’s en motorfietsen,2022,1ste kwartaal 2022,1602854
G Groot- en detailhandel/ reparatie van auto’s en motorfietsen,2022,2de kwartaal 2022,1646073
G Groot- en detailhandel/ reparatie van auto’s en motorfietsen,2022,3de kwartaal 2022,1508593
H Vervoer en opslag,2021,1ste kwartaal 2021,1262681
H Vervoer en opslag,2021,2de kwartaal 2021,1082488
H Vervoer en opslag,2021,3de kwartaal 2021,1140956
H Vervoer en opslag,2021,4de kwartaal 2021,1392931
H Vervoer en opslag,2022,1ste kwartaal 2022,1121757
H Vervoer en opslag,2022,2de kwartaal 2022,1307900
H Vervoer en opslag,2022,3de kwartaal 2022,1163675
I Verschaffen van accommodatie en maaltijden,2021,1ste kwartaal 2021,220405
I Verschaffen van accommodatie en maaltijden,2021,2de kwartaal 2021,281018
I Verschaffen van accommodatie en maaltijden,2021,3de kwartaal 2021,274413
I Verschaffen van accommodatie en maaltijden,2021,4de kwartaal 2021,410699
I Verschaffen van accommodatie en maaltijden,2022,1ste kwartaal 2022,304060
I Verschaffen van accommodatie en maaltijden,2022,2de kwartaal 2022,384017
I Verschaffen van accommodatie en maaltijden,2022,3de kwartaal 2022,321776
J Informatie en communicatie,2021,1ste kwartaal 2021,476539
J Informatie en communicatie,2021,2de kwartaal 2021,560833
J Informatie en communicatie,2021,3de kwartaal 2021,587460
J Informatie en communicatie,2021,4de kwartaal 2021,834758
J Informatie en communicatie,2022,1ste kwartaal 2022,599620
J Informatie en communicatie,2022,2de kwartaal 2022,655882
J Informatie en communicatie,2022,3de kwartaal 2022,844181
M Vrije beroepen en wetenschappelijke en technische activiteiten,2021,1ste kwartaal 2021,834645
M Vrije beroepen en wetenschappelijke en technische activiteiten,2021,2de kwartaal 2021,935475
M Vrije beroepen en wetenschappelijke en technische activiteiten,2021,3de kwartaal 2021,877045
M Vrije beroepen en wetenschappelijke en technische activiteiten,2021,4de kwartaal 2021,1182063
M Vrije beroepen en wetenschappelijke en technische activiteiten,2022,1ste kwartaal 2022,871530
M Vrije beroepen en wetenschappelijke en technische activiteiten,2022,2de kwartaal 2022,1197313
M Vrije beroepen en wetenschappelijke en technische activiteiten,2022,3de kwartaal 2022,891566
N Administratieve en ondersteunende diensten,2021,1ste kwartaal 2021,1309825
N Administratieve en ondersteunende diensten,2021,2de kwartaal 2021,1359475
N Administratieve en ondersteunende diensten,2021,3de kwartaal 2021,1226091
N Administratieve en ondersteunende diensten,2021,4de kwartaal 2021,1350406
N Administratieve en ondersteunende diensten,2022,1ste kwartaal 2022,1298467
N Administratieve en ondersteunende diensten,2022,2de kwartaal 2022,1449292
N Administratieve en ondersteunende diensten,2022,3de kwartaal 2022,1411378
"R Kunst, amusement en recreatie",2021,1ste kwartaal 2021,132510
"R Kunst, amusement en recreatie",2021,2de kwartaal 2021,158649
"R Kunst, amusement en recreatie",2021,3de kwartaal 2021,226197
"R Kunst, amusement en recreatie",2021,4de kwartaal 2021,198143
"R Kunst, amusement en recreatie",2022,1ste kwartaal 2022,167570
"R Kunst, amusement en recreatie",2022,2de kwartaal 2022,201202
"R Kunst, amusement en recreatie",2022,3de kwartaal 2022,255147
S Overige diensten,2021,1ste kwartaal 2021,71522
S Overige diensten,2021,2de kwartaal 2021,85473
S Overige diensten,2021,3de kwartaal 2021,74052
S Overige diensten,2021,4de kwartaal 2021,90639
S Overige diensten,2022,1ste kwartaal 2022,71858
S Overige diensten,2022,2de kwartaal 2022,81272
S Overige diensten,2022,3de kwartaal 2022,72573
