België,Gewest,Provincie,Arrondissement,Gehuwde bevolking
België,Vlaams Gewest,Provincie Antwerpen,,0.529
België,Vlaams Gewest,Provincie Vlaams-Brabant,,0.54
België,Vlaams Gewest,Provincie West-Vlaanderen,,0.556
België,Vlaams Gewest,Provincie Oost-Vlaanderen,,0.529
België,Vlaams Gewest,Provincie Limburg,,0.572
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,0.444
België,Waals Gewest,Provincie Waals-Brabant,,0.497
België,Waals Gewest,Provincie Henegouwen,,0.463
België,Waals Gewest,Provincie Luik,,0.469
België,Waals Gewest,Provincie Luxemburg,,0.512
België,Waals Gewest,Provincie Namen,,0.467
België,,,,0.51
