België,Gewest,Provincie,totaal,Positie in de familiekern niveau 1,Bevolking
België,Brussels Hoofdstedelijk Gewest  ,Brussels Hoofdstedelijk Gewest  ,totaal,Partners,406234
België,Brussels Hoofdstedelijk Gewest  ,Brussels Hoofdstedelijk Gewest  ,totaal,Alleenstaande ouders,65409
België,Brussels Hoofdstedelijk Gewest  ,Brussels Hoofdstedelijk Gewest  ,totaal,Zonen/dochters,336593
België,Brussels Hoofdstedelijk Gewest  ,Brussels Hoofdstedelijk Gewest  ,totaal,Niet van toepassing (niet in een familiekern),328542
België,Brussels Hoofdstedelijk Gewest  ,Brussels Hoofdstedelijk Gewest  ,totaal,,1136778
België,Vlaams Gewest  ,Provincie Antwerpen,totaal,Partners,866150
België,Vlaams Gewest  ,Provincie Antwerpen,totaal,Alleenstaande ouders,69470
België,Vlaams Gewest  ,Provincie Antwerpen,totaal,Zonen/dochters,513373
België,Vlaams Gewest  ,Provincie Antwerpen,totaal,Niet van toepassing (niet in een familiekern),324274
België,Vlaams Gewest  ,Provincie Antwerpen,totaal,,1773267
België,Vlaams Gewest  ,Provincie Limburg,totaal,Partners,447758
België,Vlaams Gewest  ,Provincie Limburg,totaal,Alleenstaande ouders,30615
België,Vlaams Gewest  ,Provincie Limburg,totaal,Zonen/dochters,251477
België,Vlaams Gewest  ,Provincie Limburg,totaal,Niet van toepassing (niet in een familiekern),117001
België,Vlaams Gewest  ,Provincie Limburg,totaal,,846851
België,Vlaams Gewest  ,Provincie Oost-Vlaanderen,totaal,Partners,742364
België,Vlaams Gewest  ,Provincie Oost-Vlaanderen,totaal,Alleenstaande ouders,53613
België,Vlaams Gewest  ,Provincie Oost-Vlaanderen,totaal,Zonen/dochters,410120
België,Vlaams Gewest  ,Provincie Oost-Vlaanderen,totaal,Niet van toepassing (niet in een familiekern),242831
België,Vlaams Gewest  ,Provincie Oost-Vlaanderen,totaal,,1448928
België,Vlaams Gewest  ,Provincie Vlaams-Brabant,totaal,Partners,549740
België,Vlaams Gewest  ,Provincie Vlaams-Brabant,totaal,Alleenstaande ouders,41822
België,Vlaams Gewest  ,Provincie Vlaams-Brabant,totaal,Zonen/dochters,326928
België,Vlaams Gewest  ,Provincie Vlaams-Brabant,totaal,Niet van toepassing (niet in een familiekern),170202
België,Vlaams Gewest  ,Provincie Vlaams-Brabant,totaal,,1088692
België,Vlaams Gewest  ,Provincie West-Vlaanderen,totaal,Partners,612388
België,Vlaams Gewest  ,Provincie West-Vlaanderen,totaal,Alleenstaande ouders,38928
België,Vlaams Gewest  ,Provincie West-Vlaanderen,totaal,Zonen/dochters,321977
België,Vlaams Gewest  ,Provincie West-Vlaanderen,totaal,Niet van toepassing (niet in een familiekern),194709
België,Vlaams Gewest  ,Provincie West-Vlaanderen,totaal,,1168002
België,Waals Gewest,Provincie Waals-Brabant,totaal,Partners,180938
België,Waals Gewest,Provincie Waals-Brabant,totaal,Alleenstaande ouders,18474
België,Waals Gewest,Provincie Waals-Brabant,totaal,Zonen/dochters,124247
België,Waals Gewest,Provincie Waals-Brabant,totaal,Niet van toepassing (niet in een familiekern),59989
België,Waals Gewest,Provincie Waals-Brabant,totaal,,383648
België,Waals Gewest,Provincie Henegouwen,totaal,Partners,577536
België,Waals Gewest,Provincie Henegouwen,totaal,Alleenstaande ouders,82020
België,Waals Gewest,Provincie Henegouwen,totaal,Zonen/dochters,401547
België,Waals Gewest,Provincie Henegouwen,totaal,Niet van toepassing (niet in een familiekern),258642
België,Waals Gewest,Provincie Henegouwen,totaal,,1319745
België,Waals Gewest,Provincie Luik,totaal,Partners,472297
België,Waals Gewest,Provincie Luik,totaal,Alleenstaande ouders,60253
België,Waals Gewest,Provincie Luik,totaal,Zonen/dochters,323817
België,Waals Gewest,Provincie Luik,totaal,Niet van toepassing (niet in een familiekern),225769
België,Waals Gewest,Provincie Luik,totaal,,1082136
België,Waals Gewest,Provincie Luxemburg,totaal,Partners,127523
België,Waals Gewest,Provincie Luxemburg,totaal,Alleenstaande ouders,11811
België,Waals Gewest,Provincie Luxemburg,totaal,Zonen/dochters,88533
België,Waals Gewest,Provincie Luxemburg,totaal,Niet van toepassing (niet in een familiekern),45338
België,Waals Gewest,Provincie Luxemburg,totaal,,273205
België,Waals Gewest,Provincie Namen,totaal,Partners,217848
België,Waals Gewest,Provincie Namen,totaal,Alleenstaande ouders,24839
België,Waals Gewest,Provincie Namen,totaal,Zonen/dochters,148443
België,Waals Gewest,Provincie Namen,totaal,Niet van toepassing (niet in een familiekern),88256
België,Waals Gewest,Provincie Namen,totaal,,479386
België,,,totaal,Partners,5200776
België,,,totaal,Alleenstaande ouders,497254
België,,,totaal,Zonen/dochters,3247055
België,,,totaal,Niet van toepassing (niet in een familiekern),2055553
België,,,totaal,,11000638
