Jaar,Maand,Productgroep,Product,Gemiddelde prijs incl. BTW
2021,2,Benzines,Benzine 95 RON E5 (€/L),1.459
2021,2,Benzines,Benzine 95 RON E10 (€/L),1.422
2021,2,Benzines,Benzine 98 RON E5 (€/L),1.484
2021,2,Benzines,Benzine 98 RON E10 (€/L),1.459
2021,2,Gasolie Diesel wegvervoer,Diesel B7 (€/L),1.463
2021,2,Gasolie Diesel wegvervoer,Diesel B10 (€/L),1.453
2021,2,Gasolie Diesel wegvervoer,Diesel B20 (€/L),1.489
2021,2,Gasolie Diesel wegvervoer,Diesel B30 (€/L),1.561
2021,2,Gasolie Diesel wegvervoer,Diesel XTL (€/L),2.157
2021,2,Gasolie Diesel (verwarmingsdoeleinden),Gasolie Diesel Verwarming (vanaf 2000 l) (€/L),0.556
2021,2,Gasolie Diesel (verwarmingsdoeleinden),Gasolie Diesel Verwarming (minder dan 2000 l) (€/L),0.585
2021,2,Gasolie verwarming,Gasolie verwarming 50S (vanaf 2000 l) (€/L),0.554
2021,2,Gasolie verwarming,Gasolie verwarming 50S (minder dan 2000 l) (€/L),0.583
2021,2,Butaan + LPG,Autogas LPG (aan de pomp) (€/L),0.577
2021,3,Benzines,Benzine 95 RON E5 (€/L),1.52
2021,3,Benzines,Benzine 95 RON E10 (€/L),1.485
2021,3,Benzines,Benzine 98 RON E5 (€/L),1.545
2021,3,Benzines,Benzine 98 RON E10 (€/L),1.517
2021,3,Gasolie Diesel wegvervoer,Diesel B7 (€/L),1.497
2021,3,Gasolie Diesel wegvervoer,Diesel B10 (€/L),1.486
2021,3,Gasolie Diesel wegvervoer,Diesel B20 (€/L),1.524
2021,3,Gasolie Diesel wegvervoer,Diesel B30 (€/L),1.601
2021,3,Gasolie Diesel wegvervoer,Diesel XTL (€/L),2.25
2021,3,Gasolie Diesel (verwarmingsdoeleinden),Gasolie Diesel Verwarming (vanaf 2000 l) (€/L),0.581
2021,3,Gasolie Diesel (verwarmingsdoeleinden),Gasolie Diesel Verwarming (minder dan 2000 l) (€/L),0.61
2021,3,Gasolie verwarming,Gasolie verwarming 50S (vanaf 2000 l) (€/L),0.58
2021,3,Gasolie verwarming,Gasolie verwarming 50S (minder dan 2000 l) (€/L),0.61
2021,3,Butaan + LPG,Autogas LPG (aan de pomp) (€/L),0.612
2021,4,Benzines,Benzine 95 RON E5 (€/L),1.537
2021,4,Benzines,Benzine 95 RON E10 (€/L),1.496
2021,4,Benzines,Benzine 98 RON E5 (€/L),1.567
2021,4,Benzines,Benzine 98 RON E10 (€/L),1.546
2021,4,Gasolie Diesel wegvervoer,Diesel B7 (€/L),1.487
2021,4,Gasolie Diesel wegvervoer,Diesel B10 (€/L),1.477
2021,4,Gasolie Diesel wegvervoer,Diesel B20 (€/L),1.513
2021,4,Gasolie Diesel wegvervoer,Diesel B30 (€/L),1.586
2021,4,Gasolie Diesel wegvervoer,Diesel XTL (€/L),2.314
2021,4,Gasolie Diesel (verwarmingsdoeleinden),Gasolie Diesel Verwarming (vanaf 2000 l) (€/L),0.587
2021,4,Gasolie Diesel (verwarmingsdoeleinden),Gasolie Diesel Verwarming (minder dan 2000 l) (€/L),0.616
2021,4,Gasolie verwarming,Gasolie verwarming 50S (vanaf 2000 l) (€/L),0.572
2021,4,Gasolie verwarming,Gasolie verwarming 50S (minder dan 2000 l) (€/L),0.602
2021,4,Butaan + LPG,Autogas LPG (aan de pomp) (€/L),0.577
2021,5,Benzines,Benzine 95 RON E5 (€/L),1.557
2021,5,Benzines,Benzine 95 RON E10 (€/L),1.519
2021,5,Benzines,Benzine 98 RON E5 (€/L),1.586
2021,5,Benzines,Benzine 98 RON E10 (€/L),1.566
2021,5,Gasolie Diesel wegvervoer,Diesel B7 (€/L),1.519
2021,5,Gasolie Diesel wegvervoer,Diesel B10 (€/L),1.513
2021,5,Gasolie Diesel wegvervoer,Diesel B20 (€/L),1.558
2021,5,Gasolie Diesel wegvervoer,Diesel B30 (€/L),1.646
2021,5,Gasolie Diesel wegvervoer,Diesel XTL (€/L),2.314
2021,5,Gasolie Diesel (verwarmingsdoeleinden),Gasolie Diesel Verwarming (vanaf 2000 l) (€/L),0.613
2021,5,Gasolie Diesel (verwarmingsdoeleinden),Gasolie Diesel Verwarming (minder dan 2000 l) (€/L),0.643
2021,5,Gasolie verwarming,Gasolie verwarming 50S (vanaf 2000 l) (€/L),0.598
2021,5,Gasolie verwarming,Gasolie verwarming 50S (minder dan 2000 l) (€/L),0.628
2021,5,Butaan + LPG,Autogas LPG (aan de pomp) (€/L),0.546
2021,6,Benzines,Benzine 95 RON E5 (€/L),1.583
2021,6,Benzines,Benzine 95 RON E10 (€/L),1.54
2021,6,Benzines,Benzine 98 RON E5 (€/L),1.609
2021,6,Benzines,Benzine 98 RON E10 (€/L),1.583
2021,6,Gasolie Diesel wegvervoer,Diesel B7 (€/L),1.558
2021,6,Gasolie Diesel wegvervoer,Diesel B10 (€/L),1.55
2021,6,Gasolie Diesel wegvervoer,Diesel B20 (€/L),1.597
2021,6,Gasolie Diesel wegvervoer,Diesel B30 (€/L),1.691
2021,6,Gasolie Diesel wegvervoer,Diesel XTL (€/L),2.459
2021,6,Gasolie Diesel (verwarmingsdoeleinden),Gasolie Diesel Verwarming (vanaf 2000 l) (€/L),0.649
2021,6,Gasolie Diesel (verwarmingsdoeleinden),Gasolie Diesel Verwarming (minder dan 2000 l) (€/L),0.678
2021,6,Gasolie verwarming,Gasolie verwarming 50S (vanaf 2000 l) (€/L),0.632
2021,6,Gasolie verwarming,Gasolie verwarming 50S (minder dan 2000 l) (€/L),0.662
2021,6,Butaan + LPG,Autogas LPG (aan de pomp) (€/L),0.57
2021,7,Benzines,Benzine 95 RON E5 (€/L),1.635
2021,7,Benzines,Benzine 95 RON E10 (€/L),1.583
2021,7,Benzines,Benzine 98 RON E5 (€/L),1.662
2021,7,Benzines,Benzine 98 RON E10 (€/L),1.632
2021,7,Gasolie Diesel wegvervoer,Diesel B7 (€/L),1.581
2021,7,Gasolie Diesel wegvervoer,Diesel B10 (€/L),1.569
2021,7,Gasolie Diesel wegvervoer,Diesel B20 (€/L),1.615
2021,7,Gasolie Diesel wegvervoer,Diesel B30 (€/L),1.707
2021,7,Gasolie Diesel wegvervoer,Diesel XTL (€/L),2.565
2021,7,Gasolie Diesel (verwarmingsdoeleinden),Gasolie Diesel Verwarming (vanaf 2000 l) (€/L),0.667
2021,7,Gasolie Diesel (verwarmingsdoeleinden),Gasolie Diesel Verwarming (minder dan 2000 l) (€/L),0.697
2021,7,Gasolie verwarming,Gasolie verwarming 50S (vanaf 2000 l) (€/L),0.649
2021,7,Gasolie verwarming,Gasolie verwarming 50S (minder dan 2000 l) (€/L),0.678
2021,7,Butaan + LPG,Autogas LPG (aan de pomp) (€/L),0.621
2021,8,Benzines,Benzine 95 RON E5 (€/L),1.637
2021,8,Benzines,Benzine 95 RON E10 (€/L),1.584
2021,8,Benzines,Benzine 98 RON E5 (€/L),1.668
2021,8,Benzines,Benzine 98 RON E10 (€/L),1.638
2021,8,Gasolie Diesel wegvervoer,Diesel B7 (€/L),1.573
2021,8,Gasolie Diesel wegvervoer,Diesel B10 (€/L),1.557
2021,8,Gasolie Diesel wegvervoer,Diesel B20 (€/L),1.602
2021,8,Gasolie Diesel wegvervoer,Diesel B30 (€/L),1.693
2021,8,Gasolie Diesel wegvervoer,Diesel XTL (€/L),2.688
