België,Gewest,Provincie,Arrondissement,Activiteitsgraad 15-64-jarigen
België,Vlaams Gewest,Provincie Antwerpen,,0.675
België,Vlaams Gewest,Provincie Vlaams-Brabant,,0.691
België,Vlaams Gewest,Provincie West-Vlaanderen,,0.697
België,Vlaams Gewest,Provincie Oost-Vlaanderen,,0.7
België,Vlaams Gewest,Provincie Limburg,,0.668
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,0.573
België,Waals Gewest,Provincie Waals-Brabant,,0.662
België,Waals Gewest,Provincie Henegouwen,,0.629
België,Waals Gewest,Provincie Luik,,0.641
België,Waals Gewest,Provincie Luxemburg,,0.661
België,Waals Gewest,Provincie Namen,,0.662
België,,,,0.661
