Soort zuivelproduct,Jaar,Hoeveelheid
Ontvangst van geitenmelk uit België (in l),2012,9220290.0
Ontvangst van geitenmelk uit België (in l),2013,8981308.0
Ontvangst van geitenmelk uit België (in l),2014,12095038.0
Ontvangst van geitenmelk uit België (in l),2015,18765213.0
Ontvangst van geitenmelk uit België (in l),2016,25068964.0
Ontvangst van geitenmelk uit België (in l),2017,32865472.0
Ontvangst van geitenmelk uit België (in l),2018,39318868.0
Ontvangst van geitenmelk uit België (in l),2019,42827866.0
Ontvangst van geitenmelk uit België (in l),2020,43870443.0
Ontvangst van geitenmelk uit België (in l),2021,41854485.0
Ontvangst van schapenmelk uit België (in l),2012,
Ontvangst van schapenmelk uit België (in l),2013,
Ontvangst van schapenmelk uit België (in l),2014,15305.0
Ontvangst van schapenmelk uit België (in l),2015,87648.0
Ontvangst van schapenmelk uit België (in l),2016,
Ontvangst van schapenmelk uit België (in l),2017,108272.0
Ontvangst van schapenmelk uit België (in l),2018,147976.0
Ontvangst van schapenmelk uit België (in l),2019,153730.0
Ontvangst van schapenmelk uit België (in l),2020,207709.0
Ontvangst van schapenmelk uit België (in l),2021,263660.0
Aankoop van geitenmelk uit buitenland (in l),2012,
Aankoop van geitenmelk uit buitenland (in l),2013,18677026.0
Aankoop van geitenmelk uit buitenland (in l),2014,
Aankoop van geitenmelk uit buitenland (in l),2015,25529846.0
Aankoop van geitenmelk uit buitenland (in l),2016,29112791.0
Aankoop van geitenmelk uit buitenland (in l),2017,36249006.0
Aankoop van geitenmelk uit buitenland (in l),2018,28025889.0
Aankoop van geitenmelk uit buitenland (in l),2019,29853119.0
Aankoop van geitenmelk uit buitenland (in l),2020,31148802.0
Aankoop van geitenmelk uit buitenland (in l),2021,26912409.0
Vervaardigd product - Geitenkaas - Verse,2012,2947606.0
Vervaardigd product - Geitenkaas - Verse,2013,3372918.0
Vervaardigd product - Geitenkaas - Verse,2014,4147056.0
Vervaardigd product - Geitenkaas - Verse,2015,4797082.0
Vervaardigd product - Geitenkaas - Verse,2016,5540865.0
Vervaardigd product - Geitenkaas - Verse,2017,7698478.0
Vervaardigd product - Geitenkaas - Verse,2018,9204646.0
Vervaardigd product - Geitenkaas - Verse,2019,9469249.0
Vervaardigd product - Geitenkaas - Verse,2020,9621499.0
Vervaardigd product - Geitenkaas - Verse,2021,6939856.0
Vervaardigd product - Geitenkaas - Andere,2012,295644.0
Vervaardigd product - Geitenkaas - Andere,2013,31029.0
Vervaardigd product - Geitenkaas - Andere,2014,12822.0
Vervaardigd product - Geitenkaas - Andere,2015,300485.0
Vervaardigd product - Geitenkaas - Andere,2016,267150.0
Vervaardigd product - Geitenkaas - Andere,2017,252406.0
Vervaardigd product - Geitenkaas - Andere,2018,355623.0
Vervaardigd product - Geitenkaas - Andere,2019,373546.0
Vervaardigd product - Geitenkaas - Andere,2020,456045.0
Vervaardigd product - Geitenkaas - Andere,2021,428159.0
Vervaardigd product - Schapenkaas,2012,
Vervaardigd product - Schapenkaas,2013,421.0
Vervaardigd product - Schapenkaas,2014,4234.0
Vervaardigd product - Schapenkaas,2015,109934.0
Vervaardigd product - Schapenkaas,2016,79055.0
Vervaardigd product - Schapenkaas,2017,160754.0
Vervaardigd product - Schapenkaas,2018,190624.0
Vervaardigd product - Schapenkaas,2019,100618.0
Vervaardigd product - Schapenkaas,2020,58764.0
Vervaardigd product - Schapenkaas,2021,56202.0
Andere vervaardigde producten,2012,
Andere vervaardigde producten,2013,44400.0
Andere vervaardigde producten,2014,58554.0
Andere vervaardigde producten,2015,2098775.0
Andere vervaardigde producten,2016,13206.0
Andere vervaardigde producten,2017,
Andere vervaardigde producten,2018,59081.0
Andere vervaardigde producten,2019,55374.0
Andere vervaardigde producten,2020,56427.0
Andere vervaardigde producten,2021,55119.0
