Karakteristieken,België,Gewest,Jaar,Gebouwtype,Aantal eenheden
Aantal gebouwen,België,Vlaams Gewest,2022,Huizen in gesloten bebouwing,655107
Aantal gebouwen,België,Vlaams Gewest,2022,Huizen in halfopen bebouwing,602513
Aantal gebouwen,België,Vlaams Gewest,2022,"Huizen in open bebouwing, hoeven en kastelen",907055
Aantal gebouwen,België,Vlaams Gewest,2022,Buildings en flatgebouwen met appartementen,142733
Aantal gebouwen,België,Brussels Hoofdstedelijk Gewest,2022,Huizen in gesloten bebouwing,104734
Aantal gebouwen,België,Brussels Hoofdstedelijk Gewest,2022,Huizen in halfopen bebouwing,15581
Aantal gebouwen,België,Brussels Hoofdstedelijk Gewest,2022,"Huizen in open bebouwing, hoeven en kastelen",5820
Aantal gebouwen,België,Brussels Hoofdstedelijk Gewest,2022,Buildings en flatgebouwen met appartementen,39289
Aantal gebouwen,België,Waals Gewest,2022,Huizen in gesloten bebouwing,421541
Aantal gebouwen,België,Waals Gewest,2022,Huizen in halfopen bebouwing,376675
Aantal gebouwen,België,Waals Gewest,2022,"Huizen in open bebouwing, hoeven en kastelen",514998
Aantal gebouwen,België,Waals Gewest,2022,Buildings en flatgebouwen met appartementen,51030
Aantal gebouwen,België,,2022,Huizen in gesloten bebouwing,1181382
Aantal gebouwen,België,,2022,Huizen in halfopen bebouwing,994769
Aantal gebouwen,België,,2022,"Huizen in open bebouwing, hoeven en kastelen",1427873
Aantal gebouwen,België,,2022,Buildings en flatgebouwen met appartementen,233052
Aantal gebouwen opgericht na 1981,België,Vlaams Gewest,2022,Huizen in gesloten bebouwing,91841
Aantal gebouwen opgericht na 1981,België,Vlaams Gewest,2022,Huizen in halfopen bebouwing,189007
Aantal gebouwen opgericht na 1981,België,Vlaams Gewest,2022,"Huizen in open bebouwing, hoeven en kastelen",411484
Aantal gebouwen opgericht na 1981,België,Vlaams Gewest,2022,Buildings en flatgebouwen met appartementen,63544
Aantal gebouwen opgericht na 1981,België,Brussels Hoofdstedelijk Gewest,2022,Huizen in gesloten bebouwing,3899
Aantal gebouwen opgericht na 1981,België,Brussels Hoofdstedelijk Gewest,2022,Huizen in halfopen bebouwing,1827
Aantal gebouwen opgericht na 1981,België,Brussels Hoofdstedelijk Gewest,2022,"Huizen in open bebouwing, hoeven en kastelen",956
Aantal gebouwen opgericht na 1981,België,Brussels Hoofdstedelijk Gewest,2022,Buildings en flatgebouwen met appartementen,4461
Aantal gebouwen opgericht na 1981,België,Waals Gewest,2022,Huizen in gesloten bebouwing,24999
Aantal gebouwen opgericht na 1981,België,Waals Gewest,2022,Huizen in halfopen bebouwing,49758
Aantal gebouwen opgericht na 1981,België,Waals Gewest,2022,"Huizen in open bebouwing, hoeven en kastelen",199550
Aantal gebouwen opgericht na 1981,België,Waals Gewest,2022,Buildings en flatgebouwen met appartementen,15681
Aantal gebouwen opgericht na 1981,België,,2022,Huizen in gesloten bebouwing,120739
Aantal gebouwen opgericht na 1981,België,,2022,Huizen in halfopen bebouwing,240592
Aantal gebouwen opgericht na 1981,België,,2022,"Huizen in open bebouwing, hoeven en kastelen",611990
Aantal gebouwen opgericht na 1981,België,,2022,Buildings en flatgebouwen met appartementen,83686
Aantal woongelegenheden,België,Vlaams Gewest,2022,Huizen in gesloten bebouwing,698066
Aantal woongelegenheden,België,Vlaams Gewest,2022,Huizen in halfopen bebouwing,608362
Aantal woongelegenheden,België,Vlaams Gewest,2022,"Huizen in open bebouwing, hoeven en kastelen",913309
Aantal woongelegenheden,België,Vlaams Gewest,2022,Buildings en flatgebouwen met appartementen,930044
Aantal woongelegenheden,België,Brussels Hoofdstedelijk Gewest,2022,Huizen in gesloten bebouwing,182411
Aantal woongelegenheden,België,Brussels Hoofdstedelijk Gewest,2022,Huizen in halfopen bebouwing,17366
Aantal woongelegenheden,België,Brussels Hoofdstedelijk Gewest,2022,"Huizen in open bebouwing, hoeven en kastelen",6180
Aantal woongelegenheden,België,Brussels Hoofdstedelijk Gewest,2022,Buildings en flatgebouwen met appartementen,347350
Aantal woongelegenheden,België,Waals Gewest,2022,Huizen in gesloten bebouwing,457568
Aantal woongelegenheden,België,Waals Gewest,2022,Huizen in halfopen bebouwing,388514
Aantal woongelegenheden,België,Waals Gewest,2022,"Huizen in open bebouwing, hoeven en kastelen",524838
Aantal woongelegenheden,België,Waals Gewest,2022,Buildings en flatgebouwen met appartementen,307663
Aantal woongelegenheden,België,,2022,Huizen in gesloten bebouwing,1338045
Aantal woongelegenheden,België,,2022,Huizen in halfopen bebouwing,1014242
Aantal woongelegenheden,België,,2022,"Huizen in open bebouwing, hoeven en kastelen",1444327
Aantal woongelegenheden,België,,2022,Buildings en flatgebouwen met appartementen,1585057
