België,Gewest,Jaar,Verlies van fulltime banen,Verlies van parttime banen,Totaal banenverlies
België,Vlaams Gewest,2011,5936,2998,14752
België,Vlaams Gewest,2012,7484,3099,16992
België,Vlaams Gewest,2013,7749,3870,18488
België,Vlaams Gewest,2014,6554,3096,15960
België,Vlaams Gewest,2015,5414,2628,13765
België,Vlaams Gewest,2016,6034,3375,15177
België,Vlaams Gewest,2017,4496,2167,12325
België,Vlaams Gewest,2018,4334,2260,11851
België,Vlaams Gewest,2019,4607,3507,13817
België,Vlaams Gewest,2020,5867,3738,13814
België,Vlaams Gewest,2021,3327,1327,8478
België,Vlaams Gewest,2022,4123,1960,12091
België,Brussels Hoofdstedelijk Gewest,2011,2868,1060,6631
België,Brussels Hoofdstedelijk Gewest,2012,2983,1184,6811
België,Brussels Hoofdstedelijk Gewest,2013,2448,1451,6969
België,Brussels Hoofdstedelijk Gewest,2014,2879,1663,7119
België,Brussels Hoofdstedelijk Gewest,2015,2145,1061,5690
België,Brussels Hoofdstedelijk Gewest,2016,2348,1160,5720
België,Brussels Hoofdstedelijk Gewest,2017,1933,1174,6117
België,Brussels Hoofdstedelijk Gewest,2018,2018,960,6489
België,Brussels Hoofdstedelijk Gewest,2019,1649,1136,6299
België,Brussels Hoofdstedelijk Gewest,2020,1506,879,4065
België,Brussels Hoofdstedelijk Gewest,2021,1970,657,4089
België,Brussels Hoofdstedelijk Gewest,2022,1617,668,4266
België,Waals Gewest,2011,5108,1618,10151
België,Waals Gewest,2012,5056,2191,10676
België,Waals Gewest,2013,4831,2251,10927
België,Waals Gewest,2014,4790,2455,10986
België,Waals Gewest,2015,4494,2236,9982
België,Waals Gewest,2016,2880,1428,7162
België,Waals Gewest,2017,3570,1456,8039
België,Waals Gewest,2018,2490,1350,6583
België,Waals Gewest,2019,3504,1504,7991
België,Waals Gewest,2020,2105,898,5143
België,Waals Gewest,2021,2512,768,5219
België,Waals Gewest,2022,2576,1067,6043
België,,2011,13912,5676,31534
België,,2012,15523,6474,34479
België,,2013,15028,7572,36384
België,,2014,14223,7214,34065
België,,2015,12053,5925,29437
België,,2016,11262,5963,28059
België,,2017,9999,4797,26481
België,,2018,8842,4570,24923
België,,2019,9760,6147,28107
België,,2020,9478,5515,23022
België,,2021,7809,2752,17786
België,,2022,8316,3695,22400
