NACE-groepen,Referentiemaand,Gedeflateerde bruto-index,Tendens gedeflateerde index
Totaal detailhandel met uitzondering van de brandstoffen,September 2022,101.574,104.416
Totaal detailhandel met uitzondering van de brandstoffen,Oktober 2022,102.307,103.562
Totaal detailhandel met uitzondering van de brandstoffen,November 2022,101.755,102.548
Totaal detailhandel met uitzondering van de brandstoffen,December 2022,119.771,102.062
Detailhandel in niet-gespecialiseerde winkels waarbij voedings- en genotmiddelen overheersen,September 2022,89.152,92.889
Detailhandel in niet-gespecialiseerde winkels waarbij voedings- en genotmiddelen overheersen,Oktober 2022,92.058,92.017
Detailhandel in niet-gespecialiseerde winkels waarbij voedings- en genotmiddelen overheersen,November 2022,89.321,91.194
Detailhandel in niet-gespecialiseerde winkels waarbij voedings- en genotmiddelen overheersen,December 2022,107.195,90.447
Overige detailhandel in niet-gespecialiseerde winkels,September 2022,100.208,111.735
Overige detailhandel in niet-gespecialiseerde winkels,Oktober 2022,111.185,111.95
Overige detailhandel in niet-gespecialiseerde winkels,November 2022,120.523,112.094
Overige detailhandel in niet-gespecialiseerde winkels,December 2022,143.894,112.212
Detailhandel in niet-gespecialiseerde winkels,September 2022,90.15,94.366
Detailhandel in niet-gespecialiseerde winkels,Oktober 2022,93.657,93.725
Detailhandel in niet-gespecialiseerde winkels,November 2022,91.55,93.051
Detailhandel in niet-gespecialiseerde winkels,December 2022,109.961,92.429
Voedingsmiddelen in gespecialiseerde winkels,September 2022,86.825,87.149
Voedingsmiddelen in gespecialiseerde winkels,Oktober 2022,84.746,85.928
Voedingsmiddelen in gespecialiseerde winkels,November 2022,84.083,84.791
Voedingsmiddelen in gespecialiseerde winkels,December 2022,105.768,83.863
Motorbrandstoffen in gespecialiseerde winkels,September 2022,94.105,91.161
Motorbrandstoffen in gespecialiseerde winkels,Oktober 2022,92.998,90.639
Motorbrandstoffen in gespecialiseerde winkels,November 2022,81.325,90.35
Motorbrandstoffen in gespecialiseerde winkels,December 2022,98.482,90.494
"Voedingsmiddelen, dranken en tabak",September 2022,89.342,92.523
"Voedingsmiddelen, dranken en tabak",Oktober 2022,91.407,91.696
"Voedingsmiddelen, dranken en tabak",November 2022,88.902,90.904
"Voedingsmiddelen, dranken en tabak",December 2022,107.23,90.235
Detailhandel in niet-voedingswaren (exclusief motorbrandstoffen),September 2022,107.027,108.739
Detailhandel in niet-voedingswaren (exclusief motorbrandstoffen),Oktober 2022,106.888,107.511
Detailhandel in niet-voedingswaren (exclusief motorbrandstoffen),November 2022,107.803,106.182
Detailhandel in niet-voedingswaren (exclusief motorbrandstoffen),December 2022,124.081,105.076
ICT-apparatuur in gespecialiseerde winkels,September 2022,110.913,109.231
ICT-apparatuur in gespecialiseerde winkels,Oktober 2022,109.63,109.372
ICT-apparatuur in gespecialiseerde winkels,November 2022,119.084,109.123
ICT-apparatuur in gespecialiseerde winkels,December 2022,142.987,108.718
Andere consumentenartikelen in gespecialiseerde winkels,September 2022,118.778,123.875
Andere consumentenartikelen in gespecialiseerde winkels,Oktober 2022,121.512,124.252
Andere consumentenartikelen in gespecialiseerde winkels,November 2022,119.766,124.647
Andere consumentenartikelen in gespecialiseerde winkels,December 2022,128.461,125.057
Cultuur- en recreatieartikelen in gespecialiseerde winkels,September 2022,96.762,100.417
Cultuur- en recreatieartikelen in gespecialiseerde winkels,Oktober 2022,96.422,100.223
Cultuur- en recreatieartikelen in gespecialiseerde winkels,November 2022,99.576,100.058
Cultuur- en recreatieartikelen in gespecialiseerde winkels,December 2022,128.52,99.952
Detailhandel in andere artikelen in gespecialiseerde winkels,September 2022,112.173,113.603
Detailhandel in andere artikelen in gespecialiseerde winkels,Oktober 2022,112.208,113.636
Detailhandel in andere artikelen in gespecialiseerde winkels,November 2022,107.271,113.698
Detailhandel in andere artikelen in gespecialiseerde winkels,December 2022,130.047,113.788
Markt- en straathandel,September 2022,97.632,105.351
Markt- en straathandel,Oktober 2022,104.543,104.693
Markt- en straathandel,November 2022,103.409,104.891
Markt- en straathandel,December 2022,115.17,104.362
Detailhandel via postorderbedrijven of via internet,September 2022,204.216,205.127
Detailhandel via postorderbedrijven of via internet,Oktober 2022,191.598,203.333
Detailhandel via postorderbedrijven of via internet,November 2022,235.477,201.594
Detailhandel via postorderbedrijven of via internet,December 2022,220.056,200.522
"Detailhandel, niet in winkels en exclusief markt-en straathandel",September 2022,163.001,161.712
"Detailhandel, niet in winkels en exclusief markt-en straathandel",Oktober 2022,152.902,161.834
"Detailhandel, niet in winkels en exclusief markt-en straathandel",November 2022,178.674,162.113
"Detailhandel, niet in winkels en exclusief markt-en straathandel",December 2022,182.822,162.589
"Textiel, kleding, schoeisel en lederwaren in gespecialiseerde winkels",September 2022,100.623,100.405
"Textiel, kleding, schoeisel en lederwaren in gespecialiseerde winkels",Oktober 2022,102.087,100.518
"Textiel, kleding, schoeisel en lederwaren in gespecialiseerde winkels",November 2022,96.206,100.639
"Textiel, kleding, schoeisel en lederwaren in gespecialiseerde winkels",December 2022,117.259,100.762
Farmaceutische producten/ medische en orthopedische artikelen/ parfumerie en schoonheidsproducten in gespecialiseerde winkels,September 2022,114.885,115.236
Farmaceutische producten/ medische en orthopedische artikelen/ parfumerie en schoonheidsproducten in gespecialiseerde winkels,Oktober 2022,113.42,115.315
Farmaceutische producten/ medische en orthopedische artikelen/ parfumerie en schoonheidsproducten in gespecialiseerde winkels,November 2022,114.536,115.434
Farmaceutische producten/ medische en orthopedische artikelen/ parfumerie en schoonheidsproducten in gespecialiseerde winkels,December 2022,141.077,115.623
