België,Gewest,Kwartaal,Totaal,Geslacht,Werkgelegenheidsgraad,Werkloosheidsgraad,Activiteitsgraad
België,Brussels Hoofdstedelijk Gewest,4de kwartaal 2021,Totaal,Mannen,0.643,0.117,0.728
België,Brussels Hoofdstedelijk Gewest,4de kwartaal 2021,Totaal,Vrouwen,0.541,0.108,0.606
België,Brussels Hoofdstedelijk Gewest,4de kwartaal 2021,Totaal,,0.592,0.113,0.667
België,Brussels Hoofdstedelijk Gewest,1ste kwartaal 2022,Totaal,Mannen,0.639,0.105,0.714
België,Brussels Hoofdstedelijk Gewest,1ste kwartaal 2022,Totaal,Vrouwen,0.554,0.123,0.632
België,Brussels Hoofdstedelijk Gewest,1ste kwartaal 2022,Totaal,,0.597,0.113,0.673
België,Brussels Hoofdstedelijk Gewest,2de kwartaal 2022,Totaal,Mannen,0.641,0.132,0.738
België,Brussels Hoofdstedelijk Gewest,2de kwartaal 2022,Totaal,Vrouwen,0.549,0.105,0.613
België,Brussels Hoofdstedelijk Gewest,2de kwartaal 2022,Totaal,,0.595,0.12,0.676
België,Brussels Hoofdstedelijk Gewest,3de kwartaal 2022,Totaal,Mannen,0.65,0.116,0.735
België,Brussels Hoofdstedelijk Gewest,3de kwartaal 2022,Totaal,Vrouwen,0.561,0.109,0.63
België,Brussels Hoofdstedelijk Gewest,3de kwartaal 2022,Totaal,,0.605,0.113,0.682
België,Vlaams Gewest,4de kwartaal 2021,Totaal,Mannen,0.727,0.041,0.758
België,Vlaams Gewest,4de kwartaal 2021,Totaal,Vrouwen,0.682,0.026,0.7
België,Vlaams Gewest,4de kwartaal 2021,Totaal,,0.705,0.034,0.73
België,Vlaams Gewest,1ste kwartaal 2022,Totaal,Mannen,0.738,0.03,0.761
België,Vlaams Gewest,1ste kwartaal 2022,Totaal,Vrouwen,0.685,0.026,0.704
België,Vlaams Gewest,1ste kwartaal 2022,Totaal,,0.712,0.028,0.733
België,Vlaams Gewest,2de kwartaal 2022,Totaal,Mannen,0.741,0.03,0.764
België,Vlaams Gewest,2de kwartaal 2022,Totaal,Vrouwen,0.678,0.031,0.7
België,Vlaams Gewest,2de kwartaal 2022,Totaal,,0.71,0.031,0.732
België,Vlaams Gewest,3de kwartaal 2022,Totaal,Mannen,0.751,0.037,0.78
België,Vlaams Gewest,3de kwartaal 2022,Totaal,Vrouwen,0.685,0.034,0.71
België,Vlaams Gewest,3de kwartaal 2022,Totaal,,0.719,0.036,0.745
België,Waals Gewest,4de kwartaal 2021,Totaal,Mannen,0.641,0.106,0.717
België,Waals Gewest,4de kwartaal 2021,Totaal,Vrouwen,0.579,0.061,0.616
België,Waals Gewest,4de kwartaal 2021,Totaal,,0.61,0.085,0.667
België,Waals Gewest,1ste kwartaal 2022,Totaal,Mannen,0.646,0.089,0.709
België,Waals Gewest,1ste kwartaal 2022,Totaal,Vrouwen,0.557,0.078,0.605
België,Waals Gewest,1ste kwartaal 2022,Totaal,,0.602,0.084,0.657
België,Waals Gewest,2de kwartaal 2022,Totaal,Mannen,0.622,0.088,0.682
België,Waals Gewest,2de kwartaal 2022,Totaal,Vrouwen,0.564,0.084,0.616
België,Waals Gewest,2de kwartaal 2022,Totaal,,0.593,0.086,0.649
België,Waals Gewest,3de kwartaal 2022,Totaal,Mannen,0.629,0.087,0.689
België,Waals Gewest,3de kwartaal 2022,Totaal,Vrouwen,0.577,0.072,0.622
België,Waals Gewest,3de kwartaal 2022,Totaal,,0.603,0.08,0.655
België,,4de kwartaal 2021,Totaal,Mannen,0.691,0.069,0.742
België,,4de kwartaal 2021,Totaal,Vrouwen,0.633,0.045,0.663
België,,4de kwartaal 2021,Totaal,,0.662,0.058,0.703
België,,1ste kwartaal 2022,Totaal,Mannen,0.698,0.056,0.739
België,,1ste kwartaal 2022,Totaal,Vrouwen,0.63,0.052,0.664
België,,1ste kwartaal 2022,Totaal,,0.664,0.054,0.702
België,,2de kwartaal 2022,Totaal,Mannen,0.692,0.058,0.735
België,,2de kwartaal 2022,Totaal,Vrouwen,0.627,0.055,0.664
België,,2de kwartaal 2022,Totaal,,0.66,0.057,0.7
België,,3de kwartaal 2022,Totaal,Mannen,0.701,0.06,0.746
België,,3de kwartaal 2022,Totaal,Vrouwen,0.637,0.053,0.673
België,,3de kwartaal 2022,Totaal,,0.669,0.057,0.71
