België,Gewest,Provincie,Arrondissement,Koppel met kind(eren)
België,Vlaams Gewest,Provincie Antwerpen,,0.279
België,Vlaams Gewest,Provincie Vlaams-Brabant,,0.311
België,Vlaams Gewest,Provincie West-Vlaanderen,,0.288
België,Vlaams Gewest,Provincie Oost-Vlaanderen,,0.294
België,Vlaams Gewest,Provincie Limburg,,0.331
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,0.205
België,Waals Gewest,Provincie Waals-Brabant,,0.315
België,Waals Gewest,Provincie Henegouwen,,0.26
België,Waals Gewest,Provincie Luik,,0.253
België,Waals Gewest,Provincie Luxemburg,,0.316
België,Waals Gewest,Provincie Namen,,0.282
België,,,,0.277
