Mannen en vrouwen,Geslacht,Alle leeftijden,Leeftijdsgroep,Bevolking op 01 januari 2012,Bevolking op 01 januari 2013,Bevolking op 01 januari 2014,Bevolking op 01 januari 2015,Bevolking op 01 januari 2016,Bevolking op 01 januari 2017,Bevolking op 01 januari 2018,Bevolking op 01 januari 2019,Bevolking op 01 januari 2020,Bevolking op 01 januari 2021,Bevolking op 01 januari 2022
Mannen en vrouwen,Vrouwen,Alle leeftijden,Minder dan 18 jaar,1097544,1104403,1109146,1112811,1116898,1120828,1123794,1125978,1129474,1129663,1132816
Mannen en vrouwen,Vrouwen,Alle leeftijden,Van 18 tot 64 jaar,3419361,3426953,3430647,3438304,3446878,3451947,3457154,3464413,3472205,3472776,3480577
Mannen en vrouwen,Vrouwen,Alle leeftijden,65 jaar en meer,1105242,1120710,1136414,1152835,1166602,1181308,1197216,1212787,1230898,1241588,1261713
Mannen en vrouwen,Vrouwen,Alle leeftijden,,5622147,5652066,5676207,5703950,5730378,5754083,5778164,5803178,5832577,5844027,5875106
Mannen en vrouwen,Mannen,Alle leeftijden,Minder dan 18 jaar,1148091,1154313,1159599,1164347,1168683,1173811,1177701,1179409,1182566,1182459,1185903
Mannen en vrouwen,Mannen,Alle leeftijden,Van 18 tot 64 jaar,3446480,3454760,3457286,3462994,3472890,3480405,3486865,3496306,3503918,3507219,3515396
Mannen en vrouwen,Mannen,Alle leeftijden,65 jaar en meer,819230,838415,857424,877753,895959,913789,933340,952513,973580,987533,1007603
Mannen en vrouwen,Mannen,Alle leeftijden,,5413801,5447488,5474309,5505094,5537532,5568005,5597906,5628228,5660064,5677211,5708902
Mannen en vrouwen,,Alle leeftijden,Minder dan 18 jaar,2245635,2258716,2268745,2277158,2285581,2294639,2301495,2305387,2312040,2312122,2318719
Mannen en vrouwen,,Alle leeftijden,Van 18 tot 64 jaar,6865841,6881713,6887933,6901298,6919768,6932352,6944019,6960719,6976123,6979995,6995973
Mannen en vrouwen,,Alle leeftijden,65 jaar en meer,1924472,1959125,1993838,2030588,2062561,2095097,2130556,2165300,2204478,2229121,2269316
Mannen en vrouwen,,Alle leeftijden,,11035948,11099554,11150516,11209044,11267910,11322088,11376070,11431406,11492641,11521238,11584008
