België,Gewest,Provincie,totaal,Positie in het huishouden niveau 1,Werkende bevolking
België,Brussels Hoofdstedelijk Gewest  ,Brussels Hoofdstedelijk Gewest  ,totaal,Personen in een particulier huishouden,370037
België,Brussels Hoofdstedelijk Gewest  ,Brussels Hoofdstedelijk Gewest  ,totaal,Personen niet in een particulier huishouden,343
België,Brussels Hoofdstedelijk Gewest  ,Brussels Hoofdstedelijk Gewest  ,totaal,,370380
België,Vlaams Gewest  ,Provincie Antwerpen,totaal,Personen in een particulier huishouden,746002
België,Vlaams Gewest  ,Provincie Antwerpen,totaal,Personen niet in een particulier huishouden,732
België,Vlaams Gewest  ,Provincie Antwerpen,totaal,,746734
België,Vlaams Gewest  ,Provincie Limburg,totaal,Personen in een particulier huishouden,363416
België,Vlaams Gewest  ,Provincie Limburg,totaal,Personen niet in een particulier huishouden,375
België,Vlaams Gewest  ,Provincie Limburg,totaal,,363791
België,Vlaams Gewest  ,Provincie Oost-Vlaanderen,totaal,Personen in een particulier huishouden,639065
België,Vlaams Gewest  ,Provincie Oost-Vlaanderen,totaal,Personen niet in een particulier huishouden,535
België,Vlaams Gewest  ,Provincie Oost-Vlaanderen,totaal,,639600
België,Vlaams Gewest  ,Provincie Vlaams-Brabant,totaal,Personen in een particulier huishouden,477140
België,Vlaams Gewest  ,Provincie Vlaams-Brabant,totaal,Personen niet in een particulier huishouden,499
België,Vlaams Gewest  ,Provincie Vlaams-Brabant,totaal,,477639
België,Vlaams Gewest  ,Provincie West-Vlaanderen,totaal,Personen in een particulier huishouden,504943
België,Vlaams Gewest  ,Provincie West-Vlaanderen,totaal,Personen niet in een particulier huishouden,726
België,Vlaams Gewest  ,Provincie West-Vlaanderen,totaal,,505669
België,Waals Gewest,Provincie Waals-Brabant,totaal,Personen in een particulier huishouden,155699
België,Waals Gewest,Provincie Waals-Brabant,totaal,Personen niet in een particulier huishouden,162
België,Waals Gewest,Provincie Waals-Brabant,totaal,,155861
België,Waals Gewest,Provincie Henegouwen,totaal,Personen in een particulier huishouden,469954
België,Waals Gewest,Provincie Henegouwen,totaal,Personen niet in een particulier huishouden,310
België,Waals Gewest,Provincie Henegouwen,totaal,,470264
België,Waals Gewest,Provincie Luik,totaal,Personen in een particulier huishouden,403609
België,Waals Gewest,Provincie Luik,totaal,Personen niet in een particulier huishouden,373
België,Waals Gewest,Provincie Luik,totaal,,403982
België,Waals Gewest,Provincie Luxemburg,totaal,Personen in een particulier huishouden,109531
België,Waals Gewest,Provincie Luxemburg,totaal,Personen niet in een particulier huishouden,165
België,Waals Gewest,Provincie Luxemburg,totaal,,109696
België,Waals Gewest,Provincie Namen,totaal,Personen in een particulier huishouden,189118
België,Waals Gewest,Provincie Namen,totaal,Personen niet in een particulier huishouden,237
België,Waals Gewest,Provincie Namen,totaal,,189355
België,,,totaal,Personen in een particulier huishouden,4428514
België,,,totaal,Personen niet in een particulier huishouden,4457
België,,,totaal,,4432971
