Karakteristieken,België,Gewest,Jaar,Gebouwtype,Aantal eenheden
Aantal gebouwen,België,Vlaams Gewest,2022,Huizen in gesloten bebouwing,655107.0
Aantal gebouwen,België,Vlaams Gewest,2022,Huizen in halfopen bebouwing,602513.0
Aantal gebouwen,België,Vlaams Gewest,2022,"Huizen in open bebouwing, hoeven en kastelen",907055.0
Aantal gebouwen,België,Vlaams Gewest,2022,Buildings en flatgebouwen met appartementen,142733.0
Aantal gebouwen,België,Brussels Hoofdstedelijk Gewest,2022,Huizen in gesloten bebouwing,104734.0
Aantal gebouwen,België,Brussels Hoofdstedelijk Gewest,2022,Huizen in halfopen bebouwing,15581.0
Aantal gebouwen,België,Brussels Hoofdstedelijk Gewest,2022,"Huizen in open bebouwing, hoeven en kastelen",5820.0
Aantal gebouwen,België,Brussels Hoofdstedelijk Gewest,2022,Buildings en flatgebouwen met appartementen,39289.0
Aantal gebouwen,België,Waals Gewest,2022,Huizen in gesloten bebouwing,421541.0
Aantal gebouwen,België,Waals Gewest,2022,Huizen in halfopen bebouwing,376675.0
Aantal gebouwen,België,Waals Gewest,2022,"Huizen in open bebouwing, hoeven en kastelen",514998.0
Aantal gebouwen,België,Waals Gewest,2022,Buildings en flatgebouwen met appartementen,51030.0
Aantal gebouwen,België,,2022,Huizen in gesloten bebouwing,1181382.0
Aantal gebouwen,België,,2022,Huizen in halfopen bebouwing,994769.0
Aantal gebouwen,België,,2022,"Huizen in open bebouwing, hoeven en kastelen",1427873.0
Aantal gebouwen,België,,2022,Buildings en flatgebouwen met appartementen,233052.0
Aantal gebouwen opgericht na 1981,België,Vlaams Gewest,2022,Huizen in gesloten bebouwing,91841.0
Aantal gebouwen opgericht na 1981,België,Vlaams Gewest,2022,Huizen in halfopen bebouwing,189007.0
Aantal gebouwen opgericht na 1981,België,Vlaams Gewest,2022,"Huizen in open bebouwing, hoeven en kastelen",411484.0
Aantal gebouwen opgericht na 1981,België,Vlaams Gewest,2022,Buildings en flatgebouwen met appartementen,63544.0
Aantal gebouwen opgericht na 1981,België,Brussels Hoofdstedelijk Gewest,2022,Huizen in gesloten bebouwing,3899.0
Aantal gebouwen opgericht na 1981,België,Brussels Hoofdstedelijk Gewest,2022,Huizen in halfopen bebouwing,1827.0
Aantal gebouwen opgericht na 1981,België,Brussels Hoofdstedelijk Gewest,2022,"Huizen in open bebouwing, hoeven en kastelen",956.0
Aantal gebouwen opgericht na 1981,België,Brussels Hoofdstedelijk Gewest,2022,Buildings en flatgebouwen met appartementen,4461.0
Aantal gebouwen opgericht na 1981,België,Waals Gewest,2022,Huizen in gesloten bebouwing,24999.0
Aantal gebouwen opgericht na 1981,België,Waals Gewest,2022,Huizen in halfopen bebouwing,49758.0
Aantal gebouwen opgericht na 1981,België,Waals Gewest,2022,"Huizen in open bebouwing, hoeven en kastelen",199550.0
Aantal gebouwen opgericht na 1981,België,Waals Gewest,2022,Buildings en flatgebouwen met appartementen,15681.0
Aantal gebouwen opgericht na 1981,België,,2022,Huizen in gesloten bebouwing,120739.0
Aantal gebouwen opgericht na 1981,België,,2022,Huizen in halfopen bebouwing,240592.0
Aantal gebouwen opgericht na 1981,België,,2022,"Huizen in open bebouwing, hoeven en kastelen",611990.0
