België,Gewest,Provincie,Arrondissement,Gemiddelde leeftijd van de bevolking
België,Vlaams Gewest,Provincie Antwerpen,,41.237
België,Vlaams Gewest,Provincie Vlaams-Brabant,,41.356
België,Vlaams Gewest,Provincie West-Vlaanderen,,43.134
België,Vlaams Gewest,Provincie Oost-Vlaanderen,,41.528
België,Vlaams Gewest,Provincie Limburg,,41.428
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,37.485
België,Waals Gewest,Provincie Waals-Brabant,,40.236
België,Waals Gewest,Provincie Henegouwen,,40.553
België,Waals Gewest,Provincie Luik,,40.645
België,Waals Gewest,Provincie Luxemburg,,39.104
België,Waals Gewest,Provincie Namen,,40.194
België,,,,40.842
