Totaal,Rechtsvorm,Jaar,Alle plaatsen,Gewest,Aantal schrappingen
Totaal,Natuurlijke persoon,2021,Alle plaatsen,Vlaams Gewest,28575.0
Totaal,Natuurlijke persoon,2021,Alle plaatsen,Brussels Hoofdstedelijk Gewest,4005.0
Totaal,Natuurlijke persoon,2021,Alle plaatsen,Waals Gewest,11579.0
Totaal,Natuurlijke persoon,2021,Alle plaatsen,Buitenland,2334.0
Totaal,Natuurlijke persoon,2021,Alle plaatsen,Onbekend,6.0
Totaal,Natuurlijke persoon,2021,Alle plaatsen,,46499.0
Totaal,VGN (vennootschap onder gemeenschappelijke naam) of VEG (vennootschap bij wijze van enkelvoudige geldschieting),2021,Alle plaatsen,Vlaams Gewest,2224.0
Totaal,VGN (vennootschap onder gemeenschappelijke naam) of VEG (vennootschap bij wijze van enkelvoudige geldschieting),2021,Alle plaatsen,Brussels Hoofdstedelijk Gewest,332.0
Totaal,VGN (vennootschap onder gemeenschappelijke naam) of VEG (vennootschap bij wijze van enkelvoudige geldschieting),2021,Alle plaatsen,Waals Gewest,430.0
Totaal,VGN (vennootschap onder gemeenschappelijke naam) of VEG (vennootschap bij wijze van enkelvoudige geldschieting),2021,Alle plaatsen,Buitenland,0.0
Totaal,VGN (vennootschap onder gemeenschappelijke naam) of VEG (vennootschap bij wijze van enkelvoudige geldschieting),2021,Alle plaatsen,Onbekend,
Totaal,VGN (vennootschap onder gemeenschappelijke naam) of VEG (vennootschap bij wijze van enkelvoudige geldschieting),2021,Alle plaatsen,,2986.0
Totaal,NV (naamloze vennootschap) of VGD (vennootschap bij wijze van geldschieten op aandelen),2021,Alle plaatsen,Vlaams Gewest,1381.0
Totaal,NV (naamloze vennootschap) of VGD (vennootschap bij wijze van geldschieten op aandelen),2021,Alle plaatsen,Brussels Hoofdstedelijk Gewest,482.0
Totaal,NV (naamloze vennootschap) of VGD (vennootschap bij wijze van geldschieten op aandelen),2021,Alle plaatsen,Waals Gewest,566.0
Totaal,NV (naamloze vennootschap) of VGD (vennootschap bij wijze van geldschieten op aandelen),2021,Alle plaatsen,Buitenland,
Totaal,NV (naamloze vennootschap) of VGD (vennootschap bij wijze van geldschieten op aandelen),2021,Alle plaatsen,Onbekend,
Totaal,NV (naamloze vennootschap) of VGD (vennootschap bij wijze van geldschieten op aandelen),2021,Alle plaatsen,,2429.0
Totaal,BVBA,2021,Alle plaatsen,Vlaams Gewest,7671.0
Totaal,BVBA,2021,Alle plaatsen,Brussels Hoofdstedelijk Gewest,2862.0
Totaal,BVBA,2021,Alle plaatsen,Waals Gewest,3139.0
Totaal,BVBA,2021,Alle plaatsen,Buitenland,0.0
Totaal,BVBA,2021,Alle plaatsen,Onbekend,
Totaal,BVBA,2021,Alle plaatsen,,13672.0
Totaal,Coöperative vennootschap,2021,Alle plaatsen,Vlaams Gewest,242.0
Totaal,Coöperative vennootschap,2021,Alle plaatsen,Brussels Hoofdstedelijk Gewest,156.0
Totaal,Coöperative vennootschap,2021,Alle plaatsen,Waals Gewest,189.0
Totaal,Coöperative vennootschap,2021,Alle plaatsen,Buitenland,0.0
Totaal,Coöperative vennootschap,2021,Alle plaatsen,Onbekend,
Totaal,Coöperative vennootschap,2021,Alle plaatsen,,587.0
Totaal,Handelsvereniging in deelneming of tijdelijke handelsvereniging,2021,Alle plaatsen,Vlaams Gewest,517.0
Totaal,Handelsvereniging in deelneming of tijdelijke handelsvereniging,2021,Alle plaatsen,Brussels Hoofdstedelijk Gewest,67.0
Totaal,Handelsvereniging in deelneming of tijdelijke handelsvereniging,2021,Alle plaatsen,Waals Gewest,357.0
Totaal,Handelsvereniging in deelneming of tijdelijke handelsvereniging,2021,Alle plaatsen,Buitenland,1.0
Totaal,Handelsvereniging in deelneming of tijdelijke handelsvereniging,2021,Alle plaatsen,Onbekend,
Totaal,Handelsvereniging in deelneming of tijdelijke handelsvereniging,2021,Alle plaatsen,,942.0
Totaal,Handelsvennootschap van buitenlands recht,2021,Alle plaatsen,Vlaams Gewest,1.0
Totaal,Handelsvennootschap van buitenlands recht,2021,Alle plaatsen,Brussels Hoofdstedelijk Gewest,0.0
Totaal,Handelsvennootschap van buitenlands recht,2021,Alle plaatsen,Waals Gewest,0.0
Totaal,Handelsvennootschap van buitenlands recht,2021,Alle plaatsen,Buitenland,2219.0
Totaal,Handelsvennootschap van buitenlands recht,2021,Alle plaatsen,Onbekend,0.0
Totaal,Handelsvennootschap van buitenlands recht,2021,Alle plaatsen,,2220.0
Totaal,VZW (vereniging zonder winstgevend doel),2021,Alle plaatsen,Vlaams Gewest,628.0
Totaal,VZW (vereniging zonder winstgevend doel),2021,Alle plaatsen,Brussels Hoofdstedelijk Gewest,145.0
Totaal,VZW (vereniging zonder winstgevend doel),2021,Alle plaatsen,Waals Gewest,286.0
Totaal,VZW (vereniging zonder winstgevend doel),2021,Alle plaatsen,Buitenland,3.0
Totaal,VZW (vereniging zonder winstgevend doel),2021,Alle plaatsen,Onbekend,
Totaal,VZW (vereniging zonder winstgevend doel),2021,Alle plaatsen,,1062.0
Totaal,Publiekrechterlijke instelling,2021,Alle plaatsen,Vlaams Gewest,9.0
Totaal,Publiekrechterlijke instelling,2021,Alle plaatsen,Brussels Hoofdstedelijk Gewest,3.0
Totaal,Publiekrechterlijke instelling,2021,Alle plaatsen,Waals Gewest,2.0
Totaal,Publiekrechterlijke instelling,2021,Alle plaatsen,Buitenland,0.0
Totaal,Publiekrechterlijke instelling,2021,Alle plaatsen,Onbekend,
Totaal,Publiekrechterlijke instelling,2021,Alle plaatsen,,14.0
Totaal,Andere rechtsvormen,2021,Alle plaatsen,Vlaams Gewest,211.0
Totaal,Andere rechtsvormen,2021,Alle plaatsen,Brussels Hoofdstedelijk Gewest,34.0
Totaal,Andere rechtsvormen,2021,Alle plaatsen,Waals Gewest,64.0
Totaal,Andere rechtsvormen,2021,Alle plaatsen,Buitenland,0.0
Totaal,Andere rechtsvormen,2021,Alle plaatsen,Onbekend,
Totaal,Andere rechtsvormen,2021,Alle plaatsen,,309.0
Totaal,,2021,Alle plaatsen,Vlaams Gewest,41459.0
Totaal,,2021,Alle plaatsen,Brussels Hoofdstedelijk Gewest,8086.0
Totaal,,2021,Alle plaatsen,Waals Gewest,16612.0
Totaal,,2021,Alle plaatsen,Buitenland,4557.0
Totaal,,2021,Alle plaatsen,Onbekend,6.0
Totaal,,2021,Alle plaatsen,,70720.0
