Alle economische activiteiten,Sectie,Jaar,Maand,Aantal faillissementen
Alle economische activiteiten,"A Landbouw, bosbouw en visserij",2021,December 2021,5.0
Alle economische activiteiten,"A Landbouw, bosbouw en visserij",2022,Januari 2022,8.0
Alle economische activiteiten,"A Landbouw, bosbouw en visserij",2022,Februari 2022,5.0
Alle economische activiteiten,"A Landbouw, bosbouw en visserij",2022,Maart 2022,8.0
Alle economische activiteiten,"A Landbouw, bosbouw en visserij",2022,April 2022,11.0
Alle economische activiteiten,"A Landbouw, bosbouw en visserij",2022,Mei 2022,7.0
Alle economische activiteiten,"A Landbouw, bosbouw en visserij",2022,Juni 2022,10.0
Alle economische activiteiten,"A Landbouw, bosbouw en visserij",2022,Juli 2022,5.0
Alle economische activiteiten,"A Landbouw, bosbouw en visserij",2022,Augustus 2022,1.0
Alle economische activiteiten,"A Landbouw, bosbouw en visserij",2022,September 2022,6.0
Alle economische activiteiten,"A Landbouw, bosbouw en visserij",2022,Oktober 2022,9.0
Alle economische activiteiten,"A Landbouw, bosbouw en visserij",2022,November 2022,5.0
Alle economische activiteiten,"A Landbouw, bosbouw en visserij",2022,December 2022,5.0
Alle economische activiteiten,B Winning van delfstoffen,2021,December 2021,
Alle economische activiteiten,B Winning van delfstoffen,2022,Januari 2022,
Alle economische activiteiten,B Winning van delfstoffen,2022,Februari 2022,
Alle economische activiteiten,B Winning van delfstoffen,2022,Maart 2022,1.0
Alle economische activiteiten,B Winning van delfstoffen,2022,April 2022,
Alle economische activiteiten,B Winning van delfstoffen,2022,Mei 2022,
Alle economische activiteiten,B Winning van delfstoffen,2022,Juni 2022,
Alle economische activiteiten,B Winning van delfstoffen,2022,Juli 2022,1.0
Alle economische activiteiten,B Winning van delfstoffen,2022,Augustus 2022,
Alle economische activiteiten,B Winning van delfstoffen,2022,September 2022,
Alle economische activiteiten,B Winning van delfstoffen,2022,Oktober 2022,
Alle economische activiteiten,B Winning van delfstoffen,2022,November 2022,
Alle economische activiteiten,B Winning van delfstoffen,2022,December 2022,
Alle economische activiteiten,C Industrie,2021,December 2021,31.0
Alle economische activiteiten,C Industrie,2022,Januari 2022,34.0
Alle economische activiteiten,C Industrie,2022,Februari 2022,36.0
Alle economische activiteiten,C Industrie,2022,Maart 2022,44.0
Alle economische activiteiten,C Industrie,2022,April 2022,26.0
Alle economische activiteiten,C Industrie,2022,Mei 2022,27.0
Alle economische activiteiten,C Industrie,2022,Juni 2022,40.0
Alle economische activiteiten,C Industrie,2022,Juli 2022,32.0
Alle economische activiteiten,C Industrie,2022,Augustus 2022,18.0
Alle economische activiteiten,C Industrie,2022,September 2022,48.0
Alle economische activiteiten,C Industrie,2022,Oktober 2022,37.0
Alle economische activiteiten,C Industrie,2022,November 2022,25.0
Alle economische activiteiten,C Industrie,2022,December 2022,45.0
Alle economische activiteiten,"D Productie en distributie van elektriciteit, gas, stoom en gekoelde lucht",2021,December 2021,2.0
Alle economische activiteiten,"D Productie en distributie van elektriciteit, gas, stoom en gekoelde lucht",2022,Januari 2022,
Alle economische activiteiten,"D Productie en distributie van elektriciteit, gas, stoom en gekoelde lucht",2022,Februari 2022,
Alle economische activiteiten,"D Productie en distributie van elektriciteit, gas, stoom en gekoelde lucht",2022,Maart 2022,
Alle economische activiteiten,"D Productie en distributie van elektriciteit, gas, stoom en gekoelde lucht",2022,April 2022,2.0
Alle economische activiteiten,"D Productie en distributie van elektriciteit, gas, stoom en gekoelde lucht",2022,Mei 2022,1.0
Alle economische activiteiten,"D Productie en distributie van elektriciteit, gas, stoom en gekoelde lucht",2022,Juni 2022,1.0
Alle economische activiteiten,"D Productie en distributie van elektriciteit, gas, stoom en gekoelde lucht",2022,Juli 2022,
Alle economische activiteiten,"D Productie en distributie van elektriciteit, gas, stoom en gekoelde lucht",2022,Augustus 2022,
Alle economische activiteiten,"D Productie en distributie van elektriciteit, gas, stoom en gekoelde lucht",2022,September 2022,1.0
Alle economische activiteiten,"D Productie en distributie van elektriciteit, gas, stoom en gekoelde lucht",2022,Oktober 2022,
Alle economische activiteiten,"D Productie en distributie van elektriciteit, gas, stoom en gekoelde lucht",2022,November 2022,
Alle economische activiteiten,"D Productie en distributie van elektriciteit, gas, stoom en gekoelde lucht",2022,December 2022,1.0
Alle economische activiteiten,E Distributie van water/ afval- en afvalwaterbeheer en sanering,2021,December 2021,2.0
Alle economische activiteiten,E Distributie van water/ afval- en afvalwaterbeheer en sanering,2022,Januari 2022,
Alle economische activiteiten,E Distributie van water/ afval- en afvalwaterbeheer en sanering,2022,Februari 2022,2.0
Alle economische activiteiten,E Distributie van water/ afval- en afvalwaterbeheer en sanering,2022,Maart 2022,
Alle economische activiteiten,E Distributie van water/ afval- en afvalwaterbeheer en sanering,2022,April 2022,
Alle economische activiteiten,E Distributie van water/ afval- en afvalwaterbeheer en sanering,2022,Mei 2022,4.0
Alle economische activiteiten,E Distributie van water/ afval- en afvalwaterbeheer en sanering,2022,Juni 2022,3.0
Alle economische activiteiten,E Distributie van water/ afval- en afvalwaterbeheer en sanering,2022,Juli 2022,
Alle economische activiteiten,E Distributie van water/ afval- en afvalwaterbeheer en sanering,2022,Augustus 2022,1.0
Alle economische activiteiten,E Distributie van water/ afval- en afvalwaterbeheer en sanering,2022,September 2022,1.0
Alle economische activiteiten,E Distributie van water/ afval- en afvalwaterbeheer en sanering,2022,Oktober 2022,1.0
Alle economische activiteiten,E Distributie van water/ afval- en afvalwaterbeheer en sanering,2022,November 2022,1.0
Alle economische activiteiten,E Distributie van water/ afval- en afvalwaterbeheer en sanering,2022,December 2022,
Alle economische activiteiten,F Bouwnijverheid,2021,December 2021,148.0
Alle economische activiteiten,F Bouwnijverheid,2022,Januari 2022,111.0
Alle economische activiteiten,F Bouwnijverheid,2022,Februari 2022,146.0
Alle economische activiteiten,F Bouwnijverheid,2022,Maart 2022,180.0
Alle economische activiteiten,F Bouwnijverheid,2022,April 2022,114.0
Alle economische activiteiten,F Bouwnijverheid,2022,Mei 2022,211.0
Alle economische activiteiten,F Bouwnijverheid,2022,Juni 2022,229.0
Alle economische activiteiten,F Bouwnijverheid,2022,Juli 2022,99.0
Alle economische activiteiten,F Bouwnijverheid,2022,Augustus 2022,81.0
Alle economische activiteiten,F Bouwnijverheid,2022,September 2022,241.0
Alle economische activiteiten,F Bouwnijverheid,2022,Oktober 2022,197.0
Alle economische activiteiten,F Bouwnijverheid,2022,November 2022,158.0
Alle economische activiteiten,F Bouwnijverheid,2022,December 2022,186.0
Alle economische activiteiten,G Groot- en detailhandel/ reparatie van auto’s en motorfietsen,2021,December 2021,161.0
Alle economische activiteiten,G Groot- en detailhandel/ reparatie van auto’s en motorfietsen,2022,Januari 2022,134.0
Alle economische activiteiten,G Groot- en detailhandel/ reparatie van auto’s en motorfietsen,2022,Februari 2022,175.0
Alle economische activiteiten,G Groot- en detailhandel/ reparatie van auto’s en motorfietsen,2022,Maart 2022,210.0
Alle economische activiteiten,G Groot- en detailhandel/ reparatie van auto’s en motorfietsen,2022,April 2022,142.0
Alle economische activiteiten,G Groot- en detailhandel/ reparatie van auto’s en motorfietsen,2022,Mei 2022,210.0
Alle economische activiteiten,G Groot- en detailhandel/ reparatie van auto’s en motorfietsen,2022,Juni 2022,220.0
Alle economische activiteiten,G Groot- en detailhandel/ reparatie van auto’s en motorfietsen,2022,Juli 2022,122.0
Alle economische activiteiten,G Groot- en detailhandel/ reparatie van auto’s en motorfietsen,2022,Augustus 2022,64.0
Alle economische activiteiten,G Groot- en detailhandel/ reparatie van auto’s en motorfietsen,2022,September 2022,206.0
Alle economische activiteiten,G Groot- en detailhandel/ reparatie van auto’s en motorfietsen,2022,Oktober 2022,204.0
Alle economische activiteiten,G Groot- en detailhandel/ reparatie van auto’s en motorfietsen,2022,November 2022,168.0
Alle economische activiteiten,G Groot- en detailhandel/ reparatie van auto’s en motorfietsen,2022,December 2022,165.0
Alle economische activiteiten,H Vervoer en opslag,2021,December 2021,52.0
Alle economische activiteiten,H Vervoer en opslag,2022,Januari 2022,60.0
Alle economische activiteiten,H Vervoer en opslag,2022,Februari 2022,44.0
Alle economische activiteiten,H Vervoer en opslag,2022,Maart 2022,57.0
Alle economische activiteiten,H Vervoer en opslag,2022,April 2022,42.0
Alle economische activiteiten,H Vervoer en opslag,2022,Mei 2022,55.0
Alle economische activiteiten,H Vervoer en opslag,2022,Juni 2022,78.0
Alle economische activiteiten,H Vervoer en opslag,2022,Juli 2022,28.0
Alle economische activiteiten,H Vervoer en opslag,2022,Augustus 2022,14.0
Alle economische activiteiten,H Vervoer en opslag,2022,September 2022,57.0
Alle economische activiteiten,H Vervoer en opslag,2022,Oktober 2022,55.0
Alle economische activiteiten,H Vervoer en opslag,2022,November 2022,51.0
Alle economische activiteiten,H Vervoer en opslag,2022,December 2022,36.0
Alle economische activiteiten,I Verschaffen van accommodatie en maaltijden,2021,December 2021,125.0
Alle economische activiteiten,I Verschaffen van accommodatie en maaltijden,2022,Januari 2022,103.0
Alle economische activiteiten,I Verschaffen van accommodatie en maaltijden,2022,Februari 2022,123.0
Alle economische activiteiten,I Verschaffen van accommodatie en maaltijden,2022,Maart 2022,182.0
Alle economische activiteiten,I Verschaffen van accommodatie en maaltijden,2022,April 2022,113.0
Alle economische activiteiten,I Verschaffen van accommodatie en maaltijden,2022,Mei 2022,164.0
Alle economische activiteiten,I Verschaffen van accommodatie en maaltijden,2022,Juni 2022,179.0
Alle economische activiteiten,I Verschaffen van accommodatie en maaltijden,2022,Juli 2022,89.0
Alle economische activiteiten,I Verschaffen van accommodatie en maaltijden,2022,Augustus 2022,58.0
Alle economische activiteiten,I Verschaffen van accommodatie en maaltijden,2022,September 2022,162.0
Alle economische activiteiten,I Verschaffen van accommodatie en maaltijden,2022,Oktober 2022,164.0
Alle economische activiteiten,I Verschaffen van accommodatie en maaltijden,2022,November 2022,148.0
Alle economische activiteiten,I Verschaffen van accommodatie en maaltijden,2022,December 2022,132.0
Alle economische activiteiten,J Informatie en communicatie,2021,December 2021,21.0
Alle economische activiteiten,J Informatie en communicatie,2022,Januari 2022,18.0
Alle economische activiteiten,J Informatie en communicatie,2022,Februari 2022,29.0
Alle economische activiteiten,J Informatie en communicatie,2022,Maart 2022,28.0
Alle economische activiteiten,J Informatie en communicatie,2022,April 2022,28.0
Alle economische activiteiten,J Informatie en communicatie,2022,Mei 2022,25.0
Alle economische activiteiten,J Informatie en communicatie,2022,Juni 2022,34.0
Alle economische activiteiten,J Informatie en communicatie,2022,Juli 2022,12.0
Alle economische activiteiten,J Informatie en communicatie,2022,Augustus 2022,14.0
