Gebruikt product,Jaar,Maand,Hoeveelheid  product (BE)
Halfvolle melk (in l),2021,Augustus 2021,
Halfvolle melk (in l),2021,September 2021,
Halfvolle melk (in l),2021,Oktober 2021,
Halfvolle melk (in l),2021,November 2021,
Halfvolle melk (in l),2021,December 2021,
Halfvolle melk (in l),2022,Januari 2022,
Halfvolle melk (in l),2022,Februari 2022,
Halfvolle melk (in l),2022,Maart 2022,
Halfvolle melk (in l),2022,April 2022,
Halfvolle melk (in l),2022,Mei 2022,
Halfvolle melk (in l),2022,Juni 2022,
Halfvolle melk (in l),2022,Juli 2022,
Halfvolle melk (in l),2022,Augustus 2022,
Karnemelk (in l),2021,Augustus 2021,330.0
Karnemelk (in l),2021,September 2021,305.0
Karnemelk (in l),2021,Oktober 2021,338.0
Karnemelk (in l),2021,November 2021,338.0
Karnemelk (in l),2021,December 2021,315.0
Karnemelk (in l),2022,Januari 2022,315.0
Karnemelk (in l),2022,Februari 2022,320.0
Karnemelk (in l),2022,Maart 2022,335.0
Karnemelk (in l),2022,April 2022,310.0
Karnemelk (in l),2022,Mei 2022,308.0
Karnemelk (in l),2022,Juni 2022,320.0
Karnemelk (in l),2022,Juli 2022,300.0
Karnemelk (in l),2022,Augustus 2022,210.0
Melkerijboter,2021,Augustus 2021,482292.0
Melkerijboter,2021,September 2021,551105.0
Melkerijboter,2021,Oktober 2021,546448.0
Melkerijboter,2021,November 2021,813774.0
Melkerijboter,2021,December 2021,666761.0
Melkerijboter,2022,Januari 2022,557009.0
Melkerijboter,2022,Februari 2022,672857.0
Melkerijboter,2022,Maart 2022,486391.0
Melkerijboter,2022,April 2022,553160.0
Melkerijboter,2022,Mei 2022,579233.0
Melkerijboter,2022,Juni 2022,523766.0
Melkerijboter,2022,Juli 2022,398291.0
Melkerijboter,2022,Augustus 2022,364855.0
Watervrij melkvet,2021,Augustus 2021,
Watervrij melkvet,2021,September 2021,
Watervrij melkvet,2021,Oktober 2021,
Watervrij melkvet,2021,November 2021,
Watervrij melkvet,2021,December 2021,
Watervrij melkvet,2022,Januari 2022,
Watervrij melkvet,2022,Februari 2022,
Watervrij melkvet,2022,Maart 2022,
Watervrij melkvet,2022,April 2022,
Watervrij melkvet,2022,Mei 2022,
Watervrij melkvet,2022,Juni 2022,
Watervrij melkvet,2022,Juli 2022,
Watervrij melkvet,2022,Augustus 2022,
Boterolie en boterconcentraat,2021,Augustus 2021,17505.0
Boterolie en boterconcentraat,2021,September 2021,23888.0
Boterolie en boterconcentraat,2021,Oktober 2021,24219.0
Boterolie en boterconcentraat,2021,November 2021,20932.0
Boterolie en boterconcentraat,2021,December 2021,25933.0
Boterolie en boterconcentraat,2022,Januari 2022,28890.0
Boterolie en boterconcentraat,2022,Februari 2022,21144.0
Boterolie en boterconcentraat,2022,Maart 2022,24562.0
Boterolie en boterconcentraat,2022,April 2022,13535.0
Boterolie en boterconcentraat,2022,Mei 2022,18783.0
Boterolie en boterconcentraat,2022,Juni 2022,20731.0
Boterolie en boterconcentraat,2022,Juli 2022,12392.0
Boterolie en boterconcentraat,2022,Augustus 2022,33493.0
Andere boter/Melkvetten,2021,Augustus 2021,
Andere boter/Melkvetten,2021,September 2021,
Andere boter/Melkvetten,2021,Oktober 2021,
Andere boter/Melkvetten,2021,November 2021,
Andere boter/Melkvetten,2021,December 2021,
Andere boter/Melkvetten,2022,Januari 2022,
Andere boter/Melkvetten,2022,Februari 2022,
Andere boter/Melkvetten,2022,Maart 2022,
Andere boter/Melkvetten,2022,April 2022,
Andere boter/Melkvetten,2022,Mei 2022,
Andere boter/Melkvetten,2022,Juni 2022,
Andere boter/Melkvetten,2022,Juli 2022,
Andere boter/Melkvetten,2022,Augustus 2022,
Poeder van Room,2021,Augustus 2021,
Poeder van Room,2021,September 2021,
Poeder van Room,2021,Oktober 2021,
Poeder van Room,2021,November 2021,
Poeder van Room,2021,December 2021,
Poeder van Room,2022,Januari 2022,
Poeder van Room,2022,Februari 2022,
Poeder van Room,2022,Maart 2022,
Poeder van Room,2022,April 2022,
Poeder van Room,2022,Mei 2022,
Poeder van Room,2022,Juni 2022,
Poeder van Room,2022,Juli 2022,
Poeder van Room,2022,Augustus 2022,
Poeder van volle melk,2021,Augustus 2021,15027.0
Poeder van volle melk,2021,September 2021,14622.0
Poeder van volle melk,2021,Oktober 2021,16403.0
Poeder van volle melk,2021,November 2021,8575.0
Poeder van volle melk,2021,December 2021,17415.0
Poeder van volle melk,2022,Januari 2022,18143.0
Poeder van volle melk,2022,Februari 2022,14542.0
Poeder van volle melk,2022,Maart 2022,20002.0
Poeder van volle melk,2022,April 2022,12188.0
Poeder van volle melk,2022,Mei 2022,14877.0
Poeder van volle melk,2022,Juni 2022,18300.0
Poeder van volle melk,2022,Juli 2022,12250.0
Poeder van volle melk,2022,Augustus 2022,12447.0
Poeder van halfvolle melk - gedeeltel. afger. melk,2021,Augustus 2021,
Poeder van halfvolle melk - gedeeltel. afger. melk,2021,September 2021,
Poeder van halfvolle melk - gedeeltel. afger. melk,2021,Oktober 2021,
Poeder van halfvolle melk - gedeeltel. afger. melk,2021,November 2021,
Poeder van halfvolle melk - gedeeltel. afger. melk,2021,December 2021,
Poeder van halfvolle melk - gedeeltel. afger. melk,2022,Januari 2022,275.0
Poeder van halfvolle melk - gedeeltel. afger. melk,2022,Februari 2022,
Poeder van halfvolle melk - gedeeltel. afger. melk,2022,Maart 2022,195.0
Poeder van halfvolle melk - gedeeltel. afger. melk,2022,April 2022,
Poeder van halfvolle melk - gedeeltel. afger. melk,2022,Mei 2022,325.0
Poeder van halfvolle melk - gedeeltel. afger. melk,2022,Juni 2022,
Poeder van halfvolle melk - gedeeltel. afger. melk,2022,Juli 2022,300.0
Poeder van halfvolle melk - gedeeltel. afger. melk,2022,Augustus 2022,
Poeder van magere melk,2021,Augustus 2021,129594.0
Poeder van magere melk,2021,September 2021,82083.0
Poeder van magere melk,2021,Oktober 2021,84772.0
Poeder van magere melk,2021,November 2021,43058.0
Poeder van magere melk,2021,December 2021,108885.0
Poeder van magere melk,2022,Januari 2022,67588.0
Poeder van magere melk,2022,Februari 2022,97492.0
Poeder van magere melk,2022,Maart 2022,146099.0
