Gewest,Provincie,Arrondissement,Aandeel buitenlanders
Vlaams Gewest,Provincie Antwerpen,,0.094
Vlaams Gewest,Provincie Vlaams-Brabant,,0.081
Vlaams Gewest,Provincie West-Vlaanderen,,0.032
Vlaams Gewest,Provincie Oost-Vlaanderen,,0.046
Vlaams Gewest,Provincie Limburg,,0.094
Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,0.323
Waals Gewest,Provincie Waals-Brabant,,0.09
Waals Gewest,Provincie Henegouwen,,0.116
Waals Gewest,Provincie Luik,,0.11
Waals Gewest,Provincie Luxemburg,,0.069
Waals Gewest,Provincie Namen,,0.05
