België,Gewest,Provincie,totaal,Positie in het huishouden niveau 1,Bevolking
België,Brussels Hoofdstedelijk Gewest  ,Brussels Hoofdstedelijk Gewest  ,totaal,Personen in een particulier huishouden,1126639
België,Brussels Hoofdstedelijk Gewest  ,Brussels Hoofdstedelijk Gewest  ,totaal,Personen niet in een particulier huishouden,10139
België,Brussels Hoofdstedelijk Gewest  ,Brussels Hoofdstedelijk Gewest  ,totaal,,1136778
België,Vlaams Gewest  ,Provincie Antwerpen,totaal,Personen in een particulier huishouden,1750969
België,Vlaams Gewest  ,Provincie Antwerpen,totaal,Personen niet in een particulier huishouden,22298
België,Vlaams Gewest  ,Provincie Antwerpen,totaal,,1773267
België,Vlaams Gewest  ,Provincie Limburg,totaal,Personen in een particulier huishouden,838477
België,Vlaams Gewest  ,Provincie Limburg,totaal,Personen niet in een particulier huishouden,8374
België,Vlaams Gewest  ,Provincie Limburg,totaal,,846851
België,Vlaams Gewest  ,Provincie Oost-Vlaanderen,totaal,Personen in een particulier huishouden,1429067
België,Vlaams Gewest  ,Provincie Oost-Vlaanderen,totaal,Personen niet in een particulier huishouden,19861
België,Vlaams Gewest  ,Provincie Oost-Vlaanderen,totaal,,1448928
België,Vlaams Gewest  ,Provincie Vlaams-Brabant,totaal,Personen in een particulier huishouden,1077087
België,Vlaams Gewest  ,Provincie Vlaams-Brabant,totaal,Personen niet in een particulier huishouden,11605
België,Vlaams Gewest  ,Provincie Vlaams-Brabant,totaal,,1088692
België,Vlaams Gewest  ,Provincie West-Vlaanderen,totaal,Personen in een particulier huishouden,1150412
België,Vlaams Gewest  ,Provincie West-Vlaanderen,totaal,Personen niet in een particulier huishouden,17590
België,Vlaams Gewest  ,Provincie West-Vlaanderen,totaal,,1168002
België,Waals Gewest,Provincie Waals-Brabant,totaal,Personen in een particulier huishouden,379602
België,Waals Gewest,Provincie Waals-Brabant,totaal,Personen niet in een particulier huishouden,4046
België,Waals Gewest,Provincie Waals-Brabant,totaal,,383648
België,Waals Gewest,Provincie Henegouwen,totaal,Personen in een particulier huishouden,1301734
België,Waals Gewest,Provincie Henegouwen,totaal,Personen niet in een particulier huishouden,18011
België,Waals Gewest,Provincie Henegouwen,totaal,,1319745
België,Waals Gewest,Provincie Luik,totaal,Personen in een particulier huishouden,1068167
België,Waals Gewest,Provincie Luik,totaal,Personen niet in een particulier huishouden,13969
België,Waals Gewest,Provincie Luik,totaal,,1082136
België,Waals Gewest,Provincie Luxemburg,totaal,Personen in een particulier huishouden,270273
België,Waals Gewest,Provincie Luxemburg,totaal,Personen niet in een particulier huishouden,2932
België,Waals Gewest,Provincie Luxemburg,totaal,,273205
België,Waals Gewest,Provincie Namen,totaal,Personen in een particulier huishouden,471877
België,Waals Gewest,Provincie Namen,totaal,Personen niet in een particulier huishouden,7509
België,Waals Gewest,Provincie Namen,totaal,,479386
België,,,totaal,Personen in een particulier huishouden,10864304
België,,,totaal,Personen niet in een particulier huishouden,136334
België,,,totaal,,11000638
