Jaar,Alle werknemersklassen,NIS werknemersklasse,Alle plaatsen,Gewest,Aantal schrappingen
2021,Alle werknemersklassen,Geen werknemer,Alle plaatsen,Vlaams Gewest,40233.0
2021,Alle werknemersklassen,Geen werknemer,Alle plaatsen,Brussels Hoofdstedelijk Gewest,7819.0
2021,Alle werknemersklassen,Geen werknemer,Alle plaatsen,Waals Gewest,15870.0
2021,Alle werknemersklassen,Geen werknemer,Alle plaatsen,Buitenland,4483.0
2021,Alle werknemersklassen,Geen werknemer,Alle plaatsen,Onbekend,6.0
2021,Alle werknemersklassen,Geen werknemer,Alle plaatsen,,68411.0
2021,Alle werknemersklassen,1-4 werknemers,Alle plaatsen,Vlaams Gewest,947.0
2021,Alle werknemersklassen,1-4 werknemers,Alle plaatsen,Brussels Hoofdstedelijk Gewest,205.0
2021,Alle werknemersklassen,1-4 werknemers,Alle plaatsen,Waals Gewest,597.0
2021,Alle werknemersklassen,1-4 werknemers,Alle plaatsen,Buitenland,51.0
2021,Alle werknemersklassen,1-4 werknemers,Alle plaatsen,Onbekend,
2021,Alle werknemersklassen,1-4 werknemers,Alle plaatsen,,1800.0
2021,Alle werknemersklassen,5-9 werknemers,Alle plaatsen,Vlaams Gewest,130.0
2021,Alle werknemersklassen,5-9 werknemers,Alle plaatsen,Brussels Hoofdstedelijk Gewest,27.0
2021,Alle werknemersklassen,5-9 werknemers,Alle plaatsen,Waals Gewest,72.0
2021,Alle werknemersklassen,5-9 werknemers,Alle plaatsen,Buitenland,10.0
2021,Alle werknemersklassen,5-9 werknemers,Alle plaatsen,Onbekend,
2021,Alle werknemersklassen,5-9 werknemers,Alle plaatsen,,239.0
2021,Alle werknemersklassen,10-19 werknemers,Alle plaatsen,Vlaams Gewest,65.0
2021,Alle werknemersklassen,10-19 werknemers,Alle plaatsen,Brussels Hoofdstedelijk Gewest,13.0
2021,Alle werknemersklassen,10-19 werknemers,Alle plaatsen,Waals Gewest,42.0
2021,Alle werknemersklassen,10-19 werknemers,Alle plaatsen,Buitenland,9.0
2021,Alle werknemersklassen,10-19 werknemers,Alle plaatsen,Onbekend,
2021,Alle werknemersklassen,10-19 werknemers,Alle plaatsen,,129.0
2021,Alle werknemersklassen,20-49 werknemers,Alle plaatsen,Vlaams Gewest,49.0
2021,Alle werknemersklassen,20-49 werknemers,Alle plaatsen,Brussels Hoofdstedelijk Gewest,15.0
2021,Alle werknemersklassen,20-49 werknemers,Alle plaatsen,Waals Gewest,18.0
2021,Alle werknemersklassen,20-49 werknemers,Alle plaatsen,Buitenland,4.0
2021,Alle werknemersklassen,20-49 werknemers,Alle plaatsen,Onbekend,
2021,Alle werknemersklassen,20-49 werknemers,Alle plaatsen,,86.0
2021,Alle werknemersklassen,50-99 werknemers,Alle plaatsen,Vlaams Gewest,14.0
2021,Alle werknemersklassen,50-99 werknemers,Alle plaatsen,Brussels Hoofdstedelijk Gewest,4.0
2021,Alle werknemersklassen,50-99 werknemers,Alle plaatsen,Waals Gewest,11.0
2021,Alle werknemersklassen,50-99 werknemers,Alle plaatsen,Buitenland,0.0
2021,Alle werknemersklassen,50-99 werknemers,Alle plaatsen,Onbekend,
2021,Alle werknemersklassen,50-99 werknemers,Alle plaatsen,,29.0
2021,Alle werknemersklassen,100-199 werknemers,Alle plaatsen,Vlaams Gewest,12.0
2021,Alle werknemersklassen,100-199 werknemers,Alle plaatsen,Brussels Hoofdstedelijk Gewest,1.0
2021,Alle werknemersklassen,100-199 werknemers,Alle plaatsen,Waals Gewest,1.0
2021,Alle werknemersklassen,100-199 werknemers,Alle plaatsen,Buitenland,0.0
2021,Alle werknemersklassen,100-199 werknemers,Alle plaatsen,Onbekend,
2021,Alle werknemersklassen,100-199 werknemers,Alle plaatsen,,14.0
2021,Alle werknemersklassen,200-249 werknemers,Alle plaatsen,Vlaams Gewest,2.0
2021,Alle werknemersklassen,200-249 werknemers,Alle plaatsen,Brussels Hoofdstedelijk Gewest,0.0
2021,Alle werknemersklassen,200-249 werknemers,Alle plaatsen,Waals Gewest,0.0
2021,Alle werknemersklassen,200-249 werknemers,Alle plaatsen,Buitenland,0.0
2021,Alle werknemersklassen,200-249 werknemers,Alle plaatsen,Onbekend,
2021,Alle werknemersklassen,200-249 werknemers,Alle plaatsen,,2.0
2021,Alle werknemersklassen,250-499 werknemers,Alle plaatsen,Vlaams Gewest,5.0
2021,Alle werknemersklassen,250-499 werknemers,Alle plaatsen,Brussels Hoofdstedelijk Gewest,2.0
2021,Alle werknemersklassen,250-499 werknemers,Alle plaatsen,Waals Gewest,0.0
2021,Alle werknemersklassen,250-499 werknemers,Alle plaatsen,Buitenland,0.0
2021,Alle werknemersklassen,250-499 werknemers,Alle plaatsen,Onbekend,
2021,Alle werknemersklassen,250-499 werknemers,Alle plaatsen,,7.0
2021,Alle werknemersklassen,500-999 werknemers,Alle plaatsen,Vlaams Gewest,1.0
2021,Alle werknemersklassen,500-999 werknemers,Alle plaatsen,Brussels Hoofdstedelijk Gewest,0.0
2021,Alle werknemersklassen,500-999 werknemers,Alle plaatsen,Waals Gewest,1.0
2021,Alle werknemersklassen,500-999 werknemers,Alle plaatsen,Buitenland,0.0
2021,Alle werknemersklassen,500-999 werknemers,Alle plaatsen,Onbekend,
2021,Alle werknemersklassen,500-999 werknemers,Alle plaatsen,,2.0
2021,Alle werknemersklassen,1000-1999 werknemers,Alle plaatsen,Vlaams Gewest,1.0
2021,Alle werknemersklassen,1000-1999 werknemers,Alle plaatsen,Brussels Hoofdstedelijk Gewest,0.0
2021,Alle werknemersklassen,1000-1999 werknemers,Alle plaatsen,Waals Gewest,0.0
2021,Alle werknemersklassen,1000-1999 werknemers,Alle plaatsen,Buitenland,
2021,Alle werknemersklassen,1000-1999 werknemers,Alle plaatsen,Onbekend,
2021,Alle werknemersklassen,1000-1999 werknemers,Alle plaatsen,,1.0
2021,Alle werknemersklassen,2000-2999 werknemers,Alle plaatsen,Vlaams Gewest,0.0
2021,Alle werknemersklassen,2000-2999 werknemers,Alle plaatsen,Brussels Hoofdstedelijk Gewest,0.0
2021,Alle werknemersklassen,2000-2999 werknemers,Alle plaatsen,Waals Gewest,0.0
2021,Alle werknemersklassen,2000-2999 werknemers,Alle plaatsen,Buitenland,
2021,Alle werknemersklassen,2000-2999 werknemers,Alle plaatsen,Onbekend,
2021,Alle werknemersklassen,2000-2999 werknemers,Alle plaatsen,,0.0
2021,Alle werknemersklassen,3000-3999 werknemers,Alle plaatsen,Vlaams Gewest,0.0
2021,Alle werknemersklassen,3000-3999 werknemers,Alle plaatsen,Brussels Hoofdstedelijk Gewest,0.0
2021,Alle werknemersklassen,3000-3999 werknemers,Alle plaatsen,Waals Gewest,0.0
2021,Alle werknemersklassen,3000-3999 werknemers,Alle plaatsen,Buitenland,
2021,Alle werknemersklassen,3000-3999 werknemers,Alle plaatsen,Onbekend,
2021,Alle werknemersklassen,3000-3999 werknemers,Alle plaatsen,,0.0
2021,Alle werknemersklassen,4000-4999 werknemers,Alle plaatsen,Vlaams Gewest,0.0
2021,Alle werknemersklassen,4000-4999 werknemers,Alle plaatsen,Brussels Hoofdstedelijk Gewest,0.0
2021,Alle werknemersklassen,4000-4999 werknemers,Alle plaatsen,Waals Gewest,0.0
2021,Alle werknemersklassen,4000-4999 werknemers,Alle plaatsen,Buitenland,
2021,Alle werknemersklassen,4000-4999 werknemers,Alle plaatsen,Onbekend,
2021,Alle werknemersklassen,4000-4999 werknemers,Alle plaatsen,,0.0
2021,Alle werknemersklassen,5000-9999 werknemers,Alle plaatsen,Vlaams Gewest,0.0
2021,Alle werknemersklassen,5000-9999 werknemers,Alle plaatsen,Brussels Hoofdstedelijk Gewest,0.0
2021,Alle werknemersklassen,5000-9999 werknemers,Alle plaatsen,Waals Gewest,0.0
2021,Alle werknemersklassen,5000-9999 werknemers,Alle plaatsen,Buitenland,0.0
2021,Alle werknemersklassen,5000-9999 werknemers,Alle plaatsen,Onbekend,
2021,Alle werknemersklassen,5000-9999 werknemers,Alle plaatsen,,0.0
2021,Alle werknemersklassen,+ 10000 werknemers,Alle plaatsen,Vlaams Gewest,0.0
2021,Alle werknemersklassen,+ 10000 werknemers,Alle plaatsen,Brussels Hoofdstedelijk Gewest,0.0
2021,Alle werknemersklassen,+ 10000 werknemers,Alle plaatsen,Waals Gewest,0.0
2021,Alle werknemersklassen,+ 10000 werknemers,Alle plaatsen,Buitenland,
