België,Gewest,Totaal,Leeftijd (15-24/25-54/55-64),Jaar,Totaal.1,Geslacht,Inactieve bevolking,Werkgelegenheidsgraad,Werkloosheidsgraad,Activiteitsgraad
België,Brussels Hoofdstedelijk Gewest,Totaal,Van 15 tot 24 jaar,2017,Totaal,Mannen,51892.75,0.156,0.371,0.248
België,Brussels Hoofdstedelijk Gewest,Totaal,Van 15 tot 24 jaar,2017,Totaal,Vrouwen,55372.25,0.146,,0.204
België,Brussels Hoofdstedelijk Gewest,Totaal,Van 15 tot 24 jaar,2017,Totaal,,107264.75,0.151,0.332,0.226
België,Brussels Hoofdstedelijk Gewest,Totaal,Van 15 tot 24 jaar,2018,Totaal,Mannen,52335.25,0.169,0.328,0.251
België,Brussels Hoofdstedelijk Gewest,Totaal,Van 15 tot 24 jaar,2018,Totaal,Vrouwen,56099.5,0.142,,0.196
België,Brussels Hoofdstedelijk Gewest,Totaal,Van 15 tot 24 jaar,2018,Totaal,,108434.75,0.155,0.306,0.224
België,Brussels Hoofdstedelijk Gewest,Totaal,Van 15 tot 24 jaar,2019,Totaal,Mannen,54801.25,0.149,0.337,0.224
België,Brussels Hoofdstedelijk Gewest,Totaal,Van 15 tot 24 jaar,2019,Totaal,Vrouwen,56803.5,0.148,,0.195
België,Brussels Hoofdstedelijk Gewest,Totaal,Van 15 tot 24 jaar,2019,Totaal,,111604.75,0.148,0.292,0.21
België,Brussels Hoofdstedelijk Gewest,Totaal,Van 15 tot 24 jaar,2020,Totaal,Mannen,57472.75,0.134,,0.199
België,Brussels Hoofdstedelijk Gewest,Totaal,Van 15 tot 24 jaar,2020,Totaal,Vrouwen,58097.0,0.14,,0.188
België,Brussels Hoofdstedelijk Gewest,Totaal,Van 15 tot 24 jaar,2020,Totaal,,115569.75,0.137,0.291,0.193
België,Brussels Hoofdstedelijk Gewest,Totaal,Van 15 tot 24 jaar,2021,Totaal,Mannen,57364.0,0.142,,0.21
België,Brussels Hoofdstedelijk Gewest,Totaal,Van 15 tot 24 jaar,2021,Totaal,Vrouwen,60382.25,0.119,,0.166
België,Brussels Hoofdstedelijk Gewest,Totaal,Van 15 tot 24 jaar,2021,Totaal,,117746.25,0.13,0.308,0.188
België,Brussels Hoofdstedelijk Gewest,Totaal,Van 25 tot 54 jaar,2017,Totaal,Mannen,35809.0,0.752,0.134,0.868
België,Brussels Hoofdstedelijk Gewest,Totaal,Van 25 tot 54 jaar,2017,Totaal,Vrouwen,75001.5,0.615,0.148,0.721
België,Brussels Hoofdstedelijk Gewest,Totaal,Van 25 tot 54 jaar,2017,Totaal,,110810.75,0.684,0.14,0.795
België,Brussels Hoofdstedelijk Gewest,Totaal,Van 25 tot 54 jaar,2018,Totaal,Mannen,37878.25,0.746,0.135,0.862
België,Brussels Hoofdstedelijk Gewest,Totaal,Van 25 tot 54 jaar,2018,Totaal,Vrouwen,77701.5,0.633,0.113,0.714
België,Brussels Hoofdstedelijk Gewest,Totaal,Van 25 tot 54 jaar,2018,Totaal,,115579.75,0.689,0.125,0.788
België,Brussels Hoofdstedelijk Gewest,Totaal,Van 25 tot 54 jaar,2019,Totaal,Mannen,39277.5,0.762,0.111,0.858
België,Brussels Hoofdstedelijk Gewest,Totaal,Van 25 tot 54 jaar,2019,Totaal,Vrouwen,79340.75,0.624,0.121,0.71
België,Brussels Hoofdstedelijk Gewest,Totaal,Van 25 tot 54 jaar,2019,Totaal,,118618.5,0.693,0.116,0.784
België,Brussels Hoofdstedelijk Gewest,Totaal,Van 25 tot 54 jaar,2020,Totaal,Mannen,43111.25,0.757,0.104,0.845
België,Brussels Hoofdstedelijk Gewest,Totaal,Van 25 tot 54 jaar,2020,Totaal,Vrouwen,82540.75,0.612,0.126,0.7
België,Brussels Hoofdstedelijk Gewest,Totaal,Van 25 tot 54 jaar,2020,Totaal,,125652.0,0.685,0.114,0.773
België,Brussels Hoofdstedelijk Gewest,Totaal,Van 25 tot 54 jaar,2021,Totaal,Mannen,38105.5,0.767,0.111,0.863
België,Brussels Hoofdstedelijk Gewest,Totaal,Van 25 tot 54 jaar,2021,Totaal,Vrouwen,78276.0,0.628,0.123,0.717
België,Brussels Hoofdstedelijk Gewest,Totaal,Van 25 tot 54 jaar,2021,Totaal,,116381.75,0.698,0.117,0.79
België,Brussels Hoofdstedelijk Gewest,Totaal,Van 55 tot 64 jaar,2017,Totaal,Mannen,19567.5,0.546,0.161,0.651
België,Brussels Hoofdstedelijk Gewest,Totaal,Van 55 tot 64 jaar,2017,Totaal,Vrouwen,32172.0,0.429,,0.47
België,Brussels Hoofdstedelijk Gewest,Totaal,Van 55 tot 64 jaar,2017,Totaal,,51739.5,0.485,0.129,0.557
België,Brussels Hoofdstedelijk Gewest,Totaal,Van 55 tot 64 jaar,2018,Totaal,Mannen,23849.25,0.511,,0.584
België,Brussels Hoofdstedelijk Gewest,Totaal,Van 55 tot 64 jaar,2018,Totaal,Vrouwen,29060.0,0.481,,0.526
België,Brussels Hoofdstedelijk Gewest,Totaal,Van 55 tot 64 jaar,2018,Totaal,,52909.5,0.495,0.106,0.554
België,Brussels Hoofdstedelijk Gewest,Totaal,Van 55 tot 64 jaar,2019,Totaal,Mannen,23072.0,0.518,0.148,0.608
België,Brussels Hoofdstedelijk Gewest,Totaal,Van 55 tot 64 jaar,2019,Totaal,Vrouwen,29034.25,0.475,,0.532
België,Brussels Hoofdstedelijk Gewest,Totaal,Van 55 tot 64 jaar,2019,Totaal,,52106.25,0.496,0.128,0.569
België,Brussels Hoofdstedelijk Gewest,Totaal,Van 55 tot 64 jaar,2020,Totaal,Mannen,20188.25,0.569,0.145,0.665
België,Brussels Hoofdstedelijk Gewest,Totaal,Van 55 tot 64 jaar,2020,Totaal,Vrouwen,28958.75,0.49,,0.539
België,Brussels Hoofdstedelijk Gewest,Totaal,Van 55 tot 64 jaar,2020,Totaal,,49147.0,0.529,0.12,0.601
België,Brussels Hoofdstedelijk Gewest,Totaal,Van 55 tot 64 jaar,2021,Totaal,Mannen,20755.25,0.564,0.149,0.663
België,Brussels Hoofdstedelijk Gewest,Totaal,Van 55 tot 64 jaar,2021,Totaal,Vrouwen,29384.0,0.504,,0.535
België,Brussels Hoofdstedelijk Gewest,Totaal,Van 55 tot 64 jaar,2021,Totaal,,50139.0,0.534,0.108,0.598
België,Vlaams Gewest,Totaal,Van 15 tot 24 jaar,2017,Totaal,Mannen,241731.0,0.293,0.133,0.338
België,Vlaams Gewest,Totaal,Van 15 tot 24 jaar,2017,Totaal,Vrouwen,249734.0,0.256,0.122,0.292
België,Vlaams Gewest,Totaal,Van 15 tot 24 jaar,2017,Totaal,,491465.0,0.275,0.128,0.315
België,Vlaams Gewest,Totaal,Van 15 tot 24 jaar,2018,Totaal,Mannen,234601.75,0.318,0.113,0.358
België,Vlaams Gewest,Totaal,Van 15 tot 24 jaar,2018,Totaal,Vrouwen,238450.75,0.287,0.103,0.32
België,Vlaams Gewest,Totaal,Van 15 tot 24 jaar,2018,Totaal,,473052.5,0.302,0.109,0.339
België,Vlaams Gewest,Totaal,Van 15 tot 24 jaar,2019,Totaal,Mannen,225368.25,0.345,0.101,0.383
België,Vlaams Gewest,Totaal,Van 15 tot 24 jaar,2019,Totaal,Vrouwen,225788.5,0.324,0.088,0.355
België,Vlaams Gewest,Totaal,Van 15 tot 24 jaar,2019,Totaal,,451156.75,0.334,0.095,0.369
België,Vlaams Gewest,Totaal,Van 15 tot 24 jaar,2020,Totaal,Mannen,244068.75,0.299,0.108,0.335
België,Vlaams Gewest,Totaal,Van 15 tot 24 jaar,2020,Totaal,Vrouwen,239364.5,0.284,0.108,0.319
België,Vlaams Gewest,Totaal,Van 15 tot 24 jaar,2020,Totaal,,483433.25,0.292,0.108,0.327
België,Vlaams Gewest,Totaal,Van 15 tot 24 jaar,2021,Totaal,Mannen,238828.5,0.297,0.163,0.355
België,Vlaams Gewest,Totaal,Van 15 tot 24 jaar,2021,Totaal,Vrouwen,234843.75,0.301,0.105,0.336
België,Vlaams Gewest,Totaal,Van 15 tot 24 jaar,2021,Totaal,,473672.25,0.299,0.135,0.346
België,Vlaams Gewest,Totaal,Van 25 tot 54 jaar,2017,Totaal,Mannen,94904.25,0.896,0.032,0.926
België,Vlaams Gewest,Totaal,Van 25 tot 54 jaar,2017,Totaal,Vrouwen,211715.5,0.801,0.038,0.833
België,Vlaams Gewest,Totaal,Van 25 tot 54 jaar,2017,Totaal,,306620.0,0.849,0.035,0.88
België,Vlaams Gewest,Totaal,Van 25 tot 54 jaar,2018,Totaal,Mannen,100772.0,0.896,0.027,0.922
België,Vlaams Gewest,Totaal,Van 25 tot 54 jaar,2018,Totaal,Vrouwen,190357.0,0.827,0.028,0.85
België,Vlaams Gewest,Totaal,Van 25 tot 54 jaar,2018,Totaal,,291129.25,0.862,0.028,0.886
België,Vlaams Gewest,Totaal,Van 25 tot 54 jaar,2019,Totaal,Mannen,100308.5,0.897,0.027,0.922
België,Vlaams Gewest,Totaal,Van 25 tot 54 jaar,2019,Totaal,Vrouwen,194463.0,0.825,0.025,0.847
België,Vlaams Gewest,Totaal,Van 25 tot 54 jaar,2019,Totaal,,294771.5,0.861,0.026,0.884
België,Vlaams Gewest,Totaal,Van 25 tot 54 jaar,2020,Totaal,Mannen,104984.5,0.892,0.029,0.918
België,Vlaams Gewest,Totaal,Van 25 tot 54 jaar,2020,Totaal,Vrouwen,194040.75,0.821,0.03,0.847
België,Vlaams Gewest,Totaal,Van 25 tot 54 jaar,2020,Totaal,,299025.25,0.857,0.029,0.883
België,Vlaams Gewest,Totaal,Van 25 tot 54 jaar,2021,Totaal,Mannen,96950.75,0.895,0.031,0.924
België,Vlaams Gewest,Totaal,Van 25 tot 54 jaar,2021,Totaal,Vrouwen,190012.0,0.827,0.027,0.85
België,Vlaams Gewest,Totaal,Van 25 tot 54 jaar,2021,Totaal,,286962.75,0.861,0.029,0.887
België,Vlaams Gewest,Totaal,Van 55 tot 64 jaar,2017,Totaal,Mannen,188341.25,0.551,0.032,0.569
België,Vlaams Gewest,Totaal,Van 55 tot 64 jaar,2017,Totaal,Vrouwen,231615.25,0.439,0.062,0.468
België,Vlaams Gewest,Totaal,Van 55 tot 64 jaar,2017,Totaal,,419956.25,0.495,0.045,0.519
België,Vlaams Gewest,Totaal,Van 55 tot 64 jaar,2018,Totaal,Mannen,179217.5,0.577,0.033,0.597
België,Vlaams Gewest,Totaal,Van 55 tot 64 jaar,2018,Totaal,Vrouwen,228215.0,0.473,0.025,0.485
België,Vlaams Gewest,Totaal,Van 55 tot 64 jaar,2018,Totaal,,407432.5,0.525,0.03,0.541
België,Vlaams Gewest,Totaal,Van 55 tot 64 jaar,2019,Totaal,Mannen,171242.75,0.606,0.026,0.622
België,Vlaams Gewest,Totaal,Van 55 tot 64 jaar,2019,Totaal,Vrouwen,222358.25,0.492,0.03,0.507
België,Vlaams Gewest,Totaal,Van 55 tot 64 jaar,2019,Totaal,,393600.75,0.549,0.028,0.565
België,Vlaams Gewest,Totaal,Van 55 tot 64 jaar,2020,Totaal,Mannen,170488.75,0.612,0.028,0.63
België,Vlaams Gewest,Totaal,Van 55 tot 64 jaar,2020,Totaal,Vrouwen,220677.0,0.502,0.028,0.517
België,Vlaams Gewest,Totaal,Van 55 tot 64 jaar,2020,Totaal,,391165.75,0.557,0.028,0.573
België,Vlaams Gewest,Totaal,Van 55 tot 64 jaar,2021,Totaal,Mannen,167741.75,0.617,0.035,0.639
België,Vlaams Gewest,Totaal,Van 55 tot 64 jaar,2021,Totaal,Vrouwen,210767.0,0.522,0.037,0.542
België,Vlaams Gewest,Totaal,Van 55 tot 64 jaar,2021,Totaal,,378508.75,0.57,0.036,0.591
België,Waals Gewest,Totaal,Van 15 tot 24 jaar,2017,Totaal,Mannen,161645.25,0.192,0.295,0.272
België,Waals Gewest,Totaal,Van 15 tot 24 jaar,2017,Totaal,Vrouwen,169154.75,0.151,0.282,0.21
België,Waals Gewest,Totaal,Van 15 tot 24 jaar,2017,Totaal,,330800.0,0.172,0.29,0.241
België,Waals Gewest,Totaal,Van 15 tot 24 jaar,2018,Totaal,Mannen,163298.5,0.205,0.221,0.263
België,Waals Gewest,Totaal,Van 15 tot 24 jaar,2018,Totaal,Vrouwen,163175.75,0.181,0.229,0.235
België,Waals Gewest,Totaal,Van 15 tot 24 jaar,2018,Totaal,,326474.25,0.193,0.225,0.249
België,Waals Gewest,Totaal,Van 15 tot 24 jaar,2019,Totaal,Mannen,164017.25,0.194,0.254,0.26
België,Waals Gewest,Totaal,Van 15 tot 24 jaar,2019,Totaal,Vrouwen,164678.25,0.187,0.178,0.228
België,Waals Gewest,Totaal,Van 15 tot 24 jaar,2019,Totaal,,328695.5,0.191,0.219,0.244
België,Waals Gewest,Totaal,Van 15 tot 24 jaar,2020,Totaal,Mannen,159797.0,0.224,0.209,0.282
België,Waals Gewest,Totaal,Van 15 tot 24 jaar,2020,Totaal,Vrouwen,170500.5,0.157,0.229,0.204
België,Waals Gewest,Totaal,Van 15 tot 24 jaar,2020,Totaal,,330297.5,0.191,0.217,0.244
België,Waals Gewest,Totaal,Van 15 tot 24 jaar,2021,Totaal,Mannen,155794.75,0.231,0.241,0.304
België,Waals Gewest,Totaal,Van 15 tot 24 jaar,2021,Totaal,Vrouwen,164845.75,0.171,0.267,0.234
België,Waals Gewest,Totaal,Van 15 tot 24 jaar,2021,Totaal,,320640.5,0.201,0.252,0.269
België,Waals Gewest,Totaal,Van 25 tot 54 jaar,2017,Totaal,Mannen,94730.75,0.784,0.095,0.866
België,Waals Gewest,Totaal,Van 25 tot 54 jaar,2017,Totaal,Vrouwen,172398.25,0.698,0.078,0.757
België,Waals Gewest,Totaal,Van 25 tot 54 jaar,2017,Totaal,,267129.0,0.741,0.087,0.811
België,Waals Gewest,Totaal,Van 25 tot 54 jaar,2018,Totaal,Mannen,96696.25,0.792,0.083,0.863
België,Waals Gewest,Totaal,Van 25 tot 54 jaar,2018,Totaal,Vrouwen,176115.0,0.696,0.073,0.751
België,Waals Gewest,Totaal,Van 25 tot 54 jaar,2018,Totaal,,272811.0,0.744,0.079,0.807
België,Waals Gewest,Totaal,Van 25 tot 54 jaar,2019,Totaal,Mannen,103410.0,0.791,0.073,0.853
België,Waals Gewest,Totaal,Van 25 tot 54 jaar,2019,Totaal,Vrouwen,168111.75,0.72,0.054,0.762
België,Waals Gewest,Totaal,Van 25 tot 54 jaar,2019,Totaal,,271521.75,0.756,0.064,0.807
België,Waals Gewest,Totaal,Van 25 tot 54 jaar,2020,Totaal,Mannen,107457.0,0.784,0.074,0.847
België,Waals Gewest,Totaal,Van 25 tot 54 jaar,2020,Totaal,Vrouwen,165847.0,0.72,0.058,0.764
België,Waals Gewest,Totaal,Van 25 tot 54 jaar,2020,Totaal,,273303.75,0.752,0.066,0.805
België,Waals Gewest,Totaal,Van 25 tot 54 jaar,2021,Totaal,Mannen,97908.5,0.787,0.085,0.861
België,Waals Gewest,Totaal,Van 25 tot 54 jaar,2021,Totaal,Vrouwen,155186.5,0.72,0.076,0.779
België,Waals Gewest,Totaal,Van 25 tot 54 jaar,2021,Totaal,,253095.0,0.754,0.081,0.82
België,Waals Gewest,Totaal,Van 55 tot 64 jaar,2017,Totaal,Mannen,103666.5,0.513,0.065,0.548
België,Waals Gewest,Totaal,Van 55 tot 64 jaar,2017,Totaal,Vrouwen,135978.75,0.406,0.067,0.435
België,Waals Gewest,Totaal,Van 55 tot 64 jaar,2017,Totaal,,239645.25,0.458,0.065,0.49
België,Waals Gewest,Totaal,Van 55 tot 64 jaar,2018,Totaal,Mannen,105533.5,0.511,0.061,0.544
België,Waals Gewest,Totaal,Van 55 tot 64 jaar,2018,Totaal,Vrouwen,135779.5,0.42,,0.44
België,Waals Gewest,Totaal,Van 55 tot 64 jaar,2018,Totaal,,241313.0,0.464,0.054,0.491
België,Waals Gewest,Totaal,Van 55 tot 64 jaar,2019,Totaal,Mannen,105401.75,0.522,0.05,0.55
België,Waals Gewest,Totaal,Van 55 tot 64 jaar,2019,Totaal,Vrouwen,135942.0,0.428,,0.445
België,Waals Gewest,Totaal,Van 55 tot 64 jaar,2019,Totaal,,241343.75,0.474,0.045,0.496
België,Waals Gewest,Totaal,Van 55 tot 64 jaar,2020,Totaal,Mannen,100845.75,0.542,0.055,0.574
België,Waals Gewest,Totaal,Van 55 tot 64 jaar,2020,Totaal,Vrouwen,134910.25,0.436,,0.453
België,Waals Gewest,Totaal,Van 55 tot 64 jaar,2020,Totaal,,235755.75,0.488,0.047,0.512
België,Waals Gewest,Totaal,Van 55 tot 64 jaar,2021,Totaal,Mannen,98286.25,0.555,0.056,0.588
België,Waals Gewest,Totaal,Van 55 tot 64 jaar,2021,Totaal,Vrouwen,131968.0,0.446,0.046,0.467
België,Waals Gewest,Totaal,Van 55 tot 64 jaar,2021,Totaal,,230254.25,0.499,0.052,0.526
België,,Totaal,,2017,Totaal,Mannen,992288.5,0.675,0.072,0.728
België,,Totaal,,2017,Totaal,Vrouwen,1333142.0,0.587,0.071,0.632
België,,Totaal,,2017,Totaal,,2325430.5,0.631,0.071,0.68
België,,Totaal,,2018,Totaal,Mannen,994182.25,0.682,0.063,0.728
België,,Totaal,,2018,Totaal,Vrouwen,1294954.25,0.607,0.056,0.643
België,,Totaal,,2018,Totaal,,2289136.25,0.645,0.06,0.686
België,,Totaal,,2019,Totaal,Mannen,986899.25,0.689,0.058,0.731
België,,Totaal,,2019,Totaal,Vrouwen,1276520.25,0.617,0.05,0.649
België,,Totaal,,2019,Totaal,,2263419.5,0.653,0.054,0.69
België,,Totaal,,2020,Totaal,Mannen,1008414.25,0.684,0.058,0.726
België,,Totaal,,2020,Totaal,Vrouwen,1294936.25,0.61,0.054,0.645
België,,Totaal,,2020,Totaal,,2303350.5,0.647,0.056,0.686
België,,Totaal,,2021,Totaal,Mannen,971735.25,0.687,0.067,0.737
België,,Totaal,,2021,Totaal,Vrouwen,1255665.5,0.618,0.059,0.657
België,,Totaal,,2021,Totaal,,2227400.75,0.653,0.063,0.697
