Gewest,Jaar,Anciënniteit,Gemiddeld bruto maandloon
Vlaams Gewest,2020,Minder dan 2 jaar,3179
Vlaams Gewest,2020,Van 2 tot 4 jaar,3521
Vlaams Gewest,2020,Van 5 tot 9 jaar,3804
Vlaams Gewest,2020,Van 10 tot 19 jaar,4308
Vlaams Gewest,2020,20 jaar en meer,4642
Waals Gewest,2020,Minder dan 2 jaar,2940
Waals Gewest,2020,Van 2 tot 4 jaar,3374
Waals Gewest,2020,Van 5 tot 9 jaar,3628
Waals Gewest,2020,Van 10 tot 19 jaar,3901
Waals Gewest,2020,20 jaar en meer,4286
Brussels Hoofdstedelijk Gewest,2020,Minder dan 2 jaar,3658
Brussels Hoofdstedelijk Gewest,2020,Van 2 tot 4 jaar,4048
Brussels Hoofdstedelijk Gewest,2020,Van 5 tot 9 jaar,4606
Brussels Hoofdstedelijk Gewest,2020,Van 10 tot 19 jaar,5125
Brussels Hoofdstedelijk Gewest,2020,20 jaar en meer,5478
