België,Gewest,Provincie,Arrondissement,Aandeel loontrekkenden
België,Vlaams Gewest,Provincie Antwerpen,,0.85
België,Vlaams Gewest,Provincie Vlaams-Brabant,,0.849
België,Vlaams Gewest,Provincie West-Vlaanderen,,0.81
België,Vlaams Gewest,Provincie Oost-Vlaanderen,,0.845
België,Vlaams Gewest,Provincie Limburg,,0.849
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,0.816
België,Waals Gewest,Provincie Waals-Brabant,,0.803
België,Waals Gewest,Provincie Henegouwen,,0.87
België,Waals Gewest,Provincie Luik,,0.858
België,Waals Gewest,Provincie Luxemburg,,0.848
België,Waals Gewest,Provincie Namen,,0.852
België,,,,0.843
