België,Gewest,Provincie,Totaal,Leeftijdsgroep,Werkende bevolking
België,Brussels Hoofdstedelijk Gewest  ,Brussels Hoofdstedelijk Gewest  ,Totaal,15 t/m 29 jaar,79687
België,Brussels Hoofdstedelijk Gewest  ,Brussels Hoofdstedelijk Gewest  ,Totaal,30 t/m 49 jaar,205325
België,Brussels Hoofdstedelijk Gewest  ,Brussels Hoofdstedelijk Gewest  ,Totaal,50 t/m 64 jaar,80996
België,Brussels Hoofdstedelijk Gewest  ,Brussels Hoofdstedelijk Gewest  ,Totaal,65 t/m 84 jaar,4312
België,Brussels Hoofdstedelijk Gewest  ,Brussels Hoofdstedelijk Gewest  ,Totaal,85 jaar of ouder,60
België,Brussels Hoofdstedelijk Gewest  ,Brussels Hoofdstedelijk Gewest  ,Totaal,,370380
België,Vlaams Gewest  ,Provincie Antwerpen,Totaal,15 t/m 29 jaar,151031
België,Vlaams Gewest  ,Provincie Antwerpen,Totaal,30 t/m 49 jaar,402094
België,Vlaams Gewest  ,Provincie Antwerpen,Totaal,50 t/m 64 jaar,186715
België,Vlaams Gewest  ,Provincie Antwerpen,Totaal,65 t/m 84 jaar,6819
België,Vlaams Gewest  ,Provincie Antwerpen,Totaal,85 jaar of ouder,75
België,Vlaams Gewest  ,Provincie Antwerpen,Totaal,,746734
België,Vlaams Gewest  ,Provincie Limburg,Totaal,15 t/m 29 jaar,71361
België,Vlaams Gewest  ,Provincie Limburg,Totaal,30 t/m 49 jaar,198866
België,Vlaams Gewest  ,Provincie Limburg,Totaal,50 t/m 64 jaar,90335
België,Vlaams Gewest  ,Provincie Limburg,Totaal,65 t/m 84 jaar,3192
België,Vlaams Gewest  ,Provincie Limburg,Totaal,85 jaar of ouder,37
België,Vlaams Gewest  ,Provincie Limburg,Totaal,,363791
België,Vlaams Gewest  ,Provincie Oost-Vlaanderen,Totaal,15 t/m 29 jaar,125402
België,Vlaams Gewest  ,Provincie Oost-Vlaanderen,Totaal,30 t/m 49 jaar,352490
België,Vlaams Gewest  ,Provincie Oost-Vlaanderen,Totaal,50 t/m 64 jaar,155807
België,Vlaams Gewest  ,Provincie Oost-Vlaanderen,Totaal,65 t/m 84 jaar,5820
België,Vlaams Gewest  ,Provincie Oost-Vlaanderen,Totaal,85 jaar of ouder,81
België,Vlaams Gewest  ,Provincie Oost-Vlaanderen,Totaal,,639600
België,Vlaams Gewest  ,Provincie Vlaams-Brabant,Totaal,15 t/m 29 jaar,81764
België,Vlaams Gewest  ,Provincie Vlaams-Brabant,Totaal,30 t/m 49 jaar,261032
België,Vlaams Gewest  ,Provincie Vlaams-Brabant,Totaal,50 t/m 64 jaar,130077
België,Vlaams Gewest  ,Provincie Vlaams-Brabant,Totaal,65 t/m 84 jaar,4716
België,Vlaams Gewest  ,Provincie Vlaams-Brabant,Totaal,85 jaar of ouder,50
België,Vlaams Gewest  ,Provincie Vlaams-Brabant,Totaal,,477639
België,Vlaams Gewest  ,Provincie West-Vlaanderen,Totaal,15 t/m 29 jaar,100391
België,Vlaams Gewest  ,Provincie West-Vlaanderen,Totaal,30 t/m 49 jaar,269300
België,Vlaams Gewest  ,Provincie West-Vlaanderen,Totaal,50 t/m 64 jaar,129789
België,Vlaams Gewest  ,Provincie West-Vlaanderen,Totaal,65 t/m 84 jaar,6106
België,Vlaams Gewest  ,Provincie West-Vlaanderen,Totaal,85 jaar of ouder,83
België,Vlaams Gewest  ,Provincie West-Vlaanderen,Totaal,,505669
België,Waals Gewest,Provincie Waals-Brabant,Totaal,15 t/m 29 jaar,25320
België,Waals Gewest,Provincie Waals-Brabant,Totaal,30 t/m 49 jaar,84111
België,Waals Gewest,Provincie Waals-Brabant,Totaal,50 t/m 64 jaar,44401
België,Waals Gewest,Provincie Waals-Brabant,Totaal,65 t/m 84 jaar,1998
België,Waals Gewest,Provincie Waals-Brabant,Totaal,85 jaar of ouder,31
België,Waals Gewest,Provincie Waals-Brabant,Totaal,,155861
België,Waals Gewest,Provincie Henegouwen,Totaal,15 t/m 29 jaar,88967
België,Waals Gewest,Provincie Henegouwen,Totaal,30 t/m 49 jaar,256620
