België,Gewest,Provincie,Arrondissement,Bevolking geboren buiten België
België,Vlaams Gewest,Provincie Antwerpen,,0.134
België,Vlaams Gewest,Provincie Vlaams-Brabant,,0.112
België,Vlaams Gewest,Provincie West-Vlaanderen,,0.057
België,Vlaams Gewest,Provincie Oost-Vlaanderen,,0.077
België,Vlaams Gewest,Provincie Limburg,,0.132
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,0.424
België,Waals Gewest,Provincie Waals-Brabant,,0.142
België,Waals Gewest,Provincie Henegouwen,,0.142
België,Waals Gewest,Provincie Luik,,0.164
België,Waals Gewest,Provincie Luxemburg,,0.13
België,Waals Gewest,Provincie Namen,,0.091
België,,,,0.148
