België,Gewest,Provincie,totaal,Geboorteplaats niveau 1,Bevolking
België,Brussels Hoofdstedelijk Gewest  ,Brussels Hoofdstedelijk Gewest  ,totaal,Geboren in België,654748
België,Brussels Hoofdstedelijk Gewest  ,Brussels Hoofdstedelijk Gewest  ,totaal,Geboren in het buitenland,454453
België,Brussels Hoofdstedelijk Gewest  ,Brussels Hoofdstedelijk Gewest  ,totaal,"Overige (niet in een land, Tsjecho-Slowakije, Sovjet-Unie, Joegoslavië)",27309
België,Brussels Hoofdstedelijk Gewest  ,Brussels Hoofdstedelijk Gewest  ,totaal,Niet aangegeven,268
België,Brussels Hoofdstedelijk Gewest  ,Brussels Hoofdstedelijk Gewest  ,totaal,,1136778
België,Vlaams Gewest  ,Provincie Antwerpen,totaal,Geboren in België,1536503
België,Vlaams Gewest  ,Provincie Antwerpen,totaal,Geboren in het buitenland,213100
België,Vlaams Gewest  ,Provincie Antwerpen,totaal,"Overige (niet in een land, Tsjecho-Slowakije, Sovjet-Unie, Joegoslavië)",23620
België,Vlaams Gewest  ,Provincie Antwerpen,totaal,Niet aangegeven,44
België,Vlaams Gewest  ,Provincie Antwerpen,totaal,,1773267
België,Vlaams Gewest  ,Provincie Limburg,totaal,Geboren in België,735506
België,Vlaams Gewest  ,Provincie Limburg,totaal,Geboren in het buitenland,105590
België,Vlaams Gewest  ,Provincie Limburg,totaal,"Overige (niet in een land, Tsjecho-Slowakije, Sovjet-Unie, Joegoslavië)",5744
België,Vlaams Gewest  ,Provincie Limburg,totaal,Niet aangegeven,11
België,Vlaams Gewest  ,Provincie Limburg,totaal,,846851
België,Vlaams Gewest  ,Provincie Oost-Vlaanderen,totaal,Geboren in België,1337002
België,Vlaams Gewest  ,Provincie Oost-Vlaanderen,totaal,Geboren in het buitenland,99427
België,Vlaams Gewest  ,Provincie Oost-Vlaanderen,totaal,"Overige (niet in een land, Tsjecho-Slowakije, Sovjet-Unie, Joegoslavië)",12487
België,Vlaams Gewest  ,Provincie Oost-Vlaanderen,totaal,Niet aangegeven,12
België,Vlaams Gewest  ,Provincie Oost-Vlaanderen,totaal,,1448928
België,Vlaams Gewest  ,Provincie Vlaams-Brabant,totaal,Geboren in België,966569
België,Vlaams Gewest  ,Provincie Vlaams-Brabant,totaal,Geboren in het buitenland,114446
België,Vlaams Gewest  ,Provincie Vlaams-Brabant,totaal,"Overige (niet in een land, Tsjecho-Slowakije, Sovjet-Unie, Joegoslavië)",7644
België,Vlaams Gewest  ,Provincie Vlaams-Brabant,totaal,Niet aangegeven,33
België,Vlaams Gewest  ,Provincie Vlaams-Brabant,totaal,,1088692
België,Vlaams Gewest  ,Provincie West-Vlaanderen,totaal,Geboren in België,1101760
België,Vlaams Gewest  ,Provincie West-Vlaanderen,totaal,Geboren in het buitenland,57582
België,Vlaams Gewest  ,Provincie West-Vlaanderen,totaal,"Overige (niet in een land, Tsjecho-Slowakije, Sovjet-Unie, Joegoslavië)",8651
België,Vlaams Gewest  ,Provincie West-Vlaanderen,totaal,Niet aangegeven,9
België,Vlaams Gewest  ,Provincie West-Vlaanderen,totaal,,1168002
België,Waals Gewest,Provincie Waals-Brabant,totaal,Geboren in België,329144
België,Waals Gewest,Provincie Waals-Brabant,totaal,Geboren in het buitenland,52599
België,Waals Gewest,Provincie Waals-Brabant,totaal,"Overige (niet in een land, Tsjecho-Slowakije, Sovjet-Unie, Joegoslavië)",1890
België,Waals Gewest,Provincie Waals-Brabant,totaal,Niet aangegeven,15
België,Waals Gewest,Provincie Waals-Brabant,totaal,,383648
België,Waals Gewest,Provincie Henegouwen,totaal,Geboren in België,1131852
België,Waals Gewest,Provincie Henegouwen,totaal,Geboren in het buitenland,182966
België,Waals Gewest,Provincie Henegouwen,totaal,"Overige (niet in een land, Tsjecho-Slowakije, Sovjet-Unie, Joegoslavië)",4884
België,Waals Gewest,Provincie Henegouwen,totaal,Niet aangegeven,43
België,Waals Gewest,Provincie Henegouwen,totaal,,1319745
België,Waals Gewest,Provincie Luik,totaal,Geboren in België,904429
België,Waals Gewest,Provincie Luik,totaal,Geboren in het buitenland,164872
België,Waals Gewest,Provincie Luik,totaal,"Overige (niet in een land, Tsjecho-Slowakije, Sovjet-Unie, Joegoslavië)",12741
België,Waals Gewest,Provincie Luik,totaal,Niet aangegeven,94
België,Waals Gewest,Provincie Luik,totaal,,1082136
België,Waals Gewest,Provincie Luxemburg,totaal,Geboren in België,237796
België,Waals Gewest,Provincie Luxemburg,totaal,Geboren in het buitenland,33240
België,Waals Gewest,Provincie Luxemburg,totaal,"Overige (niet in een land, Tsjecho-Slowakije, Sovjet-Unie, Joegoslavië)",2163
België,Waals Gewest,Provincie Luxemburg,totaal,Niet aangegeven,6
België,Waals Gewest,Provincie Luxemburg,totaal,,273205
België,Waals Gewest,Provincie Namen,totaal,Geboren in België,435973
België,Waals Gewest,Provincie Namen,totaal,Geboren in het buitenland,39333
België,Waals Gewest,Provincie Namen,totaal,"Overige (niet in een land, Tsjecho-Slowakije, Sovjet-Unie, Joegoslavië)",4071
België,Waals Gewest,Provincie Namen,totaal,Niet aangegeven,9
België,Waals Gewest,Provincie Namen,totaal,,479386
België,,,totaal,Geboren in België,9371282
België,,,totaal,Geboren in het buitenland,1517608
België,,,totaal,"Overige (niet in een land, Tsjecho-Slowakije, Sovjet-Unie, Joegoslavië)",111204
België,,,totaal,Niet aangegeven,544
België,,,totaal,,11000638
