Alle economische activiteiten,Sectie,Jaar,Alle plaatsen,Gewest,Aantal oprichtingen
Alle economische activiteiten,"A Landbouw, bosbouw en visserij",2021,Alle plaatsen,Vlaams Gewest,1208.0
Alle economische activiteiten,"A Landbouw, bosbouw en visserij",2021,Alle plaatsen,Brussels Hoofdstedelijk Gewest,31.0
Alle economische activiteiten,"A Landbouw, bosbouw en visserij",2021,Alle plaatsen,Waals Gewest,827.0
Alle economische activiteiten,"A Landbouw, bosbouw en visserij",2021,Alle plaatsen,Buitenland,15.0
Alle economische activiteiten,"A Landbouw, bosbouw en visserij",2021,Alle plaatsen,Onbekend,0.0
Alle economische activiteiten,"A Landbouw, bosbouw en visserij",2021,Alle plaatsen,,2081.0
Alle economische activiteiten,B Winning van delfstoffen,2021,Alle plaatsen,Vlaams Gewest,2.0
Alle economische activiteiten,B Winning van delfstoffen,2021,Alle plaatsen,Brussels Hoofdstedelijk Gewest,0.0
Alle economische activiteiten,B Winning van delfstoffen,2021,Alle plaatsen,Waals Gewest,6.0
Alle economische activiteiten,B Winning van delfstoffen,2021,Alle plaatsen,Buitenland,0.0
Alle economische activiteiten,B Winning van delfstoffen,2021,Alle plaatsen,Onbekend,
Alle economische activiteiten,B Winning van delfstoffen,2021,Alle plaatsen,,8.0
Alle economische activiteiten,C Industrie,2021,Alle plaatsen,Vlaams Gewest,3839.0
Alle economische activiteiten,C Industrie,2021,Alle plaatsen,Brussels Hoofdstedelijk Gewest,301.0
Alle economische activiteiten,C Industrie,2021,Alle plaatsen,Waals Gewest,1357.0
Alle economische activiteiten,C Industrie,2021,Alle plaatsen,Buitenland,86.0
Alle economische activiteiten,C Industrie,2021,Alle plaatsen,Onbekend,
Alle economische activiteiten,C Industrie,2021,Alle plaatsen,,5583.0
Alle economische activiteiten,"D Productie en distributie van elektriciteit, gas, stoom en gekoelde lucht",2021,Alle plaatsen,Vlaams Gewest,81.0
Alle economische activiteiten,"D Productie en distributie van elektriciteit, gas, stoom en gekoelde lucht",2021,Alle plaatsen,Brussels Hoofdstedelijk Gewest,18.0
Alle economische activiteiten,"D Productie en distributie van elektriciteit, gas, stoom en gekoelde lucht",2021,Alle plaatsen,Waals Gewest,32.0
Alle economische activiteiten,"D Productie en distributie van elektriciteit, gas, stoom en gekoelde lucht",2021,Alle plaatsen,Buitenland,6.0
Alle economische activiteiten,"D Productie en distributie van elektriciteit, gas, stoom en gekoelde lucht",2021,Alle plaatsen,Onbekend,
Alle economische activiteiten,"D Productie en distributie van elektriciteit, gas, stoom en gekoelde lucht",2021,Alle plaatsen,,137.0
Alle economische activiteiten,E Distributie van water/ afval- en afvalwaterbeheer en sanering,2021,Alle plaatsen,Vlaams Gewest,101.0
Alle economische activiteiten,E Distributie van water/ afval- en afvalwaterbeheer en sanering,2021,Alle plaatsen,Brussels Hoofdstedelijk Gewest,10.0
Alle economische activiteiten,E Distributie van water/ afval- en afvalwaterbeheer en sanering,2021,Alle plaatsen,Waals Gewest,37.0
Alle economische activiteiten,E Distributie van water/ afval- en afvalwaterbeheer en sanering,2021,Alle plaatsen,Buitenland,1.0
Alle economische activiteiten,E Distributie van water/ afval- en afvalwaterbeheer en sanering,2021,Alle plaatsen,Onbekend,
Alle economische activiteiten,E Distributie van water/ afval- en afvalwaterbeheer en sanering,2021,Alle plaatsen,,149.0
Alle economische activiteiten,F Bouwnijverheid,2021,Alle plaatsen,Vlaams Gewest,12645.0
Alle economische activiteiten,F Bouwnijverheid,2021,Alle plaatsen,Brussels Hoofdstedelijk Gewest,1384.0
Alle economische activiteiten,F Bouwnijverheid,2021,Alle plaatsen,Waals Gewest,3433.0
Alle economische activiteiten,F Bouwnijverheid,2021,Alle plaatsen,Buitenland,434.0
Alle economische activiteiten,F Bouwnijverheid,2021,Alle plaatsen,Onbekend,1.0
Alle economische activiteiten,F Bouwnijverheid,2021,Alle plaatsen,,17897.0
Alle economische activiteiten,G Groot- en detailhandel/ reparatie van auto’s en motorfietsen,2021,Alle plaatsen,Vlaams Gewest,11147.0
Alle economische activiteiten,G Groot- en detailhandel/ reparatie van auto’s en motorfietsen,2021,Alle plaatsen,Brussels Hoofdstedelijk Gewest,1434.0
Alle economische activiteiten,G Groot- en detailhandel/ reparatie van auto’s en motorfietsen,2021,Alle plaatsen,Waals Gewest,4637.0
Alle economische activiteiten,G Groot- en detailhandel/ reparatie van auto’s en motorfietsen,2021,Alle plaatsen,Buitenland,2200.0
Alle economische activiteiten,G Groot- en detailhandel/ reparatie van auto’s en motorfietsen,2021,Alle plaatsen,Onbekend,1.0
Alle economische activiteiten,G Groot- en detailhandel/ reparatie van auto’s en motorfietsen,2021,Alle plaatsen,,19419.0
Alle economische activiteiten,H Vervoer en opslag,2021,Alle plaatsen,Vlaams Gewest,2123.0
Alle economische activiteiten,H Vervoer en opslag,2021,Alle plaatsen,Brussels Hoofdstedelijk Gewest,496.0
Alle economische activiteiten,H Vervoer en opslag,2021,Alle plaatsen,Waals Gewest,498.0
Alle economische activiteiten,H Vervoer en opslag,2021,Alle plaatsen,Buitenland,61.0
Alle economische activiteiten,H Vervoer en opslag,2021,Alle plaatsen,Onbekend,0.0
Alle economische activiteiten,H Vervoer en opslag,2021,Alle plaatsen,,3178.0
Alle economische activiteiten,I Verschaffen van accommodatie en maaltijden,2021,Alle plaatsen,Vlaams Gewest,3495.0
Alle economische activiteiten,I Verschaffen van accommodatie en maaltijden,2021,Alle plaatsen,Brussels Hoofdstedelijk Gewest,496.0
Alle economische activiteiten,I Verschaffen van accommodatie en maaltijden,2021,Alle plaatsen,Waals Gewest,1456.0
Alle economische activiteiten,I Verschaffen van accommodatie en maaltijden,2021,Alle plaatsen,Buitenland,35.0
Alle economische activiteiten,I Verschaffen van accommodatie en maaltijden,2021,Alle plaatsen,Onbekend,0.0
Alle economische activiteiten,I Verschaffen van accommodatie en maaltijden,2021,Alle plaatsen,,5482.0
Alle economische activiteiten,J Informatie en communicatie,2021,Alle plaatsen,Vlaams Gewest,4204.0
Alle economische activiteiten,J Informatie en communicatie,2021,Alle plaatsen,Brussels Hoofdstedelijk Gewest,1151.0
Alle economische activiteiten,J Informatie en communicatie,2021,Alle plaatsen,Waals Gewest,1275.0
Alle economische activiteiten,J Informatie en communicatie,2021,Alle plaatsen,Buitenland,34.0
Alle economische activiteiten,J Informatie en communicatie,2021,Alle plaatsen,Onbekend,1.0
Alle economische activiteiten,J Informatie en communicatie,2021,Alle plaatsen,,6665.0
Alle economische activiteiten,K Financiële activiteiten en verzekeringen,2021,Alle plaatsen,Vlaams Gewest,513.0
Alle economische activiteiten,K Financiële activiteiten en verzekeringen,2021,Alle plaatsen,Brussels Hoofdstedelijk Gewest,80.0
Alle economische activiteiten,K Financiële activiteiten en verzekeringen,2021,Alle plaatsen,Waals Gewest,213.0
Alle economische activiteiten,K Financiële activiteiten en verzekeringen,2021,Alle plaatsen,Buitenland,11.0
Alle economische activiteiten,K Financiële activiteiten en verzekeringen,2021,Alle plaatsen,Onbekend,
Alle economische activiteiten,K Financiële activiteiten en verzekeringen,2021,Alle plaatsen,,817.0
Alle economische activiteiten,L Exploitatie van en handel in onroerend goed,2021,Alle plaatsen,Vlaams Gewest,2010.0
Alle economische activiteiten,L Exploitatie van en handel in onroerend goed,2021,Alle plaatsen,Brussels Hoofdstedelijk Gewest,407.0
Alle economische activiteiten,L Exploitatie van en handel in onroerend goed,2021,Alle plaatsen,Waals Gewest,815.0
Alle economische activiteiten,L Exploitatie van en handel in onroerend goed,2021,Alle plaatsen,Buitenland,22.0
Alle economische activiteiten,L Exploitatie van en handel in onroerend goed,2021,Alle plaatsen,Onbekend,1.0
Alle economische activiteiten,L Exploitatie van en handel in onroerend goed,2021,Alle plaatsen,,3255.0
Alle economische activiteiten,M Vrije beroepen en wetenschappelijke en technische activiteiten,2021,Alle plaatsen,Vlaams Gewest,13694.0
Alle economische activiteiten,M Vrije beroepen en wetenschappelijke en technische activiteiten,2021,Alle plaatsen,Brussels Hoofdstedelijk Gewest,3407.0
Alle economische activiteiten,M Vrije beroepen en wetenschappelijke en technische activiteiten,2021,Alle plaatsen,Waals Gewest,4680.0
Alle economische activiteiten,M Vrije beroepen en wetenschappelijke en technische activiteiten,2021,Alle plaatsen,Buitenland,104.0
Alle economische activiteiten,M Vrije beroepen en wetenschappelijke en technische activiteiten,2021,Alle plaatsen,Onbekend,4.0
Alle economische activiteiten,M Vrije beroepen en wetenschappelijke en technische activiteiten,2021,Alle plaatsen,,21889.0
Alle economische activiteiten,N Administratieve en ondersteunende diensten,2021,Alle plaatsen,Vlaams Gewest,5707.0
Alle economische activiteiten,N Administratieve en ondersteunende diensten,2021,Alle plaatsen,Brussels Hoofdstedelijk Gewest,710.0
Alle economische activiteiten,N Administratieve en ondersteunende diensten,2021,Alle plaatsen,Waals Gewest,2021.0
Alle economische activiteiten,N Administratieve en ondersteunende diensten,2021,Alle plaatsen,Buitenland,83.0
Alle economische activiteiten,N Administratieve en ondersteunende diensten,2021,Alle plaatsen,Onbekend,
Alle economische activiteiten,N Administratieve en ondersteunende diensten,2021,Alle plaatsen,,8521.0
Alle economische activiteiten,O Openbaar bestuur en defensie/ verplichte sociale verzekeringen,2021,Alle plaatsen,Vlaams Gewest,15.0
Alle economische activiteiten,O Openbaar bestuur en defensie/ verplichte sociale verzekeringen,2021,Alle plaatsen,Brussels Hoofdstedelijk Gewest,6.0
Alle economische activiteiten,O Openbaar bestuur en defensie/ verplichte sociale verzekeringen,2021,Alle plaatsen,Waals Gewest,5.0
Alle economische activiteiten,O Openbaar bestuur en defensie/ verplichte sociale verzekeringen,2021,Alle plaatsen,Buitenland,
Alle economische activiteiten,O Openbaar bestuur en defensie/ verplichte sociale verzekeringen,2021,Alle plaatsen,Onbekend,
