Alle grootteklassen,Grootteklasse werknemers,Jaar,Maand,Verlies van fulltime banen,Verlies van parttime banen,Totaal banenverlies
Alle grootteklassen,0 - 4 werknemers,2021,December 2021,168.0,83.0,961.0
Alle grootteklassen,0 - 4 werknemers,2022,Januari 2022,195.0,90.0,927.0
Alle grootteklassen,0 - 4 werknemers,2022,Februari 2022,210.0,90.0,1034.0
Alle grootteklassen,0 - 4 werknemers,2022,Maart 2022,222.0,116.0,1299.0
Alle grootteklassen,0 - 4 werknemers,2022,April 2022,128.0,73.0,842.0
Alle grootteklassen,0 - 4 werknemers,2022,Mei 2022,191.0,118.0,1312.0
Alle grootteklassen,0 - 4 werknemers,2022,Juni 2022,203.0,134.0,1484.0
Alle grootteklassen,0 - 4 werknemers,2022,Juli 2022,175.0,72.0,782.0
Alle grootteklassen,0 - 4 werknemers,2022,Augustus 2022,71.0,38.0,438.0
Alle grootteklassen,0 - 4 werknemers,2022,September 2022,239.0,128.0,1346.0
Alle grootteklassen,0 - 4 werknemers,2022,Oktober 2022,227.0,115.0,1273.0
Alle grootteklassen,0 - 4 werknemers,2022,November 2022,165.0,118.0,1076.0
Alle grootteklassen,0 - 4 werknemers,2022,December 2022,178.0,101.0,1076.0
Alle grootteklassen,5 - 9 werknemers,2021,December 2021,204.0,59.0,319.0
Alle grootteklassen,5 - 9 werknemers,2022,Januari 2022,200.0,75.0,333.0
Alle grootteklassen,5 - 9 werknemers,2022,Februari 2022,120.0,71.0,231.0
Alle grootteklassen,5 - 9 werknemers,2022,Maart 2022,131.0,70.0,248.0
Alle grootteklassen,5 - 9 werknemers,2022,April 2022,148.0,47.0,238.0
Alle grootteklassen,5 - 9 werknemers,2022,Mei 2022,127.0,83.0,250.0
Alle grootteklassen,5 - 9 werknemers,2022,Juni 2022,190.0,84.0,334.0
Alle grootteklassen,5 - 9 werknemers,2022,Juli 2022,99.0,72.0,208.0
Alle grootteklassen,5 - 9 werknemers,2022,Augustus 2022,78.0,55.0,160.0
Alle grootteklassen,5 - 9 werknemers,2022,September 2022,203.0,98.0,356.0
Alle grootteklassen,5 - 9 werknemers,2022,Oktober 2022,219.0,117.0,408.0
Alle grootteklassen,5 - 9 werknemers,2022,November 2022,131.0,73.0,249.0
Alle grootteklassen,5 - 9 werknemers,2022,December 2022,177.0,113.0,349.0
Alle grootteklassen,10 - 19 werknemers,2021,December 2021,158.0,43.0,220.0
Alle grootteklassen,10 - 19 werknemers,2022,Januari 2022,129.0,51.0,196.0
Alle grootteklassen,10 - 19 werknemers,2022,Februari 2022,148.0,10.0,172.0
Alle grootteklassen,10 - 19 werknemers,2022,Maart 2022,139.0,72.0,232.0
Alle grootteklassen,10 - 19 werknemers,2022,April 2022,124.0,64.0,205.0
Alle grootteklassen,10 - 19 werknemers,2022,Mei 2022,110.0,29.0,152.0
Alle grootteklassen,10 - 19 werknemers,2022,Juni 2022,173.0,100.0,298.0
Alle grootteklassen,10 - 19 werknemers,2022,Juli 2022,54.0,27.0,90.0
Alle grootteklassen,10 - 19 werknemers,2022,Augustus 2022,61.0,11.0,80.0
Alle grootteklassen,10 - 19 werknemers,2022,September 2022,217.0,48.0,286.0
Alle grootteklassen,10 - 19 werknemers,2022,Oktober 2022,230.0,61.0,319.0
Alle grootteklassen,10 - 19 werknemers,2022,November 2022,83.0,44.0,142.0
Alle grootteklassen,10 - 19 werknemers,2022,December 2022,152.0,82.0,257.0
Alle grootteklassen,20-49 werknemers,2021,December 2021,152.0,30.0,189.0
Alle grootteklassen,20-49 werknemers,2022,Januari 2022,45.0,4.0,51.0
Alle grootteklassen,20-49 werknemers,2022,Februari 2022,258.0,63.0,334.0
Alle grootteklassen,20-49 werknemers,2022,Maart 2022,243.0,79.0,333.0
Alle grootteklassen,20-49 werknemers,2022,April 2022,169.0,45.0,221.0
Alle grootteklassen,20-49 werknemers,2022,Mei 2022,89.0,82.0,178.0
Alle grootteklassen,20-49 werknemers,2022,Juni 2022,53.0,10.0,65.0
Alle grootteklassen,20-49 werknemers,2022,Juli 2022,86.0,22.0,111.0
Alle grootteklassen,20-49 werknemers,2022,Augustus 2022,82.0,27.0,114.0
Alle grootteklassen,20-49 werknemers,2022,September 2022,238.0,51.0,298.0
Alle grootteklassen,20-49 werknemers,2022,Oktober 2022,121.0,63.0,190.0
Alle grootteklassen,20-49 werknemers,2022,November 2022,143.0,65.0,216.0
Alle grootteklassen,20-49 werknemers,2022,December 2022,202.0,81.0,293.0
Alle grootteklassen,50 - 99 werknemers,2021,December 2021,,,
Alle grootteklassen,50 - 99 werknemers,2022,Januari 2022,145.0,35.0,183.0
Alle grootteklassen,50 - 99 werknemers,2022,Februari 2022,,,
Alle grootteklassen,50 - 99 werknemers,2022,Maart 2022,193.0,4.0,200.0
Alle grootteklassen,50 - 99 werknemers,2022,April 2022,45.0,4.0,50.0
Alle grootteklassen,50 - 99 werknemers,2022,Mei 2022,,,
Alle grootteklassen,50 - 99 werknemers,2022,Juni 2022,66.0,68.0,137.0
