Alle economische activiteiten,Sectie,Jaar,Alle plaatsen,Gewest,Aantal schrappingen
Alle economische activiteiten,"A Landbouw, bosbouw en visserij",2021,Alle plaatsen,Vlaams Gewest,1153.0
Alle economische activiteiten,"A Landbouw, bosbouw en visserij",2021,Alle plaatsen,Brussels Hoofdstedelijk Gewest,22.0
Alle economische activiteiten,"A Landbouw, bosbouw en visserij",2021,Alle plaatsen,Waals Gewest,743.0
Alle economische activiteiten,"A Landbouw, bosbouw en visserij",2021,Alle plaatsen,Buitenland,17.0
Alle economische activiteiten,"A Landbouw, bosbouw en visserij",2021,Alle plaatsen,Onbekend,0.0
Alle economische activiteiten,"A Landbouw, bosbouw en visserij",2021,Alle plaatsen,,1935.0
Alle economische activiteiten,B Winning van delfstoffen,2021,Alle plaatsen,Vlaams Gewest,2.0
Alle economische activiteiten,B Winning van delfstoffen,2021,Alle plaatsen,Brussels Hoofdstedelijk Gewest,2.0
Alle economische activiteiten,B Winning van delfstoffen,2021,Alle plaatsen,Waals Gewest,3.0
Alle economische activiteiten,B Winning van delfstoffen,2021,Alle plaatsen,Buitenland,0.0
Alle economische activiteiten,B Winning van delfstoffen,2021,Alle plaatsen,Onbekend,
Alle economische activiteiten,B Winning van delfstoffen,2021,Alle plaatsen,,7.0
Alle economische activiteiten,C Industrie,2021,Alle plaatsen,Vlaams Gewest,2024.0
Alle economische activiteiten,C Industrie,2021,Alle plaatsen,Brussels Hoofdstedelijk Gewest,223.0
Alle economische activiteiten,C Industrie,2021,Alle plaatsen,Waals Gewest,854.0
Alle economische activiteiten,C Industrie,2021,Alle plaatsen,Buitenland,100.0
Alle economische activiteiten,C Industrie,2021,Alle plaatsen,Onbekend,
Alle economische activiteiten,C Industrie,2021,Alle plaatsen,,3201.0
Alle economische activiteiten,"D Productie en distributie van elektriciteit, gas, stoom en gekoelde lucht",2021,Alle plaatsen,Vlaams Gewest,103.0
Alle economische activiteiten,"D Productie en distributie van elektriciteit, gas, stoom en gekoelde lucht",2021,Alle plaatsen,Brussels Hoofdstedelijk Gewest,11.0
Alle economische activiteiten,"D Productie en distributie van elektriciteit, gas, stoom en gekoelde lucht",2021,Alle plaatsen,Waals Gewest,17.0
Alle economische activiteiten,"D Productie en distributie van elektriciteit, gas, stoom en gekoelde lucht",2021,Alle plaatsen,Buitenland,2.0
Alle economische activiteiten,"D Productie en distributie van elektriciteit, gas, stoom en gekoelde lucht",2021,Alle plaatsen,Onbekend,
Alle economische activiteiten,"D Productie en distributie van elektriciteit, gas, stoom en gekoelde lucht",2021,Alle plaatsen,,133.0
Alle economische activiteiten,E Distributie van water/ afval- en afvalwaterbeheer en sanering,2021,Alle plaatsen,Vlaams Gewest,54.0
Alle economische activiteiten,E Distributie van water/ afval- en afvalwaterbeheer en sanering,2021,Alle plaatsen,Brussels Hoofdstedelijk Gewest,8.0
Alle economische activiteiten,E Distributie van water/ afval- en afvalwaterbeheer en sanering,2021,Alle plaatsen,Waals Gewest,29.0
Alle economische activiteiten,E Distributie van water/ afval- en afvalwaterbeheer en sanering,2021,Alle plaatsen,Buitenland,4.0
Alle economische activiteiten,E Distributie van water/ afval- en afvalwaterbeheer en sanering,2021,Alle plaatsen,Onbekend,
Alle economische activiteiten,E Distributie van water/ afval- en afvalwaterbeheer en sanering,2021,Alle plaatsen,,95.0
Alle economische activiteiten,F Bouwnijverheid,2021,Alle plaatsen,Vlaams Gewest,6112.0
Alle economische activiteiten,F Bouwnijverheid,2021,Alle plaatsen,Brussels Hoofdstedelijk Gewest,1126.0
Alle economische activiteiten,F Bouwnijverheid,2021,Alle plaatsen,Waals Gewest,2440.0
Alle economische activiteiten,F Bouwnijverheid,2021,Alle plaatsen,Buitenland,824.0
Alle economische activiteiten,F Bouwnijverheid,2021,Alle plaatsen,Onbekend,0.0
Alle economische activiteiten,F Bouwnijverheid,2021,Alle plaatsen,,10502.0
Alle economische activiteiten,G Groot- en detailhandel/ reparatie van auto’s en motorfietsen,2021,Alle plaatsen,Vlaams Gewest,7894.0
Alle economische activiteiten,G Groot- en detailhandel/ reparatie van auto’s en motorfietsen,2021,Alle plaatsen,Brussels Hoofdstedelijk Gewest,1275.0
Alle economische activiteiten,G Groot- en detailhandel/ reparatie van auto’s en motorfietsen,2021,Alle plaatsen,Waals Gewest,3427.0
Alle economische activiteiten,G Groot- en detailhandel/ reparatie van auto’s en motorfietsen,2021,Alle plaatsen,Buitenland,2714.0
Alle economische activiteiten,G Groot- en detailhandel/ reparatie van auto’s en motorfietsen,2021,Alle plaatsen,Onbekend,0.0
Alle economische activiteiten,G Groot- en detailhandel/ reparatie van auto’s en motorfietsen,2021,Alle plaatsen,,15310.0
Alle economische activiteiten,H Vervoer en opslag,2021,Alle plaatsen,Vlaams Gewest,1219.0
Alle economische activiteiten,H Vervoer en opslag,2021,Alle plaatsen,Brussels Hoofdstedelijk Gewest,385.0
Alle economische activiteiten,H Vervoer en opslag,2021,Alle plaatsen,Waals Gewest,394.0
Alle economische activiteiten,H Vervoer en opslag,2021,Alle plaatsen,Buitenland,178.0
Alle economische activiteiten,H Vervoer en opslag,2021,Alle plaatsen,Onbekend,2.0
Alle economische activiteiten,H Vervoer en opslag,2021,Alle plaatsen,,2178.0
Alle economische activiteiten,I Verschaffen van accommodatie en maaltijden,2021,Alle plaatsen,Vlaams Gewest,2838.0
Alle economische activiteiten,I Verschaffen van accommodatie en maaltijden,2021,Alle plaatsen,Brussels Hoofdstedelijk Gewest,554.0
Alle economische activiteiten,I Verschaffen van accommodatie en maaltijden,2021,Alle plaatsen,Waals Gewest,1370.0
Alle economische activiteiten,I Verschaffen van accommodatie en maaltijden,2021,Alle plaatsen,Buitenland,95.0
Alle economische activiteiten,I Verschaffen van accommodatie en maaltijden,2021,Alle plaatsen,Onbekend,1.0
Alle economische activiteiten,I Verschaffen van accommodatie en maaltijden,2021,Alle plaatsen,,4858.0
Alle economische activiteiten,J Informatie en communicatie,2021,Alle plaatsen,Vlaams Gewest,2165.0
Alle economische activiteiten,J Informatie en communicatie,2021,Alle plaatsen,Brussels Hoofdstedelijk Gewest,700.0
Alle economische activiteiten,J Informatie en communicatie,2021,Alle plaatsen,Waals Gewest,847.0
