België,Gewest,Jaar,Totaal,Geslacht,Werkgelegenheidsgraad,Werkloosheidsgraad,Activiteitsgraad
België,Brussels Hoofdstedelijk Gewest,1999,Totaal,Mannen,0.604,0.16,0.719
België,Brussels Hoofdstedelijk Gewest,1999,Totaal,Vrouwen,0.479,0.157,0.569
België,Brussels Hoofdstedelijk Gewest,1999,Totaal,,0.541,0.159,0.643
België,Brussels Hoofdstedelijk Gewest,2000,Totaal,Mannen,0.612,0.142,0.713
België,Brussels Hoofdstedelijk Gewest,2000,Totaal,Vrouwen,0.489,0.137,0.567
België,Brussels Hoofdstedelijk Gewest,2000,Totaal,,0.55,0.14,0.639
België,Brussels Hoofdstedelijk Gewest,2001,Totaal,Mannen,0.613,0.127,0.702
België,Brussels Hoofdstedelijk Gewest,2001,Totaal,Vrouwen,0.467,0.134,0.539
België,Brussels Hoofdstedelijk Gewest,2001,Totaal,,0.539,0.13,0.62
België,Brussels Hoofdstedelijk Gewest,2002,Totaal,Mannen,0.609,0.149,0.716
België,Brussels Hoofdstedelijk Gewest,2002,Totaal,Vrouwen,0.482,0.146,0.564
België,Brussels Hoofdstedelijk Gewest,2002,Totaal,,0.545,0.147,0.639
België,Brussels Hoofdstedelijk Gewest,2003,Totaal,Mannen,0.591,0.161,0.705
België,Brussels Hoofdstedelijk Gewest,2003,Totaal,Vrouwen,0.474,0.153,0.559
België,Brussels Hoofdstedelijk Gewest,2003,Totaal,,0.532,0.158,0.631
België,Brussels Hoofdstedelijk Gewest,2004,Totaal,Mannen,0.603,0.163,0.721
België,Brussels Hoofdstedelijk Gewest,2004,Totaal,Vrouwen,0.479,0.154,0.567
België,Brussels Hoofdstedelijk Gewest,2004,Totaal,,0.541,0.159,0.643
België,Brussels Hoofdstedelijk Gewest,2005,Totaal,Mannen,0.62,0.164,0.741
België,Brussels Hoofdstedelijk Gewest,2005,Totaal,Vrouwen,0.479,0.165,0.573
België,Brussels Hoofdstedelijk Gewest,2005,Totaal,,0.548,0.165,0.657
België,Brussels Hoofdstedelijk Gewest,2006,Totaal,Mannen,0.605,0.173,0.731
België,Brussels Hoofdstedelijk Gewest,2006,Totaal,Vrouwen,0.466,0.182,0.569
België,Brussels Hoofdstedelijk Gewest,2006,Totaal,,0.534,0.177,0.649
België,Brussels Hoofdstedelijk Gewest,2007,Totaal,Mannen,0.614,0.173,0.742
België,Brussels Hoofdstedelijk Gewest,2007,Totaal,Vrouwen,0.483,0.17,0.582
België,Brussels Hoofdstedelijk Gewest,2007,Totaal,,0.548,0.172,0.661
België,Brussels Hoofdstedelijk Gewest,2008,Totaal,Mannen,0.629,0.155,0.745
België,Brussels Hoofdstedelijk Gewest,2008,Totaal,Vrouwen,0.484,0.167,0.581
België,Brussels Hoofdstedelijk Gewest,2008,Totaal,,0.556,0.16,0.662
België,Brussels Hoofdstedelijk Gewest,2009,Totaal,Mannen,0.61,0.159,0.726
België,Brussels Hoofdstedelijk Gewest,2009,Totaal,Vrouwen,0.493,0.158,0.585
België,Brussels Hoofdstedelijk Gewest,2009,Totaal,,0.551,0.159,0.655
België,Brussels Hoofdstedelijk Gewest,2010,Totaal,Mannen,0.61,0.169,0.734
België,Brussels Hoofdstedelijk Gewest,2010,Totaal,Vrouwen,0.487,0.18,0.593
België,Brussels Hoofdstedelijk Gewest,2010,Totaal,,0.548,0.174,0.663
België,Brussels Hoofdstedelijk Gewest,2011,Totaal,Mannen,0.592,0.184,0.725
België,Brussels Hoofdstedelijk Gewest,2011,Totaal,Vrouwen,0.486,0.155,0.575
België,Brussels Hoofdstedelijk Gewest,2011,Totaal,,0.538,0.171,0.649
België,Brussels Hoofdstedelijk Gewest,2012,Totaal,Mannen,0.594,0.181,0.725
België,Brussels Hoofdstedelijk Gewest,2012,Totaal,Vrouwen,0.486,0.168,0.583
België,Brussels Hoofdstedelijk Gewest,2012,Totaal,,0.54,0.175,0.654
België,Brussels Hoofdstedelijk Gewest,2013,Totaal,Mannen,0.567,0.212,0.719
België,Brussels Hoofdstedelijk Gewest,2013,Totaal,Vrouwen,0.485,0.17,0.584
België,Brussels Hoofdstedelijk Gewest,2013,Totaal,,0.525,0.193,0.651
België,Brussels Hoofdstedelijk Gewest,2014,Totaal,Mannen,0.588,0.203,0.738
België,Brussels Hoofdstedelijk Gewest,2014,Totaal,Vrouwen,0.498,0.162,0.594
België,Brussels Hoofdstedelijk Gewest,2014,Totaal,,0.543,0.185,0.666
België,Brussels Hoofdstedelijk Gewest,2015,Totaal,Mannen,0.592,0.187,0.729
België,Brussels Hoofdstedelijk Gewest,2015,Totaal,Vrouwen,0.492,0.159,0.586
België,Brussels Hoofdstedelijk Gewest,2015,Totaal,,0.542,0.175,0.657
België,Brussels Hoofdstedelijk Gewest,2016,Totaal,Mannen,0.603,0.176,0.731
België,Brussels Hoofdstedelijk Gewest,2016,Totaal,Vrouwen,0.503,0.161,0.599
België,Brussels Hoofdstedelijk Gewest,2016,Totaal,,0.553,0.169,0.665
België,Vlaams Gewest,1999,Totaal,Mannen,0.713,0.044,0.746
België,Vlaams Gewest,1999,Totaal,Vrouwen,0.536,0.067,0.575
België,Vlaams Gewest,1999,Totaal,,0.626,0.054,0.662
België,Vlaams Gewest,2000,Totaal,Mannen,0.729,0.032,0.753
België,Vlaams Gewest,2000,Totaal,Vrouwen,0.547,0.058,0.581
België,Vlaams Gewest,2000,Totaal,,0.639,0.043,0.668
België,Vlaams Gewest,2001,Totaal,Mannen,0.721,0.036,0.748
België,Vlaams Gewest,2001,Totaal,Vrouwen,0.545,0.045,0.571
België,Vlaams Gewest,2001,Totaal,,0.634,0.04,0.661
België,Vlaams Gewest,2002,Totaal,Mannen,0.716,0.043,0.749
België,Vlaams Gewest,2002,Totaal,Vrouwen,0.552,0.057,0.585
België,Vlaams Gewest,2002,Totaal,,0.635,0.049,0.668
België,Vlaams Gewest,2003,Totaal,Mannen,0.707,0.052,0.746
België,Vlaams Gewest,2003,Totaal,Vrouwen,0.55,0.063,0.588
België,Vlaams Gewest,2003,Totaal,,0.629,0.057,0.668
België,Vlaams Gewest,2004,Totaal,Mannen,0.716,0.046,0.751
België,Vlaams Gewest,2004,Totaal,Vrouwen,0.567,0.066,0.607
België,Vlaams Gewest,2004,Totaal,,0.643,0.054,0.68
België,Vlaams Gewest,2005,Totaal,Mannen,0.718,0.048,0.754
België,Vlaams Gewest,2005,Totaal,Vrouwen,0.578,0.063,0.617
België,Vlaams Gewest,2005,Totaal,,0.649,0.055,0.686
België,Vlaams Gewest,2006,Totaal,Mannen,0.715,0.043,0.748
België,Vlaams Gewest,2006,Totaal,Vrouwen,0.583,0.058,0.618
België,Vlaams Gewest,2006,Totaal,,0.65,0.05,0.684
België,Vlaams Gewest,2007,Totaal,Mannen,0.723,0.038,0.752
België,Vlaams Gewest,2007,Totaal,Vrouwen,0.598,0.051,0.63
België,Vlaams Gewest,2007,Totaal,,0.661,0.044,0.691
België,Vlaams Gewest,2008,Totaal,Mannen,0.72,0.037,0.748
België,Vlaams Gewest,2008,Totaal,Vrouwen,0.608,0.042,0.634
België,Vlaams Gewest,2008,Totaal,,0.665,0.039,0.692
België,Vlaams Gewest,2009,Totaal,Mannen,0.709,0.05,0.746
België,Vlaams Gewest,2009,Totaal,Vrouwen,0.605,0.05,0.636
België,Vlaams Gewest,2009,Totaal,,0.658,0.05,0.692
België,Vlaams Gewest,2010,Totaal,Mannen,0.711,0.052,0.751
België,Vlaams Gewest,2010,Totaal,Vrouwen,0.613,0.051,0.647
België,Vlaams Gewest,2010,Totaal,,0.663,0.052,0.699
België,Vlaams Gewest,2011,Totaal,Mannen,0.709,0.042,0.741
