België,Gewest,Provincie,Arrondissement,Werkgelegenheidsgraad 15-64-jarigen
België,Vlaams Gewest,Provincie Antwerpen,,0.635
België,Vlaams Gewest,Provincie Vlaams-Brabant,,0.665
België,Vlaams Gewest,Provincie West-Vlaanderen,,0.667
België,Vlaams Gewest,Provincie Oost-Vlaanderen,,0.666
België,Vlaams Gewest,Provincie Limburg,,0.63
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,0.477
België,Waals Gewest,Provincie Waals-Brabant,,0.609
België,Waals Gewest,Provincie Henegouwen,,0.536
België,Waals Gewest,Provincie Luik,,0.559
België,Waals Gewest,Provincie Luxemburg,,0.605
België,Waals Gewest,Provincie Namen,,0.59
België,,,,0.605
