Karakteristieken,Jaar,Land,Armoederisico (AR)
"2 volwassenen, beiden <65 jaar",2018,België,0.094
"2 volwassenen, minstens één is 65+ jaar",2018,België,0.155
Andere huishoudens zonder afhankelijke kinderen,2018,België,0.047
"Alleenstaande ouders, minstens één afhankelijk kind",2018,België,0.399
"2 volwassenen, 1 afhankelijk kind",2018,België,0.122
"2 volwassenen, 2 afhankelijke kinderen",2018,België,0.099
"2 volwassenen, 3+ afhankelijke kinderen",2018,België,0.24
Andere huishoudens met afhankelijke kinderen,2018,België,0.14
"Alleenstaande, man <65 jaar",2018,België,0.252
"Alleenstaande, vrouw <65 jaar",2018,België,0.278
"Alleenstaande, man  65+ jaar",2018,België,0.19
"Alleenstaande, vrouw 65+ jaar",2018,België,0.205
