België,Gewest,Provincie,Arrondissement,Nationaliteit van een niet-EU land
België,Vlaams Gewest,Provincie Antwerpen,,0.041
België,Vlaams Gewest,Provincie Vlaams-Brabant,,0.027
België,Vlaams Gewest,Provincie West-Vlaanderen,,0.015
België,Vlaams Gewest,Provincie Oost-Vlaanderen,,0.023
België,Vlaams Gewest,Provincie Limburg,,0.02
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,0.126
België,Waals Gewest,Provincie Waals-Brabant,,0.022
België,Waals Gewest,Provincie Henegouwen,,0.024
België,Waals Gewest,Provincie Luik,,0.035
België,Waals Gewest,Provincie Luxemburg,,0.017
België,Waals Gewest,Provincie Namen,,0.019
België,,,,0.037
