Gewest,Provincie,Arrondissement,Gemeente,Sex ratio
Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Sint-Lambrechts-Woluwe,120.262
Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Ukkel,116.951
Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Ganshoren,116.675
Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Watermaal-Bosvoorde,116.624
Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Drogenbos,116.222
Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Sint-Pieters-Woluwe,115.183
Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Jette,113.143
Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Evere,113.048
Waals Gewest,Provincie Henegouwen,Arrondissement Bergen,Boussu,112.594
Waals Gewest,Provincie Luik,Arrondissement Luik,Fléron,112.418
Waals Gewest,Provincie Henegouwen,Arrondissement Bergen,Frameries,111.869
Waals Gewest,Provincie Henegouwen,Arrondissement Charleroi,Montigny-le-Tilleul,111.7
Waals Gewest,Provincie Luik,Arrondissement Luik,Saint-Nicolas (Luik),111.578
Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Nijvel,111.543
Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Oudergem,111.319
Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Etterbeek,111.224
Waals Gewest,Provincie Henegouwen,Arrondissement Bergen,Saint-Ghislain,110.735
Waals Gewest,Provincie Luik,Arrondissement Luik,Flémalle,110.662
Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Waterloo,110.661
Waals Gewest,Provincie Luik,Arrondissement Luik,Ans,110.65
Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Sint-Agatha-Berchem,110.372
Waals Gewest,Provincie Henegouwen,Arrondissement Charleroi,Fontaine-l’Evêque,110.153
Waals Gewest,Provincie Henegouwen,Arrondissement Charleroi,Chapelle-lez-Herlaimont,109.874
Waals Gewest,Provincie Luik,Arrondissement Luik,Chaudfontaine,109.853
Waals Gewest,Provincie Henegouwen,Arrondissement Bergen,Hensies,109.845
Waals Gewest,Provincie Henegouwen,Arrondissement Bergen,Quaregnon,109.8
Waals Gewest,Provincie Henegouwen,Arrondissement Thuin,Binche,109.74
Waals Gewest,Provincie Henegouwen,Arrondissement Charleroi,Châtelet,109.66
Waals Gewest,Provincie Luik,Arrondissement Luik,Awans,109.581
Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Rixensart,109.417
Waals Gewest,Provincie Henegouwen,Arrondissement Zinnik,Zinnik,109.417
Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Grimbergen,109.336
Waals Gewest,Provincie Henegouwen,Arrondissement Bergen,Quiévrain,109.327
Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Linkebeek,109.127
Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Brugge,Knokke-Heist,109.067
Waals Gewest,Provincie Luik,Arrondissement Luik,Seraing,109.064
Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Wezembeek-Oppem,108.975
Waals Gewest,Provincie Namen,Arrondissement Namen,Sambreville,108.908
Waals Gewest,Provincie Luik,Arrondissement Luik,Oupeye,108.855
Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Eigenbrakel,108.847
Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Vorst (Brussel-Hoofdstad),108.847
Waals Gewest,Provincie Henegouwen,Arrondissement Charleroi,Courcelles,108.708
Waals Gewest,Provincie Luik,Arrondissement Luik,Wezet,108.499
Waals Gewest,Provincie Henegouwen,Arrondissement Bergen,Jurbeke,108.491
Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Veurne,De Panne,108.456
Waals Gewest,Provincie Luik,Arrondissement Borgworm,Borgworm,108.331
Waals Gewest,Provincie Namen,Arrondissement Dinant,Ciney,108.27
Waals Gewest,Provincie Henegouwen,Arrondissement Charleroi,Gerpinnes,108.241
Waals Gewest,Provincie Luik,Arrondissement Verviers,Malmedy,108.24
Waals Gewest,Provincie Luik,Arrondissement Luik,Comblain-au-Pont,108.182
Waals Gewest,Provincie Luik,Arrondissement Verviers,Spa,108.133
Waals Gewest,Provincie Henegouwen,Arrondissement Bergen,Quévy,108.107
Waals Gewest,Provincie Henegouwen,Arrondissement Bergen,Bergen,108.095
Waals Gewest,Provincie Luik,Arrondissement Luik,Beyne-Heusay,108.091
