België,Gewest,Jaar,Aantal doden 30 dagen,Aantal zwaargewonden,Aantal lichtgewonden
België,Vlaams Gewest,2014,404,3153,30163
België,Vlaams Gewest,2015,396,2872,29281
België,Vlaams Gewest,2016,339,2864,28798
België,Vlaams Gewest,2017,299,2594,26889
België,Vlaams Gewest,2018,310,2527,27372
België,Vlaams Gewest,2019,315,2478,26274
België,Vlaams Gewest,2020,253,2055,20491
België,Vlaams Gewest,2021,310,2204,23277
België,Brussels Hoofdstedelijk Gewest,2014,28,165,4254
België,Brussels Hoofdstedelijk Gewest,2015,29,188,4285
België,Brussels Hoofdstedelijk Gewest,2016,17,158,4404
België,Brussels Hoofdstedelijk Gewest,2017,24,194,4384
België,Brussels Hoofdstedelijk Gewest,2018,21,176,4334
België,Brussels Hoofdstedelijk Gewest,2019,20,178,4401
België,Brussels Hoofdstedelijk Gewest,2020,16,159,3552
België,Brussels Hoofdstedelijk Gewest,2021,8,134,3960
België,Waals Gewest,2014,313,1166,14336
België,Waals Gewest,2015,337,1121,14084
België,Waals Gewest,2016,314,1073,13961
België,Waals Gewest,2017,286,974,13437
België,Waals Gewest,2018,273,934,13410
België,Waals Gewest,2019,309,949,12908
België,Waals Gewest,2020,230,764,9630
België,Waals Gewest,2021,198,760,11715
België,,2014,745,4484,48753
België,,2015,762,4181,47650
België,,2016,670,4095,47163
België,,2017,609,3762,44710
België,,2018,604,3637,45116
België,,2019,644,3605,43583
België,,2020,499,2978,33673
België,,2021,516,3098,38952
