België,Gewest,Provincie,totaal,Hoogst behaalde opleidingsniveau,Bevolking
België,Brussels Hoofdstedelijk Gewest  ,Brussels Hoofdstedelijk Gewest  ,totaal,Geen diploma of getuigschrift,31257
België,Brussels Hoofdstedelijk Gewest  ,Brussels Hoofdstedelijk Gewest  ,totaal,Lager onderwijs (ISCED 1),92351
België,Brussels Hoofdstedelijk Gewest  ,Brussels Hoofdstedelijk Gewest  ,totaal,Lager secundair onderwijs (ISCED 2),156725
België,Brussels Hoofdstedelijk Gewest  ,Brussels Hoofdstedelijk Gewest  ,totaal,Hoger secundair onderwijs (ISCED 3),168652
België,Brussels Hoofdstedelijk Gewest  ,Brussels Hoofdstedelijk Gewest  ,totaal,Postsecundair niet-hoger onderwijs (ISCED 4),13898
België,Brussels Hoofdstedelijk Gewest  ,Brussels Hoofdstedelijk Gewest  ,totaal,"Hoger onderwijs - graduaat/bachelor, licentiaat/master (ISCED 5)",216448
België,Brussels Hoofdstedelijk Gewest  ,Brussels Hoofdstedelijk Gewest  ,totaal,Doctoraat (ISCED 6),7725
België,Brussels Hoofdstedelijk Gewest  ,Brussels Hoofdstedelijk Gewest  ,totaal,Niet aangegeven (voor personen van 15 jaar of ouder),232839
België,Brussels Hoofdstedelijk Gewest  ,Brussels Hoofdstedelijk Gewest  ,totaal,Niet van toepassing (personen jonger dan 15 jaar),216883
België,Brussels Hoofdstedelijk Gewest  ,Brussels Hoofdstedelijk Gewest  ,totaal,,1136778
België,Vlaams Gewest  ,Provincie Antwerpen,totaal,Geen diploma of getuigschrift,33034
België,Vlaams Gewest  ,Provincie Antwerpen,totaal,Lager onderwijs (ISCED 1),183642
België,Vlaams Gewest  ,Provincie Antwerpen,totaal,Lager secundair onderwijs (ISCED 2),309121
België,Vlaams Gewest  ,Provincie Antwerpen,totaal,Hoger secundair onderwijs (ISCED 3),426098
België,Vlaams Gewest  ,Provincie Antwerpen,totaal,Postsecundair niet-hoger onderwijs (ISCED 4),52842
België,Vlaams Gewest  ,Provincie Antwerpen,totaal,"Hoger onderwijs - graduaat/bachelor, licentiaat/master (ISCED 5)",335744
België,Vlaams Gewest  ,Provincie Antwerpen,totaal,Doctoraat (ISCED 6),6051
België,Vlaams Gewest  ,Provincie Antwerpen,totaal,Niet aangegeven (voor personen van 15 jaar of ouder),132584
België,Vlaams Gewest  ,Provincie Antwerpen,totaal,Niet van toepassing (personen jonger dan 15 jaar),294151
België,Vlaams Gewest  ,Provincie Antwerpen,totaal,,1773267
België,Vlaams Gewest  ,Provincie Limburg,totaal,Geen diploma of getuigschrift,22442
België,Vlaams Gewest  ,Provincie Limburg,totaal,Lager onderwijs (ISCED 1),80655
België,Vlaams Gewest  ,Provincie Limburg,totaal,Lager secundair onderwijs (ISCED 2),174301
België,Vlaams Gewest  ,Provincie Limburg,totaal,Hoger secundair onderwijs (ISCED 3),201871
België,Vlaams Gewest  ,Provincie Limburg,totaal,Postsecundair niet-hoger onderwijs (ISCED 4),30426
