België,Gewest,Provincie,Arrondissement,Woningen bewoond door hun eigenaar
België,Vlaams Gewest,Provincie Antwerpen,,0.683
België,Vlaams Gewest,Provincie Vlaams-Brabant,,0.741
België,Vlaams Gewest,Provincie West-Vlaanderen,,0.718
België,Vlaams Gewest,Provincie Oost-Vlaanderen,,0.693
België,Vlaams Gewest,Provincie Limburg,,0.761
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,0.388
België,Waals Gewest,Provincie Waals-Brabant,,0.702
België,Waals Gewest,Provincie Henegouwen,,0.656
België,Waals Gewest,Provincie Luik,,0.636
België,Waals Gewest,Provincie Luxemburg,,0.712
België,Waals Gewest,Provincie Namen,,0.683
België,,,,0.662
