België,Gewest,Provincie,Arrondissement,Gemeente,Woningen gebouwd vanaf 1991
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Hoogstraten,0.371
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Brecht,0.367
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Ottignies-Louvain-la-Neuve,0.358
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Oostende,Bredene,0.356
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,Lochristi,0.355
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Wuustwezel,0.351
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Hulshout,0.35
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Veurne,Nieuwpoort,0.348
België,Vlaams Gewest,Provincie Limburg,Arrondissement Maaseik,Overpelt,0.346
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Ravels,0.338
België,Vlaams Gewest,Provincie Limburg,Arrondissement Hasselt,Opglabbeek,0.332
België,Waals Gewest,Provincie Luxemburg,Arrondissement Aarlen,Attert,0.332
België,Vlaams Gewest,Provincie Limburg,Arrondissement Hasselt,Tessenderlo,0.328
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Veurne,Koksijde,0.328
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,Aalter,0.326
België,Vlaams Gewest,Provincie Limburg,Arrondissement Maaseik,Peer,0.325
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Retie,0.322
België,Vlaams Gewest,Provincie Limburg,Arrondissement Maaseik,Neerpelt,0.321
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Oostende,De Haan,0.321
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Beerse,0.319
België,Vlaams Gewest,Provincie Limburg,Arrondissement Maaseik,Lommel,0.319
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Baarle-Hertog,0.317
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Brugge,Knokke-Heist,0.31
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Essen,0.31
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,Nazareth,0.31
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Lille,0.31
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Mont-Saint-Guibert,0.308
België,Vlaams Gewest,Provincie Limburg,Arrondissement Maaseik,Maaseik,0.307
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Oostende,Middelkerke,0.307
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Zoersel,0.307
België,Vlaams Gewest,Provincie Limburg,Arrondissement Maaseik,Meeuwen-Gruitrode,0.306
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Tremelo,0.306
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Geel,0.306
België,Vlaams Gewest,Provincie Limburg,Arrondissement Hasselt,Zutendaal,0.304
België,Vlaams Gewest,Provincie Limburg,Arrondissement Maaseik,Bocholt,0.303
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Malle,0.303
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Tielt,Wingene,0.302
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Westerlo,0.299
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Lint,0.298
België,Vlaams Gewest,Provincie Limburg,Arrondissement Tongeren,Bilzen,0.298
België,Vlaams Gewest,Provincie Limburg,Arrondissement Maaseik,Bree,0.297
België,Vlaams Gewest,Provincie Limburg,Arrondissement Maaseik,Dilsen-Stokkem,0.296
België,Vlaams Gewest,Provincie Limburg,Arrondissement Tongeren,Lanaken,0.295
België,Vlaams Gewest,Provincie Limburg,Arrondissement Hasselt,Diepenbeek,0.295
België,Vlaams Gewest,Provincie Limburg,Arrondissement Hasselt,Ham,0.294
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Merchtem,0.294
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Rijkevorsel,0.294
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Kasterlee,0.292
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Sint-Niklaas,Temse,0.291
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Opwijk,0.29
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Sint-Niklaas,Sint-Gillis-Waas,0.289
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Dendermonde,Berlare,0.288
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Zandhoven,0.287
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Holsbeek,0.286
België,Vlaams Gewest,Provincie Limburg,Arrondissement Maaseik,Hechtel-Eksel,0.285
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Merksplas,0.285
België,Vlaams Gewest,Provincie Limburg,Arrondissement Hasselt,Halen,0.284
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Begijnendijk,0.284
België,Vlaams Gewest,Provincie Limburg,Arrondissement Hasselt,Herk-de-Stad,0.284
België,Vlaams Gewest,Provincie Limburg,Arrondissement Hasselt,Beringen,0.283
België,Vlaams Gewest,Provincie Limburg,Arrondissement Hasselt,Zonhoven,0.283
België,Vlaams Gewest,Provincie Limburg,Arrondissement Hasselt,As,0.282
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Oud-Turnhout,0.28
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Oostende,Gistel,0.279
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,Deinze,0.278
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Kortenberg,0.277
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Vosselaar,0.277
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Grobbendonk,0.277
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Balen,0.277
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Sint-Niklaas,Stekene,0.276
België,Waals Gewest,Provincie Luik,Arrondissement Borgworm,Crisnée,0.276
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Mol,0.275
België,Waals Gewest,Provincie Luxemburg,Arrondissement Bastenaken,Vaux-sur-Sûre,0.275
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Chaumont-Gistoux,0.274
België,Waals Gewest,Provincie Luxemburg,Arrondissement Bastenaken,Bastenaken,0.274
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Olen,0.273
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,Evergem,0.273
België,Waals Gewest,Provincie Luxemburg,Arrondissement Virton,Etalle,0.272
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Dendermonde,Waasmunster,0.272
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Ranst,0.27
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Brugge,Torhout,0.27
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,Nevele,0.269
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Arendonk,0.269
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Baelen,0.268
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Jalhay,0.268
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Keerbergen,0.267
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Tielt,Dentergem,0.265
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,Gavere,0.265
België,Vlaams Gewest,Provincie Limburg,Arrondissement Maaseik,Hamont-Achel,0.264
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Mechelen,Putte,0.264
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Kortrijk,Spiere-Helkijn,0.264
België,Waals Gewest,Provincie Henegouwen,Arrondissement Zinnik,Edingen,0.264
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Herent,0.264
België,Vlaams Gewest,Provincie Limburg,Arrondissement Tongeren,Hoeselt,0.264
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Sint-Niklaas,Beveren (Sint-Niklaas),0.263
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Tielt,Oostrozebeke,0.262
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Mechelen,Heist-op-den-Berg,0.262
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Tielt,Wielsbeke,0.262
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Eeklo,Kaprijke,0.262
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Aalst,Sint-Lievens-Houtem,0.262
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Dessel,0.261
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Kalmthout,0.261
