Jaar,Maand,Index zonder energetische producten
2021,Januari 2021,111.877
2021,Februari 2021,111.941
2021,Maart 2021,111.997
2021,April 2021,112.397
2021,Mei 2021,112.463
2021,Juni 2021,112.448
2021,Juli 2021,113.035
2021,Augustus 2021,113.428
2021,September 2021,112.98
2021,Oktober 2021,113.49
2021,November 2021,113.579
2021,December 2021,114.101
2022,Januari 2022,115.073
2022,Februari 2022,115.606
2022,Maart 2022,116.261
2022,April 2022,116.96
2022,Mei 2022,117.549
2022,Juni 2022,118.366
2022,Juli 2022,119.535
2022,Augustus 2022,120.234
2022,September 2022,120.257
2022,Oktober 2022,121.403
2022,November 2022,122.445
2022,December 2022,123.1
2023,,124.978
