Gewest,Rubrieken niveau 1,Jaar,Aantal percelen,Totale oppervlakte
Vlaams Gewest,totaal onbebouwde percelen  (1TOT),2022,2119972.0,986075.436
Vlaams Gewest,totaal bebouwde percelen  (2TOT),2022,4327937.0,269816.035
Vlaams Gewest,niet genormaliseerde percelen  (3TOT),2022,,
Vlaams Gewest,gekadastreerde oppervlakte  (4TOT),2022,6447909.0,1255891.472
Vlaams Gewest,niet gekadastreerde oppervlakte  (5TOT),2022,,106662.242
Vlaams Gewest,totale oppervlakte  (6TOT),2022,,1362553.714
Brussels Hoofdstedelijk Gewest,totaal onbebouwde percelen  (1TOT),2022,17109.0,5078.749
Brussels Hoofdstedelijk Gewest,totaal bebouwde percelen  (2TOT),2022,676745.0,7792.5
Brussels Hoofdstedelijk Gewest,niet genormaliseerde percelen  (3TOT),2022,,
Brussels Hoofdstedelijk Gewest,gekadastreerde oppervlakte  (4TOT),2022,693854.0,12871.249
Brussels Hoofdstedelijk Gewest,niet gekadastreerde oppervlakte  (5TOT),2022,,3370.729
Brussels Hoofdstedelijk Gewest,totale oppervlakte  (6TOT),2022,,16241.979
Waals Gewest,totaal onbebouwde percelen  (1TOT),2022,2249490.0,1454695.106
Waals Gewest,totaal bebouwde percelen  (2TOT),2022,2152368.0,147222.153
Waals Gewest,niet genormaliseerde percelen  (3TOT),2022,,
Waals Gewest,gekadastreerde oppervlakte  (4TOT),2022,4401858.0,1601917.258
Waals Gewest,niet gekadastreerde oppervlakte  (5TOT),2022,,88204.352
Waals Gewest,totale oppervlakte  (6TOT),2022,,1690121.61
