Karakteristieken,Jaar,Land,Armoederisico (AR)
Totaal,2011,België,0.153
Totaal,2012,België,0.153
Totaal,2013,België,0.151
Totaal,2014,België,0.155
Totaal,2015,België,0.149
Mannen,2011,België,0.146
Mannen,2012,België,0.147
Mannen,2013,België,0.146
Mannen,2014,België,0.15
Mannen,2015,België,0.141
Vrouwen,2011,België,0.16
Vrouwen,2012,België,0.159
Vrouwen,2013,België,0.155
Vrouwen,2014,België,0.159
Vrouwen,2015,België,0.156
0-15,2011,België,0.185
0-15,2012,België,0.173
0-15,2013,België,0.168
0-15,2014,België,0.179
0-15,2015,België,0.174
16-24,2011,België,0.153
16-24,2012,België,0.165
16-24,2013,België,0.17
16-24,2014,België,0.204
16-24,2015,België,0.195
25-49,2011,België,0.131
25-49,2012,België,0.133
25-49,2013,België,0.138
25-49,2014,België,0.144
25-49,2015,België,0.135
50-64,2011,België,0.121
50-64,2012,België,0.128
50-64,2013,België,0.117
50-64,2014,België,0.118
50-64,2015,België,0.121
65+,2011,België,0.202
65+,2012,België,0.194
65+,2013,België,0.184
65+,2014,België,0.161
65+,2015,België,0.152
