België,Gewest,Kwartaal,Totaal,Geslacht,Werkgelegenheidsgraad,Werkloosheidsgraad,Activiteitsgraad
België,Brussels Hoofdstedelijk Gewest,1ste kwartaal 2016,Totaal,Mannen,0.591,0.185,0.726
België,Brussels Hoofdstedelijk Gewest,1ste kwartaal 2016,Totaal,Vrouwen,0.506,0.163,0.605
België,Brussels Hoofdstedelijk Gewest,1ste kwartaal 2016,Totaal,,0.548,0.175,0.665
België,Brussels Hoofdstedelijk Gewest,2de kwartaal 2016,Totaal,Mannen,0.589,0.173,0.713
België,Brussels Hoofdstedelijk Gewest,2de kwartaal 2016,Totaal,Vrouwen,0.487,0.174,0.59
België,Brussels Hoofdstedelijk Gewest,2de kwartaal 2016,Totaal,,0.538,0.174,0.651
België,Brussels Hoofdstedelijk Gewest,3de kwartaal 2016,Totaal,Mannen,0.604,0.173,0.73
België,Brussels Hoofdstedelijk Gewest,3de kwartaal 2016,Totaal,Vrouwen,0.506,0.157,0.601
België,Brussels Hoofdstedelijk Gewest,3de kwartaal 2016,Totaal,,0.555,0.166,0.665
België,Brussels Hoofdstedelijk Gewest,4de kwartaal 2016,Totaal,Mannen,0.628,0.17,0.756
België,Brussels Hoofdstedelijk Gewest,4de kwartaal 2016,Totaal,Vrouwen,0.513,0.149,0.603
België,Brussels Hoofdstedelijk Gewest,4de kwartaal 2016,Totaal,,0.57,0.161,0.679
België,Vlaams Gewest,1ste kwartaal 2016,Totaal,Mannen,0.698,0.058,0.741
België,Vlaams Gewest,1ste kwartaal 2016,Totaal,Vrouwen,0.622,0.052,0.656
België,Vlaams Gewest,1ste kwartaal 2016,Totaal,,0.66,0.055,0.699
België,Vlaams Gewest,2de kwartaal 2016,Totaal,Mannen,0.705,0.048,0.741
België,Vlaams Gewest,2de kwartaal 2016,Totaal,Vrouwen,0.616,0.051,0.649
België,Vlaams Gewest,2de kwartaal 2016,Totaal,,0.661,0.049,0.695
België,Vlaams Gewest,3de kwartaal 2016,Totaal,Mannen,0.705,0.05,0.742
België,Vlaams Gewest,3de kwartaal 2016,Totaal,Vrouwen,0.623,0.047,0.654
België,Vlaams Gewest,3de kwartaal 2016,Totaal,,0.664,0.049,0.698
België,Vlaams Gewest,4de kwartaal 2016,Totaal,Mannen,0.71,0.045,0.743
België,Vlaams Gewest,4de kwartaal 2016,Totaal,Vrouwen,0.639,0.038,0.664
België,Vlaams Gewest,4de kwartaal 2016,Totaal,,0.675,0.041,0.704
België,Waals Gewest,1ste kwartaal 2016,Totaal,Mannen,0.597,0.115,0.675
België,Waals Gewest,1ste kwartaal 2016,Totaal,Vrouwen,0.521,0.099,0.578
België,Waals Gewest,1ste kwartaal 2016,Totaal,,0.559,0.108,0.627
België,Waals Gewest,2de kwartaal 2016,Totaal,Mannen,0.623,0.106,0.696
België,Waals Gewest,2de kwartaal 2016,Totaal,Vrouwen,0.526,0.106,0.589
België,Waals Gewest,2de kwartaal 2016,Totaal,,0.574,0.106,0.642
België,Waals Gewest,3de kwartaal 2016,Totaal,Mannen,0.615,0.104,0.686
België,Waals Gewest,3de kwartaal 2016,Totaal,Vrouwen,0.522,0.115,0.59
België,Waals Gewest,3de kwartaal 2016,Totaal,,0.569,0.109,0.638
België,Waals Gewest,4de kwartaal 2016,Totaal,Mannen,0.619,0.107,0.693
België,Waals Gewest,4de kwartaal 2016,Totaal,Vrouwen,0.548,0.094,0.605
België,Waals Gewest,4de kwartaal 2016,Totaal,,0.583,0.101,0.649
België,,1ste kwartaal 2016,Totaal,Mannen,0.654,0.089,0.718
België,,1ste kwartaal 2016,Totaal,Vrouwen,0.577,0.078,0.625
België,,1ste kwartaal 2016,Totaal,,0.616,0.084,0.672
België,,2de kwartaal 2016,Totaal,Mannen,0.666,0.079,0.724
België,,2de kwartaal 2016,Totaal,Vrouwen,0.573,0.08,0.623
België,,2de kwartaal 2016,Totaal,,0.62,0.08,0.674
België,,3de kwartaal 2016,Totaal,Mannen,0.665,0.08,0.723
België,,3de kwartaal 2016,Totaal,Vrouwen,0.578,0.079,0.627
België,,3de kwartaal 2016,Totaal,,0.622,0.08,0.675
België,,4de kwartaal 2016,Totaal,Mannen,0.672,0.078,0.729
België,,4de kwartaal 2016,Totaal,Vrouwen,0.596,0.067,0.639
België,,4de kwartaal 2016,Totaal,,0.634,0.073,0.684
