Jaar,Alle werknemersklassen,NIS werknemersklasse,Alle plaatsen,Gewest,Aantal btw-plichtige
2021,Alle werknemersklassen,Geen werknemer,Alle plaatsen,Vlaams Gewest,565796.0
2021,Alle werknemersklassen,Geen werknemer,Alle plaatsen,Brussels Hoofdstedelijk Gewest,92984.0
2021,Alle werknemersklassen,Geen werknemer,Alle plaatsen,Waals Gewest,224503.0
2021,Alle werknemersklassen,Geen werknemer,Alle plaatsen,Buitenland,18824.0
2021,Alle werknemersklassen,Geen werknemer,Alle plaatsen,Onbekend,37.0
2021,Alle werknemersklassen,Geen werknemer,Alle plaatsen,,902144.0
2021,Alle werknemersklassen,1-4 werknemers,Alle plaatsen,Vlaams Gewest,72472.0
2021,Alle werknemersklassen,1-4 werknemers,Alle plaatsen,Brussels Hoofdstedelijk Gewest,14575.0
2021,Alle werknemersklassen,1-4 werknemers,Alle plaatsen,Waals Gewest,37555.0
2021,Alle werknemersklassen,1-4 werknemers,Alle plaatsen,Buitenland,890.0
2021,Alle werknemersklassen,1-4 werknemers,Alle plaatsen,Onbekend,
2021,Alle werknemersklassen,1-4 werknemers,Alle plaatsen,,125492.0
2021,Alle werknemersklassen,5-9 werknemers,Alle plaatsen,Vlaams Gewest,18407.0
2021,Alle werknemersklassen,5-9 werknemers,Alle plaatsen,Brussels Hoofdstedelijk Gewest,3461.0
2021,Alle werknemersklassen,5-9 werknemers,Alle plaatsen,Waals Gewest,8656.0
2021,Alle werknemersklassen,5-9 werknemers,Alle plaatsen,Buitenland,315.0
2021,Alle werknemersklassen,5-9 werknemers,Alle plaatsen,Onbekend,
2021,Alle werknemersklassen,5-9 werknemers,Alle plaatsen,,30839.0
2021,Alle werknemersklassen,10-19 werknemers,Alle plaatsen,Vlaams Gewest,10919.0
2021,Alle werknemersklassen,10-19 werknemers,Alle plaatsen,Brussels Hoofdstedelijk Gewest,2020.0
2021,Alle werknemersklassen,10-19 werknemers,Alle plaatsen,Waals Gewest,4415.0
2021,Alle werknemersklassen,10-19 werknemers,Alle plaatsen,Buitenland,201.0
2021,Alle werknemersklassen,10-19 werknemers,Alle plaatsen,Onbekend,
2021,Alle werknemersklassen,10-19 werknemers,Alle plaatsen,,17555.0
2021,Alle werknemersklassen,20-49 werknemers,Alle plaatsen,Vlaams Gewest,7026.0
2021,Alle werknemersklassen,20-49 werknemers,Alle plaatsen,Brussels Hoofdstedelijk Gewest,1324.0
2021,Alle werknemersklassen,20-49 werknemers,Alle plaatsen,Waals Gewest,2702.0
2021,Alle werknemersklassen,20-49 werknemers,Alle plaatsen,Buitenland,145.0
2021,Alle werknemersklassen,20-49 werknemers,Alle plaatsen,Onbekend,
2021,Alle werknemersklassen,20-49 werknemers,Alle plaatsen,,11197.0
2021,Alle werknemersklassen,50-99 werknemers,Alle plaatsen,Vlaams Gewest,2096.0
2021,Alle werknemersklassen,50-99 werknemers,Alle plaatsen,Brussels Hoofdstedelijk Gewest,486.0
2021,Alle werknemersklassen,50-99 werknemers,Alle plaatsen,Waals Gewest,792.0
2021,Alle werknemersklassen,50-99 werknemers,Alle plaatsen,Buitenland,65.0
2021,Alle werknemersklassen,50-99 werknemers,Alle plaatsen,Onbekend,
2021,Alle werknemersklassen,50-99 werknemers,Alle plaatsen,,3439.0
2021,Alle werknemersklassen,100-199 werknemers,Alle plaatsen,Vlaams Gewest,1187.0
2021,Alle werknemersklassen,100-199 werknemers,Alle plaatsen,Brussels Hoofdstedelijk Gewest,264.0
2021,Alle werknemersklassen,100-199 werknemers,Alle plaatsen,Waals Gewest,415.0
2021,Alle werknemersklassen,100-199 werknemers,Alle plaatsen,Buitenland,28.0
2021,Alle werknemersklassen,100-199 werknemers,Alle plaatsen,Onbekend,
2021,Alle werknemersklassen,100-199 werknemers,Alle plaatsen,,1894.0
2021,Alle werknemersklassen,200-249 werknemers,Alle plaatsen,Vlaams Gewest,245.0
2021,Alle werknemersklassen,200-249 werknemers,Alle plaatsen,Brussels Hoofdstedelijk Gewest,62.0
2021,Alle werknemersklassen,200-249 werknemers,Alle plaatsen,Waals Gewest,78.0
2021,Alle werknemersklassen,200-249 werknemers,Alle plaatsen,Buitenland,10.0
2021,Alle werknemersklassen,200-249 werknemers,Alle plaatsen,Onbekend,
2021,Alle werknemersklassen,200-249 werknemers,Alle plaatsen,,395.0
2021,Alle werknemersklassen,250-499 werknemers,Alle plaatsen,Vlaams Gewest,524.0
2021,Alle werknemersklassen,250-499 werknemers,Alle plaatsen,Brussels Hoofdstedelijk Gewest,151.0
2021,Alle werknemersklassen,250-499 werknemers,Alle plaatsen,Waals Gewest,176.0
2021,Alle werknemersklassen,250-499 werknemers,Alle plaatsen,Buitenland,6.0
2021,Alle werknemersklassen,250-499 werknemers,Alle plaatsen,Onbekend,
2021,Alle werknemersklassen,250-499 werknemers,Alle plaatsen,,857.0
