Alle economische activiteiten,Volgens 17 activiteitengroepen,Jaar,België,Gewest,Aantal actief,Aantal nieuw,Aantal vervallen
Alle economische activiteiten,"A Landbouw, jacht en bosbouw",2007,België,Vlaams Gewest,42897,2451,2969
Alle economische activiteiten,"A Landbouw, jacht en bosbouw",2007,België,Brussels Hoofdstedelijk Gewest,977,312,95
Alle economische activiteiten,"A Landbouw, jacht en bosbouw",2007,België,Waals Gewest,23624,1378,1666
Alle economische activiteiten,"A Landbouw, jacht en bosbouw",2007,België,,67498,4141,4730
Alle economische activiteiten,B Visserij,2007,België,Vlaams Gewest,190,7,8
Alle economische activiteiten,B Visserij,2007,België,Brussels Hoofdstedelijk Gewest,4,1,0
Alle economische activiteiten,B Visserij,2007,België,Waals Gewest,97,2,6
Alle economische activiteiten,B Visserij,2007,België,,291,10,14
Alle economische activiteiten,C Winning van delfstoffen,2007,België,Vlaams Gewest,120,8,7
Alle economische activiteiten,C Winning van delfstoffen,2007,België,Brussels Hoofdstedelijk Gewest,14,2,1
Alle economische activiteiten,C Winning van delfstoffen,2007,België,Waals Gewest,176,5,7
Alle economische activiteiten,C Winning van delfstoffen,2007,België,,310,15,15
Alle economische activiteiten,D Industrie,2007,België,Vlaams Gewest,31584,2363,1746
Alle economische activiteiten,D Industrie,2007,België,Brussels Hoofdstedelijk Gewest,4499,428,350
Alle economische activiteiten,D Industrie,2007,België,Waals Gewest,14422,1081,890
Alle economische activiteiten,D Industrie,2007,België,,50505,3872,2986
Alle economische activiteiten,"E Productie en distributie van elektriciteit, gas en water",2007,België,Vlaams Gewest,169,35,8
Alle economische activiteiten,"E Productie en distributie van elektriciteit, gas en water",2007,België,Brussels Hoofdstedelijk Gewest,60,3,0
Alle economische activiteiten,"E Productie en distributie van elektriciteit, gas en water",2007,België,Waals Gewest,120,16,10
Alle economische activiteiten,"E Productie en distributie van elektriciteit, gas en water",2007,België,,349,54,18
Alle economische activiteiten,F Bouwnijverheid,2007,België,Vlaams Gewest,56752,5717,4055
Alle economische activiteiten,F Bouwnijverheid,2007,België,Brussels Hoofdstedelijk Gewest,7647,1571,614
Alle economische activiteiten,F Bouwnijverheid,2007,België,Waals Gewest,27183,2747,2423
Alle economische activiteiten,F Bouwnijverheid,2007,België,,91582,10035,7092
Alle economische activiteiten,"G Groot- en detailhandel: reparatie van auto's, motorrijwielen en consumentenartikelen",2007,België,Vlaams Gewest,109224,7597,7525
Alle economische activiteiten,"G Groot- en detailhandel: reparatie van auto's, motorrijwielen en consumentenartikelen",2007,België,Brussels Hoofdstedelijk Gewest,19351,1864,1728
Alle economische activiteiten,"G Groot- en detailhandel: reparatie van auto's, motorrijwielen en consumentenartikelen",2007,België,Waals Gewest,52202,4937,4554
Alle economische activiteiten,"G Groot- en detailhandel: reparatie van auto's, motorrijwielen en consumentenartikelen",2007,België,,180777,14398,13807
Alle economische activiteiten,H Hotels en restaurants,2007,België,Vlaams Gewest,34014,3458,3326
Alle economische activiteiten,H Hotels en restaurants,2007,België,Brussels Hoofdstedelijk Gewest,6247,725,653
Alle economische activiteiten,H Hotels en restaurants,2007,België,Waals Gewest,16287,1900,1853
Alle economische activiteiten,H Hotels en restaurants,2007,België,,56548,6083,5832
Alle economische activiteiten,"I Vervoer, opslag en communicatie",2007,België,Vlaams Gewest,17008,2135,1407
