Totaal,Niveau 1,Trimester,Maand,HICP-Indexcijfer
Totaal,1. Voedingsmiddelen en dranken,1ste kwartaal 2022,Januari 2022,109.653
Totaal,1. Voedingsmiddelen en dranken,1ste kwartaal 2022,Februari 2022,111.116
Totaal,1. Voedingsmiddelen en dranken,1ste kwartaal 2022,Maart 2022,112.862
Totaal,1. Voedingsmiddelen en dranken,2de kwartaal 2022,April 2022,113.964
Totaal,1. Voedingsmiddelen en dranken,2de kwartaal 2022,Mei 2022,115.483
Totaal,1. Voedingsmiddelen en dranken,2de kwartaal 2022,Juni 2022,117.529
Totaal,1. Voedingsmiddelen en dranken,3de kwartaal 2022,Juli 2022,118.985
Totaal,1. Voedingsmiddelen en dranken,3de kwartaal 2022,Augustus 2022,119.352
Totaal,1. Voedingsmiddelen en dranken,3de kwartaal 2022,September 2022,120.046
Totaal,1. Voedingsmiddelen en dranken,4de kwartaal 2022,Oktober 2022,122.239
Totaal,1. Voedingsmiddelen en dranken,4de kwartaal 2022,November 2022,124.533
Totaal,1. Voedingsmiddelen en dranken,4de kwartaal 2022,December 2022,125.689
Totaal,Tabak en alcoholhoudende dranken,1ste kwartaal 2022,Januari 2022,132.983
Totaal,Tabak en alcoholhoudende dranken,1ste kwartaal 2022,Februari 2022,132.41
Totaal,Tabak en alcoholhoudende dranken,1ste kwartaal 2022,Maart 2022,132.669
Totaal,Tabak en alcoholhoudende dranken,2de kwartaal 2022,April 2022,134.052
Totaal,Tabak en alcoholhoudende dranken,2de kwartaal 2022,Mei 2022,135.714
Totaal,Tabak en alcoholhoudende dranken,2de kwartaal 2022,Juni 2022,137.402
Totaal,Tabak en alcoholhoudende dranken,3de kwartaal 2022,Juli 2022,138.81
Totaal,Tabak en alcoholhoudende dranken,3de kwartaal 2022,Augustus 2022,140.059
Totaal,Tabak en alcoholhoudende dranken,3de kwartaal 2022,September 2022,139.706
Totaal,Tabak en alcoholhoudende dranken,4de kwartaal 2022,Oktober 2022,140.73
Totaal,Tabak en alcoholhoudende dranken,4de kwartaal 2022,November 2022,141.492
Totaal,Tabak en alcoholhoudende dranken,4de kwartaal 2022,December 2022,141.177
Totaal,3. Kleding en schoeisel,1ste kwartaal 2022,Januari 2022,86.771
Totaal,3. Kleding en schoeisel,1ste kwartaal 2022,Februari 2022,107.616
Totaal,3. Kleding en schoeisel,1ste kwartaal 2022,Maart 2022,107.835
Totaal,3. Kleding en schoeisel,2de kwartaal 2022,April 2022,106.511
Totaal,3. Kleding en schoeisel,2de kwartaal 2022,Mei 2022,105.997
Totaal,3. Kleding en schoeisel,2de kwartaal 2022,Juni 2022,105.157
Totaal,3. Kleding en schoeisel,3de kwartaal 2022,Juli 2022,85.049
Totaal,3. Kleding en schoeisel,3de kwartaal 2022,Augustus 2022,106.565
Totaal,3. Kleding en schoeisel,3de kwartaal 2022,September 2022,110.026
Totaal,3. Kleding en schoeisel,4de kwartaal 2022,Oktober 2022,111.553
Totaal,3. Kleding en schoeisel,4de kwartaal 2022,November 2022,113.676
Totaal,3. Kleding en schoeisel,4de kwartaal 2022,December 2022,114.646
Totaal,"4. Huisvesting, water, elektriciteit, gas en andere brandstoffen",1ste kwartaal 2022,Januari 2022,147.141
Totaal,"4. Huisvesting, water, elektriciteit, gas en andere brandstoffen",1ste kwartaal 2022,Februari 2022,148.774
Totaal,"4. Huisvesting, water, elektriciteit, gas en andere brandstoffen",1ste kwartaal 2022,Maart 2022,148.957
Totaal,"4. Huisvesting, water, elektriciteit, gas en andere brandstoffen",2de kwartaal 2022,April 2022,148.156
Totaal,"4. Huisvesting, water, elektriciteit, gas en andere brandstoffen",2de kwartaal 2022,Mei 2022,150.529
Totaal,"4. Huisvesting, water, elektriciteit, gas en andere brandstoffen",2de kwartaal 2022,Juni 2022,151.613
Totaal,"4. Huisvesting, water, elektriciteit, gas en andere brandstoffen",3de kwartaal 2022,Juli 2022,151.177
Totaal,"4. Huisvesting, water, elektriciteit, gas en andere brandstoffen",3de kwartaal 2022,Augustus 2022,155.371
Totaal,"4. Huisvesting, water, elektriciteit, gas en andere brandstoffen",3de kwartaal 2022,September 2022,165.947
Totaal,"4. Huisvesting, water, elektriciteit, gas en andere brandstoffen",4de kwartaal 2022,Oktober 2022,180.988
Totaal,"4. Huisvesting, water, elektriciteit, gas en andere brandstoffen",4de kwartaal 2022,November 2022,168.276
Totaal,"4. Huisvesting, water, elektriciteit, gas en andere brandstoffen",4de kwartaal 2022,December 2022,163.374
Totaal,"5. Stoffering, huishoudelijke apparaten en dagelijks onderhoud van de woning",1ste kwartaal 2022,Januari 2022,105.604
Totaal,"5. Stoffering, huishoudelijke apparaten en dagelijks onderhoud van de woning",1ste kwartaal 2022,Februari 2022,107.376
Totaal,"5. Stoffering, huishoudelijke apparaten en dagelijks onderhoud van de woning",1ste kwartaal 2022,Maart 2022,107.833
Totaal,"5. Stoffering, huishoudelijke apparaten en dagelijks onderhoud van de woning",2de kwartaal 2022,April 2022,108.797
Totaal,"5. Stoffering, huishoudelijke apparaten en dagelijks onderhoud van de woning",2de kwartaal 2022,Mei 2022,109.115
Totaal,"5. Stoffering, huishoudelijke apparaten en dagelijks onderhoud van de woning",2de kwartaal 2022,Juni 2022,110.039
Totaal,"5. Stoffering, huishoudelijke apparaten en dagelijks onderhoud van de woning",3de kwartaal 2022,Juli 2022,108.961
Totaal,"5. Stoffering, huishoudelijke apparaten en dagelijks onderhoud van de woning",3de kwartaal 2022,Augustus 2022,110.981
