België,Gewest,Provincie,Arrondissement,Bevolking in geregistreerd partnerschap
België,Vlaams Gewest,Provincie Antwerpen,,0.032
België,Vlaams Gewest,Provincie Vlaams-Brabant,,0.03
België,Vlaams Gewest,Provincie West-Vlaanderen,,0.03
België,Vlaams Gewest,Provincie Oost-Vlaanderen,,0.032
België,Vlaams Gewest,Provincie Limburg,,0.026
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,0.023
België,Waals Gewest,Provincie Waals-Brabant,,0.037
België,Waals Gewest,Provincie Henegouwen,,0.031
België,Waals Gewest,Provincie Luik,,0.033
België,Waals Gewest,Provincie Luxemburg,,0.041
België,Waals Gewest,Provincie Namen,,0.042
België,,,,0.031
