Niveau 1,Jaar,Trimester,Bruto index
G45 Groot- en detailhandel in en reparatie van auto’s en motorfietsen,2018,,122.32
G45 Groot- en detailhandel in en reparatie van auto’s en motorfietsen,2019,,129.137
G45 Groot- en detailhandel in en reparatie van auto’s en motorfietsen,2020,,112.847
G45 Groot- en detailhandel in en reparatie van auto’s en motorfietsen,2021,1ste kwartaal 2021,128.805
G45 Groot- en detailhandel in en reparatie van auto’s en motorfietsen,2021,2de kwartaal 2021,125.561
G45 Groot- en detailhandel in en reparatie van auto’s en motorfietsen,2021,3de kwartaal 2021,106.821
G45 Groot- en detailhandel in en reparatie van auto’s en motorfietsen,2021,4de kwartaal 2021,135.65
G45 Groot- en detailhandel in en reparatie van auto’s en motorfietsen,2022,1ste kwartaal 2022,134.859
G45 Groot- en detailhandel in en reparatie van auto’s en motorfietsen,2022,2de kwartaal 2022,132.688
G45 Groot- en detailhandel in en reparatie van auto’s en motorfietsen,2022,3de kwartaal 2022,132.014
"G46 Groothandel, met uitzondering van de handel in auto’s en motorfietsen",2018,,107.022
"G46 Groothandel, met uitzondering van de handel in auto’s en motorfietsen",2019,,106.047
"G46 Groothandel, met uitzondering van de handel in auto’s en motorfietsen",2020,,98.207
"G46 Groothandel, met uitzondering van de handel in auto’s en motorfietsen",2021,1ste kwartaal 2021,117.206
"G46 Groothandel, met uitzondering van de handel in auto’s en motorfietsen",2021,2de kwartaal 2021,128.821
"G46 Groothandel, met uitzondering van de handel in auto’s en motorfietsen",2021,3de kwartaal 2021,129.194
"G46 Groothandel, met uitzondering van de handel in auto’s en motorfietsen",2021,4de kwartaal 2021,149.433
"G46 Groothandel, met uitzondering van de handel in auto’s en motorfietsen",2022,1ste kwartaal 2022,154.615
"G46 Groothandel, met uitzondering van de handel in auto’s en motorfietsen",2022,2de kwartaal 2022,166.548
"G46 Groothandel, met uitzondering van de handel in auto’s en motorfietsen",2022,3de kwartaal 2022,154.002
H49 Vervoer te land en vervoer via pijpleidingen,2018,,115.65
H49 Vervoer te land en vervoer via pijpleidingen,2019,,99.983
H49 Vervoer te land en vervoer via pijpleidingen,2020,,89.188
H49 Vervoer te land en vervoer via pijpleidingen,2021,1ste kwartaal 2021,89.845
H49 Vervoer te land en vervoer via pijpleidingen,2021,2de kwartaal 2021,95.423
H49 Vervoer te land en vervoer via pijpleidingen,2021,3de kwartaal 2021,98.874
H49 Vervoer te land en vervoer via pijpleidingen,2021,4de kwartaal 2021,109.352
H49 Vervoer te land en vervoer via pijpleidingen,2022,1ste kwartaal 2022,109.909
H49 Vervoer te land en vervoer via pijpleidingen,2022,2de kwartaal 2022,121.161
H49 Vervoer te land en vervoer via pijpleidingen,2022,3de kwartaal 2022,122.362
H50 Vervoer over water,2018,,146.206
H50 Vervoer over water,2019,,216.75
H50 Vervoer over water,2020,,199.66
H50 Vervoer over water,2021,1ste kwartaal 2021,158.743
H50 Vervoer over water,2021,2de kwartaal 2021,183.107
H50 Vervoer over water,2021,3de kwartaal 2021,196.808
H50 Vervoer over water,2021,4de kwartaal 2021,203.205
H50 Vervoer over water,2022,1ste kwartaal 2022,197.047
H50 Vervoer over water,2022,2de kwartaal 2022,238.337
H50 Vervoer over water,2022,3de kwartaal 2022,239.007
H51 Luchtvaart,2018,,117.973
H51 Luchtvaart,2019,,130.125
H51 Luchtvaart,2020,,70.961
H51 Luchtvaart,2021,1ste kwartaal 2021,71.453
H51 Luchtvaart,2021,2de kwartaal 2021,101.474
H51 Luchtvaart,2021,3de kwartaal 2021,126.085
H51 Luchtvaart,2021,4de kwartaal 2021,142.697
H51 Luchtvaart,2022,1ste kwartaal 2022,148.533
H51 Luchtvaart,2022,2de kwartaal 2022,184.683
H51 Luchtvaart,2022,3de kwartaal 2022,198.185
H52 Opslag en vervoerondersteunende activiteiten,2018,,102.463
H52 Opslag en vervoerondersteunende activiteiten,2019,,108.077
H52 Opslag en vervoerondersteunende activiteiten,2020,,95.566
H52 Opslag en vervoerondersteunende activiteiten,2021,1ste kwartaal 2021,100.873
H52 Opslag en vervoerondersteunende activiteiten,2021,2de kwartaal 2021,112.902
H52 Opslag en vervoerondersteunende activiteiten,2021,3de kwartaal 2021,115.922
H52 Opslag en vervoerondersteunende activiteiten,2021,4de kwartaal 2021,135.128
H52 Opslag en vervoerondersteunende activiteiten,2022,1ste kwartaal 2022,131.189
H52 Opslag en vervoerondersteunende activiteiten,2022,2de kwartaal 2022,142.771
H52 Opslag en vervoerondersteunende activiteiten,2022,3de kwartaal 2022,144.513
H53 Posterijen en koeriers,2018,,114.346
H53 Posterijen en koeriers,2019,,121.567
H53 Posterijen en koeriers,2020,,144.287
H53 Posterijen en koeriers,2021,1ste kwartaal 2021,165.797
H53 Posterijen en koeriers,2021,2de kwartaal 2021,149.899
H53 Posterijen en koeriers,2021,3de kwartaal 2021,143.137
H53 Posterijen en koeriers,2021,4de kwartaal 2021,173.024
H53 Posterijen en koeriers,2022,1ste kwartaal 2022,178.297
H53 Posterijen en koeriers,2022,2de kwartaal 2022,156.774
H53 Posterijen en koeriers,2022,3de kwartaal 2022,145.137
I Verschaffen van accommodatie en maaltijden,2018,,116.659
I Verschaffen van accommodatie en maaltijden,2019,,122.165
I Verschaffen van accommodatie en maaltijden,2020,,78.727
I Verschaffen van accommodatie en maaltijden,2021,1ste kwartaal 2021,49.308
I Verschaffen van accommodatie en maaltijden,2021,2de kwartaal 2021,86.888
I Verschaffen van accommodatie en maaltijden,2021,3de kwartaal 2021,140.556
I Verschaffen van accommodatie en maaltijden,2021,4de kwartaal 2021,127.523
I Verschaffen van accommodatie en maaltijden,2022,1ste kwartaal 2022,116.469
I Verschaffen van accommodatie en maaltijden,2022,2de kwartaal 2022,152.697
