België,Gewest,Jaar,Aantal faillissementen
België,Vlaams Gewest,2011,4908
België,Vlaams Gewest,2012,5356
België,Vlaams Gewest,2013,5742
België,Vlaams Gewest,2014,5285
België,Vlaams Gewest,2015,4769
België,Vlaams Gewest,2016,4760
België,Vlaams Gewest,2017,4688
België,Vlaams Gewest,2018,4415
België,Vlaams Gewest,2019,4920
België,Vlaams Gewest,2020,3744
België,Vlaams Gewest,2021,3427
België,Vlaams Gewest,2022,5287
België,Brussels Hoofdstedelijk Gewest,2011,2348
België,Brussels Hoofdstedelijk Gewest,2012,2263
België,Brussels Hoofdstedelijk Gewest,2013,2652
België,Brussels Hoofdstedelijk Gewest,2014,2203
België,Brussels Hoofdstedelijk Gewest,2015,2142
België,Brussels Hoofdstedelijk Gewest,2016,1954
België,Brussels Hoofdstedelijk Gewest,2017,2639
België,Brussels Hoofdstedelijk Gewest,2018,3033
België,Brussels Hoofdstedelijk Gewest,2019,2978
België,Brussels Hoofdstedelijk Gewest,2020,1502
België,Brussels Hoofdstedelijk Gewest,2021,1332
België,Brussels Hoofdstedelijk Gewest,2022,1776
België,Waals Gewest,2011,2968
België,Waals Gewest,2012,2968
België,Waals Gewest,2013,3346
België,Waals Gewest,2014,3248
België,Waals Gewest,2015,2851
België,Waals Gewest,2016,2456
België,Waals Gewest,2017,2641
België,Waals Gewest,2018,2430
België,Waals Gewest,2019,2700
België,Waals Gewest,2020,1957
België,Waals Gewest,2021,1774
België,Waals Gewest,2022,2202
België,,2011,10224
België,,2012,10587
België,,2013,11740
België,,2014,10736
België,,2015,9762
België,,2016,9170
België,,2017,9968
België,,2018,9878
België,,2019,10598
België,,2020,7203
België,,2021,6533
België,,2022,9265
