Jaar,Gewest,Gemiddeld bruto maandloon
1999,Vlaams Gewest,2193
1999,Waals Gewest,2126
1999,Brussels Hoofdstedelijk Gewest,2510
2000,Vlaams Gewest,2259
2000,Waals Gewest,2188
2000,Brussels Hoofdstedelijk Gewest,2533
2001,Vlaams Gewest,2358
2001,Waals Gewest,2274
2001,Brussels Hoofdstedelijk Gewest,2703
2002,Vlaams Gewest,2398
2002,Waals Gewest,2318
2002,Brussels Hoofdstedelijk Gewest,2754
2003,Vlaams Gewest,2494
2003,Waals Gewest,2377
2003,Brussels Hoofdstedelijk Gewest,2839
2004,Vlaams Gewest,2603
2004,Waals Gewest,2480
2004,Brussels Hoofdstedelijk Gewest,3080
2005,Vlaams Gewest,2629
2005,Waals Gewest,2553
2005,Brussels Hoofdstedelijk Gewest,3135
2006,Vlaams Gewest,2715
2006,Waals Gewest,2574
2006,Brussels Hoofdstedelijk Gewest,3201
2007,Vlaams Gewest,2796
2007,Waals Gewest,2624
2007,Brussels Hoofdstedelijk Gewest,3263
2008,Vlaams Gewest,2879
2008,Waals Gewest,2738
2008,Brussels Hoofdstedelijk Gewest,3381
2009,Vlaams Gewest,2977
2009,Waals Gewest,2802
2009,Brussels Hoofdstedelijk Gewest,3493
2010,Vlaams Gewest,3054
2010,Waals Gewest,2906
2010,Brussels Hoofdstedelijk Gewest,3571
2011,Vlaams Gewest,3129
2011,Waals Gewest,2989
2011,Brussels Hoofdstedelijk Gewest,3694
2012,Vlaams Gewest,3196
2012,Waals Gewest,3058
2012,Brussels Hoofdstedelijk Gewest,3780
2013,Vlaams Gewest,3243
2013,Waals Gewest,3103
2013,Brussels Hoofdstedelijk Gewest,3813
2014,Vlaams Gewest,3367
2014,Waals Gewest,3177
2014,Brussels Hoofdstedelijk Gewest,3908
2015,Vlaams Gewest,3414
2015,Waals Gewest,3188
2015,Brussels Hoofdstedelijk Gewest,3972
2016,Vlaams Gewest,3432
2016,Waals Gewest,3250
2016,Brussels Hoofdstedelijk Gewest,4092
2017,Vlaams Gewest,3499
2017,Waals Gewest,3308
2017,Brussels Hoofdstedelijk Gewest,4174
2018,Vlaams Gewest,3589
2018,Waals Gewest,3383
2018,Brussels Hoofdstedelijk Gewest,4156
2019,Vlaams Gewest,3714
2019,Waals Gewest,3482
2019,Brussels Hoofdstedelijk Gewest,4381
2020,Vlaams Gewest,3768
2020,Waals Gewest,3557
2020,Brussels Hoofdstedelijk Gewest,4539
