Gewest,Provincie,Arrondissement,Jaar,Rubrieken niveau 1,Totale oppervlakte
Vlaams Gewest,Provincie Antwerpen,,2022,totaal onbebouwde percelen  (1TOT),195526.024
Vlaams Gewest,Provincie Antwerpen,,2022,totaal bebouwde percelen  (2TOT),66299.35
Vlaams Gewest,Provincie Antwerpen,,2022,niet genormaliseerde percelen  (3TOT),
Vlaams Gewest,Provincie Antwerpen,,2022,gekadastreerde oppervlakte  (4TOT),261825.375
Vlaams Gewest,Provincie Antwerpen,,2022,niet gekadastreerde oppervlakte  (5TOT),25786.215
Vlaams Gewest,Provincie Antwerpen,,2022,totale oppervlakte  (6TOT),287611.59
Vlaams Gewest,Provincie Vlaams-Brabant,,2022,totaal onbebouwde percelen  (1TOT),153681.528
Vlaams Gewest,Provincie Vlaams-Brabant,,2022,totaal bebouwde percelen  (2TOT),43747.824
Vlaams Gewest,Provincie Vlaams-Brabant,,2022,niet genormaliseerde percelen  (3TOT),
Vlaams Gewest,Provincie Vlaams-Brabant,,2022,gekadastreerde oppervlakte  (4TOT),197429.351
Vlaams Gewest,Provincie Vlaams-Brabant,,2022,niet gekadastreerde oppervlakte  (5TOT),14406.096
Vlaams Gewest,Provincie Vlaams-Brabant,,2022,totale oppervlakte  (6TOT),211835.447
Vlaams Gewest,Provincie West-Vlaanderen,,2022,totaal onbebouwde percelen  (1TOT),237969.623
Vlaams Gewest,Provincie West-Vlaanderen,,2022,totaal bebouwde percelen  (2TOT),56648.341
Vlaams Gewest,Provincie West-Vlaanderen,,2022,niet genormaliseerde percelen  (3TOT),
Vlaams Gewest,Provincie West-Vlaanderen,,2022,gekadastreerde oppervlakte  (4TOT),294617.965
Vlaams Gewest,Provincie West-Vlaanderen,,2022,niet gekadastreerde oppervlakte  (5TOT),25040.668
Vlaams Gewest,Provincie West-Vlaanderen,,2022,totale oppervlakte  (6TOT),319658.632
Vlaams Gewest,Provincie Oost-Vlaanderen,,2022,totaal onbebouwde percelen  (1TOT),215861.543
Vlaams Gewest,Provincie Oost-Vlaanderen,,2022,totaal bebouwde percelen  (2TOT),60365.97
Vlaams Gewest,Provincie Oost-Vlaanderen,,2022,niet genormaliseerde percelen  (3TOT),
Vlaams Gewest,Provincie Oost-Vlaanderen,,2022,gekadastreerde oppervlakte  (4TOT),276227.512
