Sectie,Referentiejaar,Omzet,Aankopen goederen en diensten,Invest. in materiële goederen,Omzet per werkzame persoon,Arbeidsproductiviteit,Gemiddelde personeelskosten
B Winning van delfstoffen,2020,740877.0,495738.0,68958.0,303.0,94.0,65.0
C Industrie,2020,245417007.0,189109249.0,10371744.0,480.0,120.0,66.0
"D Productie en distributie van elektriciteit, gas, stoom en gekoelde lucht",2020,28456918.0,22018141.0,2754222.0,1323.0,309.0,104.0
E Distributie van water/ afval- en afvalwaterbeheer en sanering,2020,9391106.0,6275974.0,1659204.0,374.0,139.0,66.0
F Bouwnijverheid,2020,75404566.0,55916268.0,5603839.0,217.0,57.0,51.0
G Groot- en detailhandel/ reparatie van auto’s en motorfietsen,2020,472683570.0,419183658.0,7538945.0,731.0,82.0,50.0
H Vervoer en opslag,2020,45853930.0,31852598.0,4023616.0,210.0,73.0,54.0
I Verschaffen van accommodatie en maaltijden,2020,11500047.0,7979750.0,1159648.0,71.0,22.0,18.0
J Informatie en communicatie,2020,37359635.0,20730547.0,2752661.0,250.0,119.0,79.0
L Exploitatie van en handel in onroerend goed,2020,14082317.0,7173930.0,7855421.0,173.0,86.0,44.0
M Vrije beroepen en wetenschappelijke en technische activiteiten,2020,61658018.0,38441026.0,5278517.0,177.0,71.0,64.0
N Administratieve en ondersteunende diensten,2020,36368074.0,16205076.0,7164212.0,84.0,47.0,35.0
S Overige diensten,2020,,,,,,
