Natuurlijke personen,Maand,Btw-plichtig ond. aan het einde van de maand
Natuurlijke persoon,November 2021,503700
Natuurlijke persoon,December 2021,499808
Natuurlijke persoon,Januari 2022,504338
Natuurlijke persoon,Februari 2022,506641
Natuurlijke persoon,Maart 2022,505244
Natuurlijke persoon,April 2022,508129
Natuurlijke persoon,Mei 2022,509520
Natuurlijke persoon,Juni 2022,508110
Natuurlijke persoon,Juli 2022,510258
Natuurlijke persoon,Augustus 2022,511442
Natuurlijke persoon,September 2022,510874
Natuurlijke persoon,Oktober 2022,515209
Natuurlijke persoon,November 2022,516546
Rechtspersoon,November 2021,593084
Rechtspersoon,December 2021,594799
Rechtspersoon,Januari 2022,605709
Rechtspersoon,Februari 2022,609504
Rechtspersoon,Maart 2022,611509
Rechtspersoon,April 2022,614661
Rechtspersoon,Mei 2022,617074
Rechtspersoon,Juni 2022,618525
Rechtspersoon,Juli 2022,621312
Rechtspersoon,Augustus 2022,623197
Rechtspersoon,September 2022,624674
Rechtspersoon,Oktober 2022,627714
Rechtspersoon,November 2022,630127
