Totaal,Niveau 1,Jaar,Weging
Totaal,1. Voeding en niet-alcoholische dranken,2019,167.33
Totaal,1. Voeding en niet-alcoholische dranken,2020,175.501
Totaal,1. Voeding en niet-alcoholische dranken,2021,178.871
Totaal,1. Voeding en niet-alcoholische dranken,2022,173.378
Totaal,1. Voeding en niet-alcoholische dranken,2023,176.279
Totaal,2. Alcoholische dranken en tabak,2019,23.419
Totaal,2. Alcoholische dranken en tabak,2020,24.658
Totaal,2. Alcoholische dranken en tabak,2021,25.218
Totaal,2. Alcoholische dranken en tabak,2022,25.308
Totaal,2. Alcoholische dranken en tabak,2023,24.309
Totaal,3. Kleding en schoeisel,2019,52.554
Totaal,3. Kleding en schoeisel,2020,58.848
Totaal,3. Kleding en schoeisel,2021,58.389
Totaal,3. Kleding en schoeisel,2022,56.782
Totaal,3. Kleding en schoeisel,2023,54.12
Totaal,"4. Huisvesting, water, elektriciteit, gas en andere brandstoffen",2019,188.083
Totaal,"4. Huisvesting, water, elektriciteit, gas en andere brandstoffen",2020,175.677
Totaal,"4. Huisvesting, water, elektriciteit, gas en andere brandstoffen",2021,170.999
Totaal,"4. Huisvesting, water, elektriciteit, gas en andere brandstoffen",2022,180.024
Totaal,"4. Huisvesting, water, elektriciteit, gas en andere brandstoffen",2023,206.059
Totaal,"5. Meubelen, huishoudelijke apparaten en normaal onderhoud van de woning",2019,63.376
Totaal,"5. Meubelen, huishoudelijke apparaten en normaal onderhoud van de woning",2020,60.151
Totaal,"5. Meubelen, huishoudelijke apparaten en normaal onderhoud van de woning",2021,60.641
Totaal,"5. Meubelen, huishoudelijke apparaten en normaal onderhoud van de woning",2022,59.598
Totaal,"5. Meubelen, huishoudelijke apparaten en normaal onderhoud van de woning",2023,56.348
Totaal,6. Gezondheid,2019,41.132
Totaal,6. Gezondheid,2020,41.276
Totaal,6. Gezondheid,2021,40.445
Totaal,6. Gezondheid,2022,39.137
Totaal,6. Gezondheid,2023,35.581
Totaal,7. Vervoer,2019,168.34
Totaal,7. Vervoer,2020,158.105
Totaal,7. Vervoer,2021,156.776
Totaal,7. Vervoer,2022,161.071
Totaal,7. Vervoer,2023,160.107
Totaal,8. Communicatie,2019,41.672
Totaal,8. Communicatie,2020,40.549
Totaal,8. Communicatie,2021,40.099
Totaal,8. Communicatie,2022,38.748
Totaal,8. Communicatie,2023,34.333
Totaal,9. Recreatie en cultuur,2019,90.491
Totaal,9. Recreatie en cultuur,2020,89.635
Totaal,9. Recreatie en cultuur,2021,90.94
Totaal,9. Recreatie en cultuur,2022,90.392
Totaal,9. Recreatie en cultuur,2023,86.111
Totaal,10. Onderwijs,2019,6.602
Totaal,10. Onderwijs,2020,9.559
Totaal,10. Onderwijs,2021,9.576
Totaal,10. Onderwijs,2022,9.33
Totaal,10. Onderwijs,2023,8.449
Totaal,"11. Hotels, restaurants en cafés",2019,72.055
Totaal,"11. Hotels, restaurants en cafés",2020,78.763
Totaal,"11. Hotels, restaurants en cafés",2021,79.531
Totaal,"11. Hotels, restaurants en cafés",2022,78.858
Totaal,"11. Hotels, restaurants en cafés",2023,75.82
Totaal,12. Diverse goederen en diensten,2019,84.946
Totaal,12. Diverse goederen en diensten,2020,87.278
Totaal,12. Diverse goederen en diensten,2021,88.515
Totaal,12. Diverse goederen en diensten,2022,87.374
Totaal,12. Diverse goederen en diensten,2023,82.484
Totaal,,2019,1000.0
Totaal,,2020,1000.0
Totaal,,2021,1000.0
Totaal,,2022,1000.0
Totaal,,2023,1000.0
