Sectie,Jaar,Trimester,Investeringen
B Winning van delfstoffen,2019,1ste kwartaal 2019,12049
B Winning van delfstoffen,2019,2de kwartaal 2019,12893
B Winning van delfstoffen,2019,3de kwartaal 2019,20358
B Winning van delfstoffen,2019,4de kwartaal 2019,20904
B Winning van delfstoffen,2020,1ste kwartaal 2020,8566
B Winning van delfstoffen,2020,2de kwartaal 2020,12068
B Winning van delfstoffen,2020,3de kwartaal 2020,10984
B Winning van delfstoffen,2020,4de kwartaal 2020,18896
B Winning van delfstoffen,2021,1ste kwartaal 2021,37949
B Winning van delfstoffen,2021,2de kwartaal 2021,12029
B Winning van delfstoffen,2021,3de kwartaal 2021,10008
B Winning van delfstoffen,2021,4de kwartaal 2021,31511
B Winning van delfstoffen,2022,1ste kwartaal 2022,10500
B Winning van delfstoffen,2022,2de kwartaal 2022,10727
B Winning van delfstoffen,2022,3de kwartaal 2022,13122
C Industrie,2019,1ste kwartaal 2019,1592509
C Industrie,2019,2de kwartaal 2019,1827545
C Industrie,2019,3de kwartaal 2019,1784450
C Industrie,2019,4de kwartaal 2019,2458150
C Industrie,2020,1ste kwartaal 2020,1665167
C Industrie,2020,2de kwartaal 2020,1551999
C Industrie,2020,3de kwartaal 2020,1781427
C Industrie,2020,4de kwartaal 2020,2421514
C Industrie,2021,1ste kwartaal 2021,1747699
C Industrie,2021,2de kwartaal 2021,1933515
C Industrie,2021,3de kwartaal 2021,1837736
C Industrie,2021,4de kwartaal 2021,2574870
C Industrie,2022,1ste kwartaal 2022,1887933
C Industrie,2022,2de kwartaal 2022,2185145
C Industrie,2022,3de kwartaal 2022,2214227
"D Productie en distributie van elektriciteit, gas, stoom en gekoelde lucht",2019,1ste kwartaal 2019,707140
"D Productie en distributie van elektriciteit, gas, stoom en gekoelde lucht",2019,2de kwartaal 2019,828839
"D Productie en distributie van elektriciteit, gas, stoom en gekoelde lucht",2019,3de kwartaal 2019,810286
"D Productie en distributie van elektriciteit, gas, stoom en gekoelde lucht",2019,4de kwartaal 2019,894467
"D Productie en distributie van elektriciteit, gas, stoom en gekoelde lucht",2020,1ste kwartaal 2020,662682
"D Productie en distributie van elektriciteit, gas, stoom en gekoelde lucht",2020,2de kwartaal 2020,596101
"D Productie en distributie van elektriciteit, gas, stoom en gekoelde lucht",2020,3de kwartaal 2020,640327
"D Productie en distributie van elektriciteit, gas, stoom en gekoelde lucht",2020,4de kwartaal 2020,872322
"D Productie en distributie van elektriciteit, gas, stoom en gekoelde lucht",2021,1ste kwartaal 2021,650782
"D Productie en distributie van elektriciteit, gas, stoom en gekoelde lucht",2021,2de kwartaal 2021,815695
"D Productie en distributie van elektriciteit, gas, stoom en gekoelde lucht",2021,3de kwartaal 2021,678721
"D Productie en distributie van elektriciteit, gas, stoom en gekoelde lucht",2021,4de kwartaal 2021,888424
"D Productie en distributie van elektriciteit, gas, stoom en gekoelde lucht",2022,1ste kwartaal 2022,728246
"D Productie en distributie van elektriciteit, gas, stoom en gekoelde lucht",2022,2de kwartaal 2022,811619
"D Productie en distributie van elektriciteit, gas, stoom en gekoelde lucht",2022,3de kwartaal 2022,871087
E Distributie van water/ afval- en afvalwaterbeheer en sanering,2019,1ste kwartaal 2019,404866
E Distributie van water/ afval- en afvalwaterbeheer en sanering,2019,2de kwartaal 2019,323703
