Alle groepen/getuigen,Groep,Subgroep 1,Getuige,Basisjaar,Jaar,Maand,Index
Alle groepen/getuigen,Intermediaire consumptie,Zaai- en pootgoed,,2015,2020,oktober,95.849
Alle groepen/getuigen,Intermediaire consumptie,Zaai- en pootgoed,,2015,2020,november,95.849
Alle groepen/getuigen,Intermediaire consumptie,Zaai- en pootgoed,,2015,2020,december,95.849
Alle groepen/getuigen,Intermediaire consumptie,Zaai- en pootgoed,,2015,2021,januari,98.153
Alle groepen/getuigen,Intermediaire consumptie,Zaai- en pootgoed,,2015,2021,februari,98.153
Alle groepen/getuigen,Intermediaire consumptie,Zaai- en pootgoed,,2015,2021,maart,98.153
Alle groepen/getuigen,Intermediaire consumptie,Zaai- en pootgoed,,2015,2021,april,98.153
Alle groepen/getuigen,Intermediaire consumptie,Zaai- en pootgoed,,2015,2021,mei,98.153
Alle groepen/getuigen,Intermediaire consumptie,Zaai- en pootgoed,,2015,2021,juni,98.153
Alle groepen/getuigen,Intermediaire consumptie,Zaai- en pootgoed,,2015,2021,juli,98.153
Alle groepen/getuigen,Intermediaire consumptie,Zaai- en pootgoed,,2015,2021,augustus,98.153
Alle groepen/getuigen,Intermediaire consumptie,Fok- en gebruiksvee,,2015,2020,oktober,70.334
Alle groepen/getuigen,Intermediaire consumptie,Fok- en gebruiksvee,,2015,2020,november,65.912
Alle groepen/getuigen,Intermediaire consumptie,Fok- en gebruiksvee,,2015,2020,december,62.139
Alle groepen/getuigen,Intermediaire consumptie,Fok- en gebruiksvee,,2015,2021,januari,62.368
Alle groepen/getuigen,Intermediaire consumptie,Fok- en gebruiksvee,,2015,2021,februari,66.01
Alle groepen/getuigen,Intermediaire consumptie,Fok- en gebruiksvee,,2015,2021,maart,80.341
Alle groepen/getuigen,Intermediaire consumptie,Fok- en gebruiksvee,,2015,2021,april,79.605
Alle groepen/getuigen,Intermediaire consumptie,Fok- en gebruiksvee,,2015,2021,mei,81.374
Alle groepen/getuigen,Intermediaire consumptie,Fok- en gebruiksvee,,2015,2021,juni,82.718
Alle groepen/getuigen,Intermediaire consumptie,Fok- en gebruiksvee,,2015,2021,juli,81.277
Alle groepen/getuigen,Intermediaire consumptie,Fok- en gebruiksvee,,2015,2021,augustus,77.115
Alle groepen/getuigen,Intermediaire consumptie,Energie,,2015,2020,oktober,112.034
Alle groepen/getuigen,Intermediaire consumptie,Energie,,2015,2020,november,114.076
Alle groepen/getuigen,Intermediaire consumptie,Energie,,2015,2020,december,114.97
Alle groepen/getuigen,Intermediaire consumptie,Energie,,2015,2021,januari,120.809
Alle groepen/getuigen,Intermediaire consumptie,Energie,,2015,2021,februari,129.097
Alle groepen/getuigen,Intermediaire consumptie,Energie,,2015,2021,maart,134.918
Alle groepen/getuigen,Intermediaire consumptie,Energie,,2015,2021,april,133.048
Alle groepen/getuigen,Intermediaire consumptie,Energie,,2015,2021,mei,134.425
Alle groepen/getuigen,Intermediaire consumptie,Energie,,2015,2021,juni,139.289
Alle groepen/getuigen,Intermediaire consumptie,Energie,,2015,2021,juli,145.694
Alle groepen/getuigen,Intermediaire consumptie,Energie,,2015,2021,augustus,145.166
Alle groepen/getuigen,Intermediaire consumptie,Bestrijdingsmiddelen,,2015,2020,oktober,103.796
Alle groepen/getuigen,Intermediaire consumptie,Bestrijdingsmiddelen,,2015,2020,november,103.796
Alle groepen/getuigen,Intermediaire consumptie,Bestrijdingsmiddelen,,2015,2020,december,103.796
