Mannen en vrouwen,Geslacht,Alle burgerlijke staten,Burgerlijke staat,Bevolking op 01 januari 2012,Bevolking op 01 januari 2022
Mannen en vrouwen,Vrouwen,Alle burgerlijke staten,Ongehuwd,2342005,2725305
Mannen en vrouwen,Vrouwen,Alle burgerlijke staten,Gehuwd,2196253,2032571
Mannen en vrouwen,Vrouwen,Alle burgerlijke staten,Verweduwd,566251,511008
Mannen en vrouwen,Vrouwen,Alle burgerlijke staten,Gescheiden,517638,606222
Mannen en vrouwen,Vrouwen,Alle burgerlijke staten,,5622147,5875106
Mannen en vrouwen,Mannen,Alle burgerlijke staten,Ongehuwd,2653022,3058587
Mannen en vrouwen,Mannen,Alle burgerlijke staten,Gehuwd,2194576,2034842
Mannen en vrouwen,Mannen,Alle burgerlijke staten,Verweduwd,139274,137815
Mannen en vrouwen,Mannen,Alle burgerlijke staten,Gescheiden,426929,477658
Mannen en vrouwen,Mannen,Alle burgerlijke staten,,5413801,5708902
Mannen en vrouwen,,Alle burgerlijke staten,Ongehuwd,4995027,5783892
Mannen en vrouwen,,Alle burgerlijke staten,Gehuwd,4390829,4067413
Mannen en vrouwen,,Alle burgerlijke staten,Verweduwd,705525,648823
Mannen en vrouwen,,Alle burgerlijke staten,Gescheiden,944567,1083880
Mannen en vrouwen,,Alle burgerlijke staten,,11035948,11584008
