Jaar,Maand,Niveau 1,Consumptieprijsindex
2022,Januari 2022,Voedingsproducten,113.33
2022,Januari 2022,Niet-voedingsproducten,121.02
2022,Januari 2022,Diensten,120.04
2022,Januari 2022,Huur,113.8
2022,Februari 2022,Voedingsproducten,114.7
2022,Februari 2022,Niet-voedingsproducten,122.0
2022,Februari 2022,Diensten,120.19
2022,Februari 2022,Huur,114.37
2022,Maart 2022,Voedingsproducten,116.13
2022,Maart 2022,Niet-voedingsproducten,122.51
2022,Maart 2022,Diensten,120.57
2022,Maart 2022,Huur,114.67
2022,April 2022,Voedingsproducten,117.71
2022,April 2022,Niet-voedingsproducten,122.14
2022,April 2022,Diensten,121.25
2022,April 2022,Huur,114.56
2022,Mei 2022,Voedingsproducten,118.74
2022,Mei 2022,Niet-voedingsproducten,123.47
2022,Mei 2022,Diensten,121.62
2022,Mei 2022,Huur,115.53
2022,Juni 2022,Voedingsproducten,120.3
2022,Juni 2022,Niet-voedingsproducten,124.49
2022,Juni 2022,Diensten,122.4
2022,Juni 2022,Huur,116.41
2022,Juli 2022,Voedingsproducten,121.89
2022,Juli 2022,Niet-voedingsproducten,124.65
2022,Juli 2022,Diensten,124.37
2022,Juli 2022,Huur,116.09
2022,Augustus 2022,Voedingsproducten,123.38
2022,Augustus 2022,Niet-voedingsproducten,126.02
2022,Augustus 2022,Diensten,124.79
2022,Augustus 2022,Huur,116.54
2022,September 2022,Voedingsproducten,122.32
2022,September 2022,Niet-voedingsproducten,130.05
2022,September 2022,Diensten,124.16
2022,September 2022,Huur,117.25
2022,Oktober 2022,Voedingsproducten,124.79
2022,Oktober 2022,Niet-voedingsproducten,135.74
2022,Oktober 2022,Diensten,124.69
2022,Oktober 2022,Huur,118.55
2022,November 2022,Voedingsproducten,127.2
2022,November 2022,Niet-voedingsproducten,133.16
2022,November 2022,Diensten,125.28
2022,November 2022,Huur,118.92
2022,December 2022,Voedingsproducten,127.37
2022,December 2022,Niet-voedingsproducten,131.73
2022,December 2022,Diensten,126.02
2022,December 2022,Huur,119.85
2023,Januari 2023,Voedingsproducten,131.0
2023,Januari 2023,Niet-voedingsproducten,128.57
2023,Januari 2023,Diensten,127.92
2023,Januari 2023,Huur,120.55
