België,Gewest,Provincie,Arrondissement,Woningen gebouwd vanaf 2001
België,Vlaams Gewest,Provincie Antwerpen,,0.088
België,Vlaams Gewest,Provincie Vlaams-Brabant,,0.089
België,Vlaams Gewest,Provincie West-Vlaanderen,,0.102
België,Vlaams Gewest,Provincie Oost-Vlaanderen,,0.101
België,Vlaams Gewest,Provincie Limburg,,0.126
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,0.041
België,Waals Gewest,Provincie Waals-Brabant,,0.105
België,Waals Gewest,Provincie Henegouwen,,0.052
België,Waals Gewest,Provincie Luik,,0.064
België,Waals Gewest,Provincie Luxemburg,,0.107
België,Waals Gewest,Provincie Namen,,0.08
België,,,,0.083
