Indicator Groep,Indicator Niveau 1,Indicator Niveau 2,Alle producten,Product Groep,Kiloton olie equivalent (ovw)
Totale energievoorziening,Primaire productie,,Alle producten,Vaste fossiele brandstoffen,
Totale energievoorziening,Primaire productie,,Alle producten,Siderurgische gassen,
Totale energievoorziening,Primaire productie,,Alle producten,Aardolie en aardolieproducten,
Totale energievoorziening,Primaire productie,,Alle producten,Aardgas,3.999
Totale energievoorziening,Primaire productie,,Alle producten,Hernieuwbare energie en biobrandstoffen,4165.378
Totale energievoorziening,Primaire productie,,Alle producten,Niet-hernieuwbaar afval,660.507
Totale energievoorziening,Primaire productie,,Alle producten,Kernenergie,12223.0
Totale energievoorziening,Primaire productie,,Alle producten,Warmte,316.763
Totale energievoorziening,Primaire productie,,Alle producten,Elektriciteit,
Totale energievoorziening,Primaire productie,,Alle producten,,17369.647
Totale energievoorziening,Teruggewonnen en gerecycleerde producten,,Alle producten,Vaste fossiele brandstoffen,35.609
Totale energievoorziening,Teruggewonnen en gerecycleerde producten,,Alle producten,Siderurgische gassen,
Totale energievoorziening,Teruggewonnen en gerecycleerde producten,,Alle producten,Aardolie en aardolieproducten,36.861
Totale energievoorziening,Teruggewonnen en gerecycleerde producten,,Alle producten,Aardgas,
Totale energievoorziening,Teruggewonnen en gerecycleerde producten,,Alle producten,Hernieuwbare energie en biobrandstoffen,
Totale energievoorziening,Teruggewonnen en gerecycleerde producten,,Alle producten,Niet-hernieuwbaar afval,
Totale energievoorziening,Teruggewonnen en gerecycleerde producten,,Alle producten,Kernenergie,
Totale energievoorziening,Teruggewonnen en gerecycleerde producten,,Alle producten,Warmte,
Totale energievoorziening,Teruggewonnen en gerecycleerde producten,,Alle producten,Elektriciteit,
Totale energievoorziening,Teruggewonnen en gerecycleerde producten,,Alle producten,,72.469
Totale energievoorziening,Invoer,,Alle producten,Vaste fossiele brandstoffen,2470.838
Totale energievoorziening,Invoer,,Alle producten,Siderurgische gassen,
Totale energievoorziening,Invoer,,Alle producten,Aardolie en aardolieproducten,58494.185
Totale energievoorziening,Invoer,,Alle producten,Aardgas,17721.215
Totale energievoorziening,Invoer,,Alle producten,Hernieuwbare energie en biobrandstoffen,1280.294
Totale energievoorziening,Invoer,,Alle producten,Niet-hernieuwbaar afval,0.69
Totale energievoorziening,Invoer,,Alle producten,Kernenergie,
Totale energievoorziening,Invoer,,Alle producten,Warmte,
Totale energievoorziening,Invoer,,Alle producten,Elektriciteit,1306.414
Totale energievoorziening,Invoer,,Alle producten,,81273.638
Totale energievoorziening,Uitvoer,,Alle producten,Vaste fossiele brandstoffen,-70.211
Totale energievoorziening,Uitvoer,,Alle producten,Siderurgische gassen,
Totale energievoorziening,Uitvoer,,Alle producten,Aardolie en aardolieproducten,-30813.129
Totale energievoorziening,Uitvoer,,Alle producten,Aardgas,-2535.035
Totale energievoorziening,Uitvoer,,Alle producten,Hernieuwbare energie en biobrandstoffen,-322.489
Totale energievoorziening,Uitvoer,,Alle producten,Niet-hernieuwbaar afval,
Totale energievoorziening,Uitvoer,,Alle producten,Kernenergie,
Totale energievoorziening,Uitvoer,,Alle producten,Warmte,
Totale energievoorziening,Uitvoer,,Alle producten,Elektriciteit,-1983.672
Totale energievoorziening,Uitvoer,,Alle producten,,-35724.535
Totale energievoorziening,Internationale maritieme bunkers,,Alle producten,Vaste fossiele brandstoffen,
Totale energievoorziening,Internationale maritieme bunkers,,Alle producten,Siderurgische gassen,
Totale energievoorziening,Internationale maritieme bunkers,,Alle producten,Aardolie en aardolieproducten,-7569.252
Totale energievoorziening,Internationale maritieme bunkers,,Alle producten,Aardgas,-5.851
Totale energievoorziening,Internationale maritieme bunkers,,Alle producten,Hernieuwbare energie en biobrandstoffen,
Totale energievoorziening,Internationale maritieme bunkers,,Alle producten,Niet-hernieuwbaar afval,
Totale energievoorziening,Internationale maritieme bunkers,,Alle producten,Kernenergie,
Totale energievoorziening,Internationale maritieme bunkers,,Alle producten,Warmte,
Totale energievoorziening,Internationale maritieme bunkers,,Alle producten,Elektriciteit,
Totale energievoorziening,Internationale maritieme bunkers,,Alle producten,,-7575.103
Totale energievoorziening,Internationale luchtvaart bunkers,,Alle producten,Vaste fossiele brandstoffen,
Totale energievoorziening,Internationale luchtvaart bunkers,,Alle producten,Siderurgische gassen,
Totale energievoorziening,Internationale luchtvaart bunkers,,Alle producten,Aardolie en aardolieproducten,-1512.027
Totale energievoorziening,Internationale luchtvaart bunkers,,Alle producten,Aardgas,
Totale energievoorziening,Internationale luchtvaart bunkers,,Alle producten,Hernieuwbare energie en biobrandstoffen,
Totale energievoorziening,Internationale luchtvaart bunkers,,Alle producten,Niet-hernieuwbaar afval,
Totale energievoorziening,Internationale luchtvaart bunkers,,Alle producten,Kernenergie,
Totale energievoorziening,Internationale luchtvaart bunkers,,Alle producten,Warmte,
Totale energievoorziening,Internationale luchtvaart bunkers,,Alle producten,Elektriciteit,
Totale energievoorziening,Internationale luchtvaart bunkers,,Alle producten,,-1512.027
Totale energievoorziening,Voorraadwijzigingen,,Alle producten,Vaste fossiele brandstoffen,161.083
Totale energievoorziening,Voorraadwijzigingen,,Alle producten,Siderurgische gassen,
Totale energievoorziening,Voorraadwijzigingen,,Alle producten,Aardolie en aardolieproducten,1169.097
Totale energievoorziening,Voorraadwijzigingen,,Alle producten,Aardgas,12.192
Totale energievoorziening,Voorraadwijzigingen,,Alle producten,Hernieuwbare energie en biobrandstoffen,
Totale energievoorziening,Voorraadwijzigingen,,Alle producten,Niet-hernieuwbaar afval,
Totale energievoorziening,Voorraadwijzigingen,,Alle producten,Kernenergie,
Totale energievoorziening,Voorraadwijzigingen,,Alle producten,Warmte,
