Gewest,Jaar,Maand,Act. Ondernemingen Einde T-1,Primo-onderwerpingen,Wederonderwerpingen,Schrappingen / Stopzettingen,Immigratie,Emigratie,Act. Ondernemingen Einde T
Waals Gewest,2020,maart,262878.0,1169.0,214.0,1257.0,186.0,161.0,263030.0
Waals Gewest,2020,april,263030.0,1317.0,298.0,1268.0,93.0,90.0,263380.0
Waals Gewest,2020,mei,263380.0,993.0,211.0,950.0,128.0,86.0,263676.0
Waals Gewest,2020,juni,263676.0,1077.0,206.0,1242.0,176.0,152.0,263741.0
Waals Gewest,2020,juli,263741.0,2610.0,458.0,1589.0,167.0,134.0,265252.0
Waals Gewest,2020,augustus,265252.0,1493.0,276.0,874.0,204.0,129.0,266220.0
Waals Gewest,2020,september,266220.0,1323.0,217.0,1026.0,235.0,189.0,266781.0
Waals Gewest,2020,oktober,266781.0,3123.0,532.0,1582.0,210.0,182.0,268881.0
Waals Gewest,2020,november,268881.0,1475.0,227.0,982.0,170.0,171.0,269600.0
Waals Gewest,2020,december,269600.0,1202.0,167.0,1723.0,225.0,190.0,269280.0
Waals Gewest,2021,januari,,,,,,,
Waals Gewest,2021,februari,,,,,,,
Vlaams Gewest,2020,maart,623188.0,3956.0,445.0,3486.0,278.0,211.0,624170.0
Vlaams Gewest,2020,april,624170.0,4276.0,562.0,3227.0,154.0,138.0,625799.0
Vlaams Gewest,2020,mei,625799.0,3467.0,483.0,2055.0,176.0,136.0,627734.0
Vlaams Gewest,2020,juni,627734.0,3653.0,443.0,3051.0,263.0,216.0,628825.0
Vlaams Gewest,2020,juli,628825.0,7307.0,965.0,3405.0,218.0,217.0,633693.0
Vlaams Gewest,2020,augustus,633693.0,4755.0,562.0,1966.0,273.0,199.0,637117.0
Vlaams Gewest,2020,september,637117.0,4476.0,446.0,2692.0,326.0,235.0,639439.0
Vlaams Gewest,2020,oktober,639439.0,8491.0,958.0,3704.0,314.0,264.0,645236.0
Vlaams Gewest,2020,november,645236.0,4409.0,516.0,2399.0,231.0,229.0,647765.0
Vlaams Gewest,2020,december,647765.0,3892.0,388.0,5429.0,274.0,291.0,646599.0
Vlaams Gewest,2021,januari,,,,,,,
Vlaams Gewest,2021,februari,,,,,,,
Brussels Hoofdstedelijk Gewest,2020,maart,111562.0,728.0,102.0,630.0,237.0,330.0,111669.0
Brussels Hoofdstedelijk Gewest,2020,april,111669.0,752.0,125.0,665.0,150.0,164.0,111867.0
Brussels Hoofdstedelijk Gewest,2020,mei,111867.0,579.0,107.0,421.0,144.0,205.0,112071.0
Brussels Hoofdstedelijk Gewest,2020,juni,112071.0,633.0,92.0,755.0,236.0,304.0,111973.0
Brussels Hoofdstedelijk Gewest,2020,juli,111973.0,1029.0,122.0,703.0,199.0,244.0,112377.0
Brussels Hoofdstedelijk Gewest,2020,augustus,112377.0,631.0,93.0,501.0,164.0,319.0,112445.0
Brussels Hoofdstedelijk Gewest,2020,september,112445.0,651.0,83.0,707.0,257.0,374.0,112355.0
Brussels Hoofdstedelijk Gewest,2020,oktober,112355.0,1363.0,156.0,813.0,289.0,362.0,112989.0
Brussels Hoofdstedelijk Gewest,2020,november,112989.0,783.0,106.0,509.0,271.0,290.0,113350.0
Brussels Hoofdstedelijk Gewest,2020,december,113350.0,737.0,81.0,934.0,286.0,326.0,113195.0
Brussels Hoofdstedelijk Gewest,2021,januari,,,,,,,
Brussels Hoofdstedelijk Gewest,2021,februari,,,,,,,
