België,Gewest,Provincie,totaal,Land van staatsburgerschap niveau 1,Werkende bevolking
België,Brussels Hoofdstedelijk Gewest  ,Brussels Hoofdstedelijk Gewest  ,totaal,Belgen,256666
België,Brussels Hoofdstedelijk Gewest  ,Brussels Hoofdstedelijk Gewest  ,totaal,Buitenlanders,113147
België,Brussels Hoofdstedelijk Gewest  ,Brussels Hoofdstedelijk Gewest  ,totaal,Staatloos,12
België,Brussels Hoofdstedelijk Gewest  ,Brussels Hoofdstedelijk Gewest  ,totaal,Niet aangegeven,555
België,Brussels Hoofdstedelijk Gewest  ,Brussels Hoofdstedelijk Gewest  ,totaal,,370380
België,Vlaams Gewest  ,Provincie Antwerpen,totaal,Belgen,687259
België,Vlaams Gewest  ,Provincie Antwerpen,totaal,Buitenlanders,58897
België,Vlaams Gewest  ,Provincie Antwerpen,totaal,Staatloos,30
België,Vlaams Gewest  ,Provincie Antwerpen,totaal,Niet aangegeven,548
België,Vlaams Gewest  ,Provincie Antwerpen,totaal,,746734
België,Vlaams Gewest  ,Provincie Limburg,totaal,Belgen,332637
België,Vlaams Gewest  ,Provincie Limburg,totaal,Buitenlanders,31057
België,Vlaams Gewest  ,Provincie Limburg,totaal,Staatloos,6
België,Vlaams Gewest  ,Provincie Limburg,totaal,Niet aangegeven,91
België,Vlaams Gewest  ,Provincie Limburg,totaal,,363791
België,Vlaams Gewest  ,Provincie Oost-Vlaanderen,totaal,Belgen,616716
België,Vlaams Gewest  ,Provincie Oost-Vlaanderen,totaal,Buitenlanders,22579
België,Vlaams Gewest  ,Provincie Oost-Vlaanderen,totaal,Staatloos,18
België,Vlaams Gewest  ,Provincie Oost-Vlaanderen,totaal,Niet aangegeven,287
België,Vlaams Gewest  ,Provincie Oost-Vlaanderen,totaal,,639600
België,Vlaams Gewest  ,Provincie Vlaams-Brabant,totaal,Belgen,445235
België,Vlaams Gewest  ,Provincie Vlaams-Brabant,totaal,Buitenlanders,32171
België,Vlaams Gewest  ,Provincie Vlaams-Brabant,totaal,Staatloos,15
België,Vlaams Gewest  ,Provincie Vlaams-Brabant,totaal,Niet aangegeven,218
België,Vlaams Gewest  ,Provincie Vlaams-Brabant,totaal,,477639
België,Vlaams Gewest  ,Provincie West-Vlaanderen,totaal,Belgen,492290
België,Vlaams Gewest  ,Provincie West-Vlaanderen,totaal,Buitenlanders,13152
België,Vlaams Gewest  ,Provincie West-Vlaanderen,totaal,Staatloos,27
België,Vlaams Gewest  ,Provincie West-Vlaanderen,totaal,Niet aangegeven,200
België,Vlaams Gewest  ,Provincie West-Vlaanderen,totaal,,505669
België,Waals Gewest,Provincie Waals-Brabant,totaal,Belgen,142135
België,Waals Gewest,Provincie Waals-Brabant,totaal,Buitenlanders,13712
België,Waals Gewest,Provincie Waals-Brabant,totaal,Staatloos,2
België,Waals Gewest,Provincie Waals-Brabant,totaal,Niet aangegeven,12
België,Waals Gewest,Provincie Waals-Brabant,totaal,,155861
België,Waals Gewest,Provincie Henegouwen,totaal,Belgen,420206
België,Waals Gewest,Provincie Henegouwen,totaal,Buitenlanders,50001
België,Waals Gewest,Provincie Henegouwen,totaal,Staatloos,10
België,Waals Gewest,Provincie Henegouwen,totaal,Niet aangegeven,47
België,Waals Gewest,Provincie Henegouwen,totaal,,470264
België,Waals Gewest,Provincie Luik,totaal,Belgen,368317
België,Waals Gewest,Provincie Luik,totaal,Buitenlanders,35442
België,Waals Gewest,Provincie Luik,totaal,Staatloos,20
België,Waals Gewest,Provincie Luik,totaal,Niet aangegeven,203
België,Waals Gewest,Provincie Luik,totaal,,403982
België,Waals Gewest,Provincie Luxemburg,totaal,Belgen,102834
België,Waals Gewest,Provincie Luxemburg,totaal,Buitenlanders,6833
België,Waals Gewest,Provincie Luxemburg,totaal,Staatloos,7
België,Waals Gewest,Provincie Luxemburg,totaal,Niet aangegeven,22
België,Waals Gewest,Provincie Luxemburg,totaal,,109696
België,Waals Gewest,Provincie Namen,totaal,Belgen,181626
België,Waals Gewest,Provincie Namen,totaal,Buitenlanders,7666
België,Waals Gewest,Provincie Namen,totaal,Staatloos,15
België,Waals Gewest,Provincie Namen,totaal,Niet aangegeven,48
België,Waals Gewest,Provincie Namen,totaal,,189355
België,,,totaal,Belgen,4045921
België,,,totaal,Buitenlanders,384657
België,,,totaal,Staatloos,162
België,,,totaal,Niet aangegeven,2231
België,,,totaal,,4432971
