Alle producten,Product groep,Product niveau 1,Indicator groep,Jaar,Gigawattuur
Alle producten,Kernenergie,Kernenergie,Bruto elektriciteitsproductie,2014,33703.0
Alle producten,Kernenergie,Kernenergie,Bruto elektriciteitsproductie,2015,26103.0
Alle producten,Kernenergie,Kernenergie,Bruto elektriciteitsproductie,2016,43523.0
Alle producten,Kernenergie,Kernenergie,Bruto elektriciteitsproductie,2017,42226.8
Alle producten,Kernenergie,Kernenergie,Bruto elektriciteitsproductie,2018,28597.0
Alle producten,Kernenergie,Kernenergie,Bruto elektriciteitsproductie,2019,43523.6
Alle producten,Kernenergie,Kernenergie,Bruto elektriciteitsproductie,2020,34434.7
Alle producten,Kernenergie,Kernenergie,Bruto elektriciteitsproductie,2021,50326.2
Alle producten,Vaste fossiele brandstoffen,Andere bitumineuze kool,Bruto elektriciteitsproductie,2014,2090.2
Alle producten,Vaste fossiele brandstoffen,Andere bitumineuze kool,Bruto elektriciteitsproductie,2015,2074.7
Alle producten,Vaste fossiele brandstoffen,Andere bitumineuze kool,Bruto elektriciteitsproductie,2016,389.5
Alle producten,Vaste fossiele brandstoffen,Andere bitumineuze kool,Bruto elektriciteitsproductie,2017,90.9
Alle producten,Vaste fossiele brandstoffen,Andere bitumineuze kool,Bruto elektriciteitsproductie,2018,91.3
Alle producten,Vaste fossiele brandstoffen,Andere bitumineuze kool,Bruto elektriciteitsproductie,2019,93.9
Alle producten,Vaste fossiele brandstoffen,Andere bitumineuze kool,Bruto elektriciteitsproductie,2020,81.5
Alle producten,Vaste fossiele brandstoffen,Andere bitumineuze kool,Bruto elektriciteitsproductie,2021,44.0
Alle producten,Siderurgische gassen,Cokesovengas,Bruto elektriciteitsproductie,2014,35.0
Alle producten,Siderurgische gassen,Cokesovengas,Bruto elektriciteitsproductie,2015,15.0
Alle producten,Siderurgische gassen,Cokesovengas,Bruto elektriciteitsproductie,2016,12.0
Alle producten,Siderurgische gassen,Cokesovengas,Bruto elektriciteitsproductie,2017,6.4
Alle producten,Siderurgische gassen,Cokesovengas,Bruto elektriciteitsproductie,2018,8.1
Alle producten,Siderurgische gassen,Cokesovengas,Bruto elektriciteitsproductie,2019,7.3
Alle producten,Siderurgische gassen,Cokesovengas,Bruto elektriciteitsproductie,2020,10.9
Alle producten,Siderurgische gassen,Cokesovengas,Bruto elektriciteitsproductie,2021,6.6
Alle producten,Siderurgische gassen,Hoogovengas,Bruto elektriciteitsproductie,2014,1963.0
Alle producten,Siderurgische gassen,Hoogovengas,Bruto elektriciteitsproductie,2015,1879.0
Alle producten,Siderurgische gassen,Hoogovengas,Bruto elektriciteitsproductie,2016,2090.0
Alle producten,Siderurgische gassen,Hoogovengas,Bruto elektriciteitsproductie,2017,2184.5
Alle producten,Siderurgische gassen,Hoogovengas,Bruto elektriciteitsproductie,2018,2102.7
Alle producten,Siderurgische gassen,Hoogovengas,Bruto elektriciteitsproductie,2019,2259.9
Alle producten,Siderurgische gassen,Hoogovengas,Bruto elektriciteitsproductie,2020,1644.0
Alle producten,Siderurgische gassen,Hoogovengas,Bruto elektriciteitsproductie,2021,1893.9
Alle producten,Siderurgische gassen,Andere teruggewonnen gassen,Bruto elektriciteitsproductie,2014,173.0
Alle producten,Siderurgische gassen,Andere teruggewonnen gassen,Bruto elektriciteitsproductie,2015,142.0
Alle producten,Siderurgische gassen,Andere teruggewonnen gassen,Bruto elektriciteitsproductie,2016,148.0
Alle producten,Siderurgische gassen,Andere teruggewonnen gassen,Bruto elektriciteitsproductie,2017,143.2
Alle producten,Siderurgische gassen,Andere teruggewonnen gassen,Bruto elektriciteitsproductie,2018,142.7
Alle producten,Siderurgische gassen,Andere teruggewonnen gassen,Bruto elektriciteitsproductie,2019,154.5
Alle producten,Siderurgische gassen,Andere teruggewonnen gassen,Bruto elektriciteitsproductie,2020,140.7
Alle producten,Siderurgische gassen,Andere teruggewonnen gassen,Bruto elektriciteitsproductie,2021,83.6
Alle producten,Aardolie en aardolieproducten,Raffinaderijgas,Bruto elektriciteitsproductie,2014,167.0
Alle producten,Aardolie en aardolieproducten,Raffinaderijgas,Bruto elektriciteitsproductie,2015,156.0
Alle producten,Aardolie en aardolieproducten,Raffinaderijgas,Bruto elektriciteitsproductie,2016,159.9
Alle producten,Aardolie en aardolieproducten,Raffinaderijgas,Bruto elektriciteitsproductie,2017,142.0
Alle producten,Aardolie en aardolieproducten,Raffinaderijgas,Bruto elektriciteitsproductie,2018,131.7
Alle producten,Aardolie en aardolieproducten,Raffinaderijgas,Bruto elektriciteitsproductie,2019,47.5
Alle producten,Aardolie en aardolieproducten,Raffinaderijgas,Bruto elektriciteitsproductie,2020,100.0
Alle producten,Aardolie en aardolieproducten,Raffinaderijgas,Bruto elektriciteitsproductie,2021,152.3
Alle producten,Aardolie en aardolieproducten,LPG,Bruto elektriciteitsproductie,2014,1.2
Alle producten,Aardolie en aardolieproducten,LPG,Bruto elektriciteitsproductie,2015,0.5
Alle producten,Aardolie en aardolieproducten,LPG,Bruto elektriciteitsproductie,2016,0.5
Alle producten,Aardolie en aardolieproducten,LPG,Bruto elektriciteitsproductie,2017,10.3
Alle producten,Aardolie en aardolieproducten,LPG,Bruto elektriciteitsproductie,2018,8.5
Alle producten,Aardolie en aardolieproducten,LPG,Bruto elektriciteitsproductie,2019,9.4
Alle producten,Aardolie en aardolieproducten,LPG,Bruto elektriciteitsproductie,2020,5.8
Alle producten,Aardolie en aardolieproducten,LPG,Bruto elektriciteitsproductie,2021,4.3
Alle producten,Aardolie en aardolieproducten,Lamppetroleum,Bruto elektriciteitsproductie,2014,1.6
Alle producten,Aardolie en aardolieproducten,Lamppetroleum,Bruto elektriciteitsproductie,2015,6.1
Alle producten,Aardolie en aardolieproducten,Lamppetroleum,Bruto elektriciteitsproductie,2016,6.0
Alle producten,Aardolie en aardolieproducten,Lamppetroleum,Bruto elektriciteitsproductie,2017,11.1
Alle producten,Aardolie en aardolieproducten,Lamppetroleum,Bruto elektriciteitsproductie,2018,4.3
Alle producten,Aardolie en aardolieproducten,Lamppetroleum,Bruto elektriciteitsproductie,2019,2.1
Alle producten,Aardolie en aardolieproducten,Lamppetroleum,Bruto elektriciteitsproductie,2020,1.3
Alle producten,Aardolie en aardolieproducten,Lamppetroleum,Bruto elektriciteitsproductie,2021,3.8
Alle producten,Aardolie en aardolieproducten,Gas-/dieselolie,Bruto elektriciteitsproductie,2014,16.7
Alle producten,Aardolie en aardolieproducten,Gas-/dieselolie,Bruto elektriciteitsproductie,2015,17.7
Alle producten,Aardolie en aardolieproducten,Gas-/dieselolie,Bruto elektriciteitsproductie,2016,8.9
Alle producten,Aardolie en aardolieproducten,Gas-/dieselolie,Bruto elektriciteitsproductie,2017,9.6
Alle producten,Aardolie en aardolieproducten,Gas-/dieselolie,Bruto elektriciteitsproductie,2018,15.6
Alle producten,Aardolie en aardolieproducten,Gas-/dieselolie,Bruto elektriciteitsproductie,2019,10.6
Alle producten,Aardolie en aardolieproducten,Gas-/dieselolie,Bruto elektriciteitsproductie,2020,11.1
Alle producten,Aardolie en aardolieproducten,Gas-/dieselolie,Bruto elektriciteitsproductie,2021,19.5
Alle producten,Aardolie en aardolieproducten,Zware stookolie,Bruto elektriciteitsproductie,2014,30.2
Alle producten,Aardolie en aardolieproducten,Zware stookolie,Bruto elektriciteitsproductie,2015,29.1
Alle producten,Aardolie en aardolieproducten,Zware stookolie,Bruto elektriciteitsproductie,2016,13.9
Alle producten,Aardolie en aardolieproducten,Zware stookolie,Bruto elektriciteitsproductie,2017,3.0
Alle producten,Aardolie en aardolieproducten,Zware stookolie,Bruto elektriciteitsproductie,2018,0.7
Alle producten,Aardolie en aardolieproducten,Zware stookolie,Bruto elektriciteitsproductie,2019,1.3
Alle producten,Aardolie en aardolieproducten,Zware stookolie,Bruto elektriciteitsproductie,2020,1.7
Alle producten,Aardolie en aardolieproducten,Zware stookolie,Bruto elektriciteitsproductie,2021,0.9
Alle producten,Aardgas,Aardgas,Bruto elektriciteitsproductie,2014,19334.7
Alle producten,Aardgas,Aardgas,Bruto elektriciteitsproductie,2015,22020.1
Alle producten,Aardgas,Aardgas,Bruto elektriciteitsproductie,2016,22077.6
Alle producten,Aardgas,Aardgas,Bruto elektriciteitsproductie,2017,23014.1
Alle producten,Aardgas,Aardgas,Bruto elektriciteitsproductie,2018,23980.6
Alle producten,Aardgas,Aardgas,Bruto elektriciteitsproductie,2019,25528.9
Alle producten,Aardgas,Aardgas,Bruto elektriciteitsproductie,2020,26777.1
Alle producten,Aardgas,Aardgas,Bruto elektriciteitsproductie,2021,22516.7
Alle producten,Hernieuwbare energie en biobrandstoffen,Niet-gepompte waterkracht,Bruto elektriciteitsproductie,2014,292.2
Alle producten,Hernieuwbare energie en biobrandstoffen,Niet-gepompte waterkracht,Bruto elektriciteitsproductie,2015,318.4
Alle producten,Hernieuwbare energie en biobrandstoffen,Niet-gepompte waterkracht,Bruto elektriciteitsproductie,2016,370.0
Alle producten,Hernieuwbare energie en biobrandstoffen,Niet-gepompte waterkracht,Bruto elektriciteitsproductie,2017,270.1
Alle producten,Hernieuwbare energie en biobrandstoffen,Niet-gepompte waterkracht,Bruto elektriciteitsproductie,2018,292.3
Alle producten,Hernieuwbare energie en biobrandstoffen,Niet-gepompte waterkracht,Bruto elektriciteitsproductie,2019,302.0
Alle producten,Hernieuwbare energie en biobrandstoffen,Niet-gepompte waterkracht,Bruto elektriciteitsproductie,2020,266.9
Alle producten,Hernieuwbare energie en biobrandstoffen,Niet-gepompte waterkracht,Bruto elektriciteitsproductie,2021,418.1
Alle producten,Hernieuwbare energie en biobrandstoffen,Windenergie,Bruto elektriciteitsproductie,2014,4615.3
Alle producten,Hernieuwbare energie en biobrandstoffen,Windenergie,Bruto elektriciteitsproductie,2015,5574.0
Alle producten,Hernieuwbare energie en biobrandstoffen,Windenergie,Bruto elektriciteitsproductie,2016,5419.5
Alle producten,Hernieuwbare energie en biobrandstoffen,Windenergie,Bruto elektriciteitsproductie,2017,6520.7
Alle producten,Hernieuwbare energie en biobrandstoffen,Windenergie,Bruto elektriciteitsproductie,2018,7574.1
Alle producten,Hernieuwbare energie en biobrandstoffen,Windenergie,Bruto elektriciteitsproductie,2019,9755.4
Alle producten,Hernieuwbare energie en biobrandstoffen,Windenergie,Bruto elektriciteitsproductie,2020,12818.6
Alle producten,Hernieuwbare energie en biobrandstoffen,Windenergie,Bruto elektriciteitsproductie,2021,11997.6
Alle producten,Hernieuwbare energie en biobrandstoffen,Fotovoltaïsche zonne-energie,Bruto elektriciteitsproductie,2014,2886.3
Alle producten,Hernieuwbare energie en biobrandstoffen,Fotovoltaïsche zonne-energie,Bruto elektriciteitsproductie,2015,3056.5
Alle producten,Hernieuwbare energie en biobrandstoffen,Fotovoltaïsche zonne-energie,Bruto elektriciteitsproductie,2016,3095.4
Alle producten,Hernieuwbare energie en biobrandstoffen,Fotovoltaïsche zonne-energie,Bruto elektriciteitsproductie,2017,3307.9
Alle producten,Hernieuwbare energie en biobrandstoffen,Fotovoltaïsche zonne-energie,Bruto elektriciteitsproductie,2018,3903.4
Alle producten,Hernieuwbare energie en biobrandstoffen,Fotovoltaïsche zonne-energie,Bruto elektriciteitsproductie,2019,4252.5
Alle producten,Hernieuwbare energie en biobrandstoffen,Fotovoltaïsche zonne-energie,Bruto elektriciteitsproductie,2020,5112.2
Alle producten,Hernieuwbare energie en biobrandstoffen,Fotovoltaïsche zonne-energie,Bruto elektriciteitsproductie,2021,5618.1
Alle producten,Hernieuwbare energie en biobrandstoffen,Vaste biobrandstoffen,Bruto elektriciteitsproductie,2014,2631.5
Alle producten,Hernieuwbare energie en biobrandstoffen,Vaste biobrandstoffen,Bruto elektriciteitsproductie,2015,3554.0
Alle producten,Hernieuwbare energie en biobrandstoffen,Vaste biobrandstoffen,Bruto elektriciteitsproductie,2016,3471.0
Alle producten,Hernieuwbare energie en biobrandstoffen,Vaste biobrandstoffen,Bruto elektriciteitsproductie,2017,3816.4
Alle producten,Hernieuwbare energie en biobrandstoffen,Vaste biobrandstoffen,Bruto elektriciteitsproductie,2018,3484.3
Alle producten,Hernieuwbare energie en biobrandstoffen,Vaste biobrandstoffen,Bruto elektriciteitsproductie,2019,3291.3
